city,population,density (per sq. km)
Olivarez,5621,588
Willow Springs,5621,522
Jonesborough,5611,420
Kingstree,5610,371
Anna,5610,445
Lake Delton,5609,154
Dayton,5609,1664
Cottleville,5608,468
Bowling Green,5608,801
Blaine,5607,386
Lackland AFB,5606,512
Elverta,5606,244
Mansfield,5604,488
Rusk,5602,299
Linton,5596,663
Semmes,5594,176
Palmview South,5589,889
Honesdale,5589,425
Warren,5587,305
Tonganoxie,5583,582
Marlin,5581,477
Oxford,5581,1095
Islip Terrace,5579,1604
Bessemer City,5577,413
Siesta Key,5573,918
New Carlisle,5568,801
Deer Park,5566,2517
Slinger,5565,409
Lake Bluff,5562,526
Waterford,5562,875
Frankenmuth,5560,700
Eureka,5560,760
Stroudsburg,5558,1244
Duquesne,5557,1180
Preston,5557,315
Tracyton,5556,1119
Nashville,5554,456
Leadville,5554,950
Ceiba,5551,1948
Berryville,5550,352
Vinita,5550,341
Connell,5545,278
Belmar,5545,2048
Buckner,5545,286
Taylorsville,5544,347
Glencoe,5544,680
Wappingers Falls,5544,1909
Lake Park,5544,331
Ada,5544,1013
Exeter,5541,457
Hidden Valley Lake,5539,218
Waterville,5539,420
Waimanalo,5538,490
Anamosa,5537,847
Zeeland,5536,714
Forest,5536,163
Pelham Manor,5534,1591
Monticello,5534,555
Colorado City,5533,279
Weldon Spring,5533,279
Hidden Valley,5531,503
Shaw Heights,5529,3047
Falcon Heights,5528,955
Strawberry,5527,1604
Atlanta,5526,169
Palm Springs North,5525,2681
Weiser,5524,696
Yosemite Lakes,5524,102
Clare,5522,319
Highland Lakes,5519,567
Germantown,5519,504
Baxley,5515,224
Santa Teresa,5515,212
Carlinville,5514,628
Sherwood Manor,5513,678
Elberton,5512,369
Kayenta,5512,161
Winston,5511,804
Wellston,5507,305
Rockdale,5503,530
Holdenville,5501,439
Swartz Creek,5501,522
Mena,5490,307
Stokesdale,5489,111
Fort Plain,5488,638
Kalaheo,5487,605
Wolfforth,5486,695
Fairview,5486,608
Manteo,5482,296
Peculiar,5478,233
Muldrow,5478,290
Breckenridge,5478,498
Somerdale,5477,1519
Sparta,5476,284
Dulles Town Center,5475,880
Indian Wells,5470,147
Williams,5469,422
Charleston,5468,440
Cameron,5464,402
New Holland,5464,1085
Pana,5463,542
Woodside,5458,179
Adel,5455,434
Waipio Acres,5451,2113
Jim Thorpe,5449,123
Terrell Hills,5447,1304
Carlisle,5446,590
Colby,5445,559
Centerville,5445,436
Jamul,5445,124
East Moriches,5445,382
Springhill,5444,296
South Pittsburg,5439,142
Eaton Rapids,5439,574
Gilbertsville,5438,626
Robbins,5438,1449
South Highpoint,5435,2424
Northwood,5434,245
St. Augustine South,5431,1322
Black River Falls,5430,319
Honeoye Falls,5428,418
Fruitland,5426,972
Rockwood,5425,261
Coraopolis,5424,1575
Shady Side,5423,314
Waynesboro,5422,378
Monaca,5421,1032
Jackson,5418,332
Lafayette,5417,393
Angier,5415,676
Batesburg-Leesville,5415,255
Denver City,5413,748
Chadron,5412,535
Ferriday,5412,759
New Hempstead,5410,734
Coal City,5409,373
Canal Fulton,5408,638
Holdrege,5408,493
East Port Orchard,5407,1351
Salamanca,5402,347
Valparaiso,5401,176
Valatie,5400,566
Algona,5397,463
Mocksville,5397,261
Friendship Heights Village,5396,34277
Palermo,5395,71
Floral City,5395,89
Centerport,5394,983
Pinckneyville,5393,505
New Castle,5392,617
Smiths Station,5391,300
Warm Mineral Springs,5390,910
Manitou Springs,5390,661
Northfield,5386,643
Berlin,5385,359
Central,5385,749
La Grange,5384,436
Winterset,5383,448
Lemmon Valley,5383,130
Exton,5382,664
Bellows Falls,5381,836
Orwigsburg,5376,525
Citrus Park,5376,357
Caldwell,5374,743
Cleveland,5372,415
Lisbon,5372,605
Polson,5370,431
Cavalero,5370,1299
Kaser,5368,12063
Estacada,5368,653
Chackbay,5368,72
Manchester,5367,800
Clarinda,5366,399
Sunset,5364,1417
Wind Lake,5364,383
Penn Estates,5363,1024
St. Paul Park,5362,697
Simonton Lake,5362,589
Ward,5358,478
Hockinson,5355,150
Añasco,5355,2581
Englewood Cliffs,5354,972
James City,5354,268
Anthony,5352,323
Shepherdstown,5351,1965
North Oaks,5351,298
Mattawa,5349,1992
Caruthersville,5348,400
Port LaBelle,5348,255
Williamson,5347,36
Travelers Rest,5346,436
Rincon Valley,5346,80
East Quogue,5343,234
Macon,5341,343
Morganfield,5337,461
Apple Valley,5337,342
Palmerton,5336,829
San Leon,5336,438
Edgewater,5335,2964
Jonesboro,5333,356
Morris,5333,440
McGregor,5331,94
Westernport,5330,758
Kensington,5329,2173
Wake Village,5327,887
Avondale,5321,369
Hawaiian Beaches,5320,83
Shillington,5319,2055
McKenzie,5315,324
Uhrichsville,5314,729
Lehighton,5313,1263
Minot AFB,5312,282
Fort Rucker,5311,188
Fruitland,5309,531
Savannah,5307,620
Fairport,5305,1296
Union Beach,5305,1149
Pawcatuck,5305,600
Hightstown,5304,1660
Brady,5302,228
Brent,5302,208
Eagleville,5302,1267
Bulverde,5300,129
Paxtonia,5296,883
Waynesville,5295,318
Mount Carmel,5294,307
Kings Point,5292,608
Bear Valley Springs,5292,49
Orange,5291,597
Kahaluu-Keauhou,5291,365
Iola,5288,454
Zephyrhills West,5287,770
Garnet,5285,258
Lake Fenton,5284,369
Old Bethpage,5283,487
South Sarasota,5283,1062
Midway,5280,367
Big Bear Lake,5279,326
Titusville,5279,686
St. Clair,5279,693
Grayson,5277,543
Red Oak,5276,516
Cave Springs,5276,257
Wadesboro,5275,309
Ripley,5273,178
Hawkinsville,5270,378
Forsyth,5270,270
Rothschild,5267,311
Delhi Hills,5266,1366
Belvedere,5262,589
Pecan Acres,5259,107
Giddings,5254,373
Venus,5252,556
Perry,5248,253
Carlyss,5248,183
Santa Isabel,5248,2111
Calistoga,5247,786
Odessa,5246,494
Poolesville,5244,515
Livingston,5242,231
Walkertown,5242,302
Osceola,5242,285
Yarmouth Port,5242,336
Briar,5241,98
Ranson,5239,250
Salem,5235,775
Lake Wildwood,5232,660
Hendron,5228,390
Bangor,5228,1353
Hollywood,5227,87
Byron,5226,230
Ballston Spa,5226,1260
Bisbee,5225,389
Albertson,5225,2971
Springfield,5224,512
Highwood,5224,2800
Chisago City,5224,160
Union City,5223,590
Myrtletown,5222,960
Gilmer,5220,523
Williamsville,5220,1602
Layhill,5216,1273
Elmsford,5216,1950
Center,5215,254
Cutler,5214,2494
Farmers Loop,5214,92
Naguabo,5210,3200
Montrose,5208,421
Pinardville,5208,1208
Aberdeen,5205,166
Diboll,5204,423
Hutchinson Island South,5204,466
Williamston,5202,457
Ravena,5202,834
Ettrick,5201,679
Thatcher,5200,306
South Bay,5200,701
Ocean Bluff-Brant Rock,5199,923
Springfield,5198,547
Timber Pines,5198,910
West Wendover,5197,220
Obetz,5196,344
Twin Lakes,5196,2903
DeWitt,5192,323
Sawmills,5189,302
Paulden,5189,35
Attica,5187,692
Mount Olive,5183,643
Boulder Creek,5182,266
Tichigan,5179,176
Parker,5177,235
Dunlap,5176,184
Doffing,5176,461
Collegeville,5174,1270
West Pleasant View,5173,1294
Broadmoor,5170,4428
Grandwood Park,5170,1232
Creve Coeur,5169,471
Sterling,5169,25
Crawfordville,5164,436
Lake City,5162,441
River Ridge,5157,474
Erwin,5156,472
Grosse Pointe,5154,1873
Blauvelt,5152,441
Hanamaulu,5150,1563
Bliss Corner,5150,993
Grambling,5150,337
Bret Harte,5148,3612
Ottawa,5147,369
Birdsboro,5143,1500
Bristol,5142,60
Peñuelas,5142,2059
St. Clairsville,5141,820
Ayden,5141,516
Glendale,5141,3444
Turtle Creek,5138,2046
Margaret,5137,201
Colville,5135,604
Carle Place,5131,2118
Primera,5130,713
Humboldt,5128,383
Sergeant Bluff,5127,673
Homestead Meadows North,5126,126
Spring Valley,5125,269
Flagler Beach,5123,551
Canutillo,5123,721
Rainsville,5123,95
Kenneth City,5121,2770
Lone Grove,5121,79
Silver Hill,5120,1476
Colona,5120,518
Tara Hills,5117,2972
Battlement Mesa,5116,170
Post,5115,527
Bowie,5114,357
McGuire AFB,5113,366
Carmi,5111,748
Kings Park,5109,1516
Quantico Base,5109,282
Coco,5108,1209
Utica,5107,1121
Schuylkill Haven,5106,1410
Scott City,5104,357
Portland,5104,579
Poplar Grove,5104,257
Buellton,5102,1245
Daleville,5102,139
Belleview,5101,507
Denair,5101,944
Highland Lakes,5098,455
Johnstown,5098,659
South Pasadena,5095,3224
South Haven,5092,1582
Hugo,5092,303
Tice,5092,1786
Town and Country,5090,1637
Lakeview,5089,864
Morganville,5088,362
New Burlington,5088,635
Holbrook,5084,113
Four Corners,5084,183
Rio Hondo,5082,619
Sheldon,5082,421
North Fond du Lac,5081,924
Crestwood,5081,484
Fox Chapel,5076,249
Vinton,5075,401
De Motte,5073,447
Silver Springs,5073,27
Maplewood,5072,236
Glencoe,5071,116
Shanor-Northvue,5068,289
Massac,5064,485
Munroe Falls,5063,705
Saltillo,5062,238
Monee,5061,439
Iowa Falls,5059,362
Roseburg North,5059,89
Buckley,5058,505
Gretna,5058,802
Stewartstown,5057,1037
West Hills,5055,396
Glen Head,5053,1187
Salinas,5051,2495
Clifton,5049,98
Offutt AFB,5048,491
Berkeley,5048,1390
Carver,5046,440
Dundee,5044,185
North Scituate,5044,519
Montevideo,5043,413
Sulphur,5043,283
Summit,5041,92
Amelia,5039,1085
Mechanicville,5037,2313
Barling,5036,189
Krum,5036,783
Terryville,5030,703
La Crescent,5029,582
Worland,5024,422
Olyphant,5023,356
Stafford Springs,5023,304
Whiskey Creek,5022,1255
Doney Park,5021,129
Glennville,5020,274
Sea Cliff,5020,1738
Abbeville,5019,311
Muleshoe,5019,564
West Salem,5015,578
Guerneville,5014,199
Hawaiian Ocean View,5011,53
West Sayville,5010,1007
Mullins,5010,533
Swoyersville,5009,910
Hoopeston,5009,524
Greenfield,5008,846
Hudson,5005,381
Ridgeland,5005,30
Dwight,5005,490
Oak Park Heights,5003,667
Gillespie,5002,803
Midfield,5002,727
Westvale,5000,1414
Timnath,4998,306
Dellwood,4997,1863
South Barrington,4996,259
Pine Manor,4993,4314
Milan,4991,308
Orangetree,4989,529
Pittsburg,4988,503
Concordia,4987,427
Manchester,4986,396
Montrose-Ghent,4986,204
Gibson,4985,404
Huxley,4980,485
Princeton,4975,383
Alexandria,4968,729
Winnsboro,4967,439
Medical Lake,4966,568
Redwood Falls,4963,363
Adairsville,4963,204
White Hall,4963,274
Jonesboro,4962,757
Polk City,4961,376
Parker,4959,56
Carrollton,4958,716
Everson,4957,839
Clementon,4957,1011
Raeford,4956,446
Wellington,4955,522
Becker,4954,181
Cicero,4953,1174
Kingsford,4951,441
Richland Center,4951,410
Westlake,4951,518
Mayfair,4950,3686
Wildwood,4948,1239
Beckett,4947,1090
Alvarado,4945,421
Centreville,4944,697
Blue Point,4942,1059
Wheatley Heights,4942,1451
Jasper,4941,664
Vancleave,4939,44
Circle Pines,4938,1090
Fairfield,4936,472
Bolivar,4936,234
Maize,4934,197
Pleasant Garden,4932,126
Mount Carmel,4932,1040
Cold Spring Harbor,4932,519
Kanab,4931,131
Long View,4930,475
Sheridan,4929,160
Blackwood,4929,1560
Farmville,4928,545
Northvale,4927,1503
Crystal Springs,4925,335
Raynham Center,4923,450
Toronto,4923,911
Rutherford,4919,1531
Salem,4919,598
Glasgow Village,4918,1971
Firthcliffe,4912,639
Midway,4912,243
St. Joseph,4911,715
Buena Vista,4910,325
Bay Hill,4909,797
Kingfisher,4908,468
New Haven,4907,749
Prospect,4905,494
Sugarcreek,4904,50
Bridgeville,4903,1727
Seven Lakes,4903,225
Winona Lake,4902,684
King George,4902,175
Mount Pleasant,4897,150
Centreville,4897,451
Big Pine Key,4896,185
Lake Worth,4896,767
Telford,4894,1876
Demarest,4894,912
Cashmere,4893,1052
Mayville,4890,580
Flower Hill,4889,1167
Suncook,4888,507
Pleasant Run,4887,910
Island Park,4886,4241
Smithville,4886,322
Desloge,4882,645
Davison,4881,948
Benson,4880,45
West Columbia,4880,589
East Freehold,4880,632
Chinle,4879,117
New Lexington,4876,926
Vandergrift,4875,1383
Bealeton,4873,343
Denton,4871,330
Thiells,4870,1019
Hunters Creek Village,4869,962
Cherokee,4869,279
Shenandoah,4869,496
Middlefield,4869,342
Lake Barrington,4868,327
Tucumcari,4867,197
Berlin,4866,558
Clarks Summit,4865,1184
Wahneta,4862,833
Lincoln Village,4859,2549
Chittenango,4852,753
Flora,4852,399
Duryea,4852,337
Palmetto,4851,157
Glendora,4851,1800
Nashville,4851,402
Chisholm,4849,417
Manheim,4849,1354
Luray,4848,387
Whitehouse,4845,434
Sawgrass,4841,617
Normandy,4838,1008
Bluefield,4837,196
Perry,4837,275
Childersburg,4837,151
Porter,4834,302
Marseilles,4834,205
Green Tree,4832,898
Arnold,4831,2548
Rockford,4831,687
West Milton,4828,574
Stone Park,4826,5423
Chattahoochee,4823,220
Hummelstown,4823,1499
Caro,4821,525
Forest Hills,4820,201
Ridge Manor,4820,215
Falfurrias,4812,649
Edgefield,4810,442
Windsor Heights,4809,1298
DeWitt,4808,654
Waynesboro,4805,146
Three Points,4801,39
West Bay Shore,4801,847
Nassau Village-Ratliff,4801,126
Chesterbrook,4800,1189
Magnolia,4799,285
Michigan Center,4797,367
West Jefferson,4797,210
Hyde Park,4797,425
Dallas,4797,640
Goddard,4796,377
East Harwich,4796,230
Pleasant View,4795,147
Temple,4795,271
Hickory Creek,4795,377
Schlusser,4794,681
Dillon,4794,936
Midway North,4792,1026
Middletown,4792,873
Olympia Fields,4790,629
Lindale,4789,337
Manchester,4787,177
DeQuincy,4785,372
Wolverine Lake,4783,1468
Wamego,4782,773
Carthage,4782,198
Black Diamond,4781,281
Clifton Forge,4778,446
Landrum,4776,382
Elko New Market,4774,542
Monticello,4774,770
Bells,4772,397
Wilmer,4772,289
New Boston,4768,444
Watseka,4767,625
Ashland City,4767,172
Harlan,4766,418
Potosi,4765,427
Whiting,4765,1022
Crooksville,4765,590
Dansville,4764,647
Weston,4764,766
Ahoskie,4763,422
Benton City,4763,546
Shelley,4761,961
West Pittston,4761,2241
Forked River,4761,691
Ligonier,4760,603
Royal Pines,4759,677
Penns Grove,4757,2057
Mount Plymouth,4757,635
Shelbyville,4757,425
Dodgeville,4757,446
Royersford,4755,2333
Ford City,4753,1195
Lake Sarasota,4749,1348
Cherry Grove,4747,1618
Madisonville,4746,432
Bloomfield,4746,146
Lincoln,4745,1012
Rockwell,4744,583
McLoud,4743,96
Port Allen,4743,645
Evansdale,4743,452
Nowthen,4741,54
Baxter Springs,4741,484
Seat Pleasant,4738,2464
Palos Park,4736,288
Manning,4735,511
Columbia,4734,367
Candlewick Lake,4734,988
Campanilla,4733,3054
Winnfield,4732,451
Mead,4731,149
Santa Bárbara,4731,2793
Harrington Park,4730,989
Archbold,4729,346
Silverton,4727,1627
Medina,4727,1029
Madill,4725,341
El Jebel,4725,344
Campbelltown,4725,623
Grandyle Village,4723,969
Edwardsville,4723,1574
Chula Vista,4722,550
Camino Tassajara,4721,1429
Emerald Lake Hills,4721,1525
Weston Lakes,4721,582
Indian Mountain Lake,4719,286
Butler Beach,4716,716
Penitas,4716,460
Dexter,4715,955
Highlands,4714,2458
Lake San Marcos,4713,1066
Headland,4712,59
Summit,4707,490
Westwood,4706,486
Eldon,4706,511
Deale,4706,342
Winchester,4705,522
Castroville,4701,420
Crystal City,4700,401
Baldwin City,4700,679
Fountain Hill,4699,2467
Gladstone,4698,358
Miami Heights,4697,515
Broad Brook,4695,305
Mountain Grove,4690,451
Falmouth,4688,580
Cheboygan,4686,266
Bishopville,4686,498
Placitas,4686,60
Westmont,4685,770
Morgan's Point Resort,4685,645
Lexington,4682,470
Sierra View,4680,357
Lake View,4679,490
Wayland,4679,550
Sherman,4679,576
Mountain Lake Park,4678,418
Smith Mills,4678,387
Mattituck,4676,200
Brookdale,4674,495
Connerton,4673,139
Brisbane,4671,582
North Braddock,4669,1208
June Park,4669,603
South Lebanon,4668,547
Bigfork,4668,57
Osage Beach,4666,183
Brielle,4666,1026
Summerside,4666,872
Spurgeon,4666,440
Tuscola,4665,585
Cherokee Village,4661,88
Sandy Oaks,4660,754
Carolina Shores,4659,672
Granite Falls,4659,343
Hawthorne,4658,1637
Chester,4658,343
Millis-Clicquot,4658,574
Wayzata,4657,580
Tama,4657,358
Madison,4656,186
Paradise Hills,4656,1757
Tulia,4655,505
West Elmira,4655,591
Phoenix,4653,1252
Reiffton,4651,947
Danville,4648,1153
Little Falls,4645,466
Boalsburg,4642,309
Woodruff,4642,436
Galeville,4642,1555
Jackson,4642,114
Pea Ridge,4641,638
Kaplan,4639,733
Lemoyne,4634,1109
Durand,4633,653
East Palestine,4633,541
Gardnertown,4633,370
Wanamassa,4630,1604
Spruce Pine,4630,176
Swartz,4629,219
Hebbronville,4626,285
Daingerfield,4625,374
Hampton,4624,311
Comerío,4624,3998
Vilonia,4623,223
Auburn,4623,431
Rock Hill,4620,1627
Cape May Court House,4617,204
Blountstown,4617,295
Vandercook Lake,4615,388
Hazardville,4615,541
Edenton,4614,331
Old Westbury,4614,207
Daytona Beach Shores,4614,1960
Creedmoor,4612,333
Higginsville,4609,472
Coldwater,4609,907
Woodmore,4608,271
Spotsylvania Courthouse,4607,170
Winnsboro,4607,380
Bushnell,4607,105
Haskell,4605,361
Village of Four Seasons,4605,190
Altavista,4603,260
Newport,4602,220
Dundee,4601,338
Cold Spring,4601,622
Oak View,4598,904
North Sea,4597,160
Neptune City,4596,1980
Lajas,4596,1481
Pascoag,4594,353
Wingate,4594,938
Williamstown,4593,2064
Montebello,4593,410
Searingtown,4593,1908
Hollister,4592,278
Suncoast Estates,4592,651
Newport,4591,232
Meadows Place,4591,1891
Edinburgh,4590,570
Verdigris,4590,302
Fort Defiance,4590,291
Spry,4588,685
Mount Ephraim,4587,2003
Plain City,4586,732
Coopertown,4586,56
Montgomery,4584,339
Lower Grand Lagoon,4584,842
Farrell,4580,781
Flemington,4577,1640
Kahaluu,4577,507
Beattystown,4575,583
Peppermill Village,4575,2356
Buffalo,4575,394
Fox River Grove,4573,1031
North Kansas City,4571,400
West York,4571,3360
Blakely,4571,100
Bridgeport,4570,2677
Portola Valley,4568,193
Scottsville,4568,287
Breckenridge Hills,4566,2201
Belfair,4564,239
Vamo,4564,1203
Benton,4563,382
Gray,4563,321
Louisburg,4562,361
Donora,4562,927
Whitfield,4560,1679
Byram,4560,2207
Sullivan,4560,618
Ellisville,4559,168
Perezville,4555,1064
Castle Pines Village,4553,394
Gang Mills,4553,401
Rio Communities,4552,228
Point Pleasant Beach,4551,1235
Okauchee Lake,4551,508
Hartsdale,4550,1962
Columbiana,4550,101
Fox Farm-College,4549,582
Wahoo,4548,598
Eastwood,4548,276
Aurora,4547,576
Union Springs,4547,198
Leisure Village,4547,1346
Bremen,4546,609
Santa Ynez,4546,341
Oconto,4545,258
Social Circle,4544,120
Canastota,4544,525
Harrington,4543,515
Dardanelle,4541,481
Wiggins,4541,163
Dilley,4540,743
Avalon,4537,2840
Gunnison,4536,289
Boiling Springs,4535,390
Piedmont,4535,178
Palacios,4535,354
East Hampton North,4535,310
Paxton,4534,524
Lexington,4534,334
Whiteland,4532,380
Luverne,4531,485
Watertown,4529,665
Laureles,4529,364
Hazlehurst,4528,325
Moses Lake North,4526,314
Negaunee,4525,129
Surfside Beach,4525,902
Wrightsboro,4525,156
Pilot Point,4525,433
Buhl,4524,926
Chain Lake,4522,165
Spring Lake Heights,4521,1348
Piney,4521,268
South Hill,4520,170
Gibraltar,4519,473
Winfield,4519,98
Bonneauville,4519,734
South Bound Brook,4518,2705
Reminderville,4517,798
Oak Hill,4516,222
Smithville,4515,438
Capitol Heights,4514,2232
Lake Holiday,4512,544
Phoenix Lake,4511,158
North Westport,4510,335
Mount Vernon,4508,437
Hancock,4506,675
Sauk Centre,4505,417
Lake Wisconsin,4505,141
Ludlow,4504,1899
Laguna Beach,4504,691
East Petersburg,4504,1439
Silver Summit,4503,102
Ardsley,4502,1314
Tallassee,4502,157
Guayanilla,4501,2452
Crystal River,4498,164
Hazlehurst,4497,337
Ogallala,4497,350
Bayshore,4496,737
Edwardsville,4495,192
Fremont,4494,398
Florence,4494,214
Orangeburg,4491,565
Ottawa Hills,4488,921
Jamestown,4487,578
Sayre,4486,309
Pine Level,4484,69
Ebensburg,4478,711
Fussels Corner,4477,321
Medina,4474,412
San Diego,4474,857
Santa Venetia,4474,473
Williamstown,4473,90
Shady Hollow,4473,797
Rosedale,4472,380
Walhalla,4472,444
Newton Falls,4471,754
Castle Hills,4470,698
Pinetop-Lakeside,4469,154
Goodland,4469,378
Huber Ridge,4468,1647
Woodville,4468,292
Berryville,4467,743
Millersburg,4467,1279
Utqiagvik,4467,91
Helena Valley Northwest,4465,105
Holiday City South,4464,917
White City,4464,343
Sunnyside,4464,900
Algood,4463,422
Mount Holly Springs,4463,582
Horse Cave,4460,297
High Ridge,4459,456
Cramerton,4458,448
Oak Grove,4458,383
Bonsall,4458,128
Minerva,4456,644
Whiteville,4456,652
West Peoria,4455,820
Beaufort,4452,354
Grayson,4452,697
San Carlos,4451,200
East Merrimack,4449,571
Holtville,4449,79
Mountain View Acres,4447,1080
La Verkin,4446,134
Mount Hood Village,4445,65
Pupukea,4443,499
Reedsport,4442,776
Lake Tansi,4441,200
Coquille,4439,549
Armonk,4438,287
Mary Esther,4434,1161
Saukville,4433,486
Unalaska,4432,16
The Meadows,4430,792
Tazewell,4430,232
Beecher,4427,615
Crestline,4425,542
Enon,4425,396
Russell,4423,354
Dilworth,4422,531
Valdese,4420,217
Marlow,4420,244
Jenkintown,4420,2949
Perryville,4419,575
Berwick,4419,289
Planada,4418,1081
Towanda,4417,953
California,4416,454
Ste. Genevieve,4416,415
Stock Island,4416,2037
Brookridge,4412,672
Churchville,4412,843
Senoia,4412,277
Cortland,4408,466
King City,4408,2079
Kensington Park,4407,1344
Armona,4407,895
Jourdanton,4405,486
Sheffield,4402,158
Viroqua,4402,432
Jessup,4400,252
St. James,4400,729
Ashdown,4400,238
Sparta,4399,687
Montoursville,4399,470
Walworth,4399,628
Samoset,4399,1309
McSwain,4399,281
Carlisle,4396,299
Suquamish,4395,248
Stanford,4393,343
Ely,4392,202
Hallsville,4392,454
Holts Summit,4391,457
Clintonville,4391,381
Clarkdale,4391,163
Church Point,4388,581
Brookville,4388,466
Redland,4388,70
Hurstbourne,4388,940
Mount Olive,4387,183
Coopersville,4387,352
Arabi,4387,965
Windom,4386,418
Nashville,4386,309
Kingsville,4385,168
Larksville,4385,360
Jacksboro,4384,235
West Laurel,4383,747
Argyle,4381,148
Van Alstyne,4378,333
Cortez,4377,757
Cornwall,4376,174
Fetters Hot Springs-Agua Caliente,4374,1155
Caldwell,4373,433
Woodbridge,4373,1054
Albion,4372,518
Noyack,4372,200
Heeia,4372,546
Pendleton,4371,126
Wonder Lake,4370,310
Fort Branch,4370,979
Long Hill,4369,1096
Pittsboro,4368,347
Grottoes,4367,541
Euharlee,4367,312
Tarentum,4366,1376
Camanche,4365,194
Todd Creek,4365,173
Deer Park,4364,244
Balm,4362,167
Pacheco,4361,2272
Lake Providence,4361,368
Copperopolis,4361,81
Isle of Palms,4360,379
Tontitown,4358,93
Laurel,4356,606
Hamburg,4355,890
Mauston,4355,376
West Hazleton,4355,1121
Hearne,4354,408
Garwood,4352,2583
Shallotte,4351,182
Atlantic Highlands,4351,1328
Sullivan,4351,842
Harrogate,4348,231
Argo,4348,156
Canton,4347,451
American Falls,4345,1032
Cedarville,4343,1274
Brices Creek,4342,213
Greendale,4341,295
French Island,4341,828
North Terre Haute,4339,467
East Troy,4338,371
St. Bernard,4336,1074
Eldorado,4336,602
Narberth,4336,3329
Elk Ridge,4335,592
Bayside,4334,701
Flourtown,4331,1184
Dyersville,4329,247
Lake Montezuma,4329,139
Forks,4327,364
Fulton,4326,441
Wallace,4326,486
Cokato,4326,688
Taylor,4321,51
Dumas,4319,486
Spring Valley Village,4319,1371
Del Mar,4319,968
Montgomery,4317,371
Bayou Vista,4316,924
Nikiski,4316,23
Glassport,4315,1053
Humboldt Hill,4315,400
Larned,4313,588
Moon Lake,4312,293
Bethel Manor,4312,3296
Indian River Shores,4311,324
West Ocean City,4310,440
Wright City,4309,277
Slatington,4307,1258
Aumsville,4306,1430
Holmes Beach,4305,991
Springville,4304,186
Pennside,4304,1779
Madeira Beach,4301,1691
Whitesboro,4300,476
Whiteriver,4296,105
Slaughterville,4296,43
National Harbor,4296,1137
West Reading,4296,2790
Prescott,4295,638
Lamar,4294,317
Wauna,4294,261
La Joya,4293,394
Middlebury,4292,321
Barnwell,4291,211
Priceville,4291,251
Selmer,4291,173
Chatsworth,4290,311
Crane,4290,1374
Geneva,4289,104
Melwood,4289,593
Crittenden,4288,439
Springville,4288,449
Ridge Wood Heights,4287,1171
Nelson,4287,348
Cross Plains,4286,916
Grant-Valkaria,4286,60
Hayfield,4285,1290
Indian Rocks Beach,4285,1958
Osawatomie,4284,314
Buena,4284,218
Sellersville,4283,1445
Medford,4282,370
Mifflinburg,4282,743
Three Oaks,4281,1014
Adamsville,4281,65
Justin,4279,695
Fayette,4275,193
Kenmar,4275,805
Lytle,4275,248
Coleman,4274,268
Sparta,4273,147
Morgan,4273,556
Magnolia,4273,1686
Mather,4272,164
Centralia,4271,576
Chalfont,4269,1018
Quebradillas,4269,1020
Oneida,4267,153
Port Aransas,4266,184
Beaver,4266,1798
Travis Ranch,4265,1708
Lafayette,4265,1904
Reidland,4265,342
Kewaskum,4264,699
Park Layne,4264,1124
Clearwater,4264,392
Buchanan,4263,652
Blanchester,4262,396
Belleair,4260,950
Williamston,4260,445
Florida,4260,1089
Imperial,4260,313
Barboursville,4258,401
Adjuntas,4258,2192
Mulberry,4257,266
Hokes Bluff,4257,137
Newport,4257,282
Mifflintown,4254,2510
Pittsfield,4254,344
Ellisburg,4254,1815
Groesbeck,4253,378
Edgewood,4253,240
Stafford Courthouse,4252,383
Garden City South,4250,4054
Parker,4249,858
Mitchell,4249,456
Mystic,4249,489
Mount Repose,4249,799
Barclay,4248,988
Pleasant Run Farm,4246,1551
Farley,4245,275
Georgetown,4243,395
Freeburg,4242,240
Cotulla,4241,794
Raymond,4241,282
Sissonville,4239,128
East Tawas,4239,373
Lebanon,4238,615
Waverly,4236,392
Park Rapids,4235,220
Fort Pierce South,4235,603
Lyons,4233,204
Pocomoke City,4230,420
Verona,4228,217
Venersborg,4227,150
Bethlehem,4227,214
Deer Park,4225,449
Dorneyville,4224,813
Hiram,4223,410
Mountain Lakes,4223,617
Mount Pleasant,4221,1627
Lake Darby,4220,470
Masontown,4220,837
China Grove,4220,460
Bellville,4219,613
Broken Bow,4216,257
Singac,4215,3542
Fredericktown,4215,355
McMurray,4215,530
Ivanhoe,4215,808
Brookfield,4213,380
Mayodan,4211,319
Moyock,4210,155
Lonsdale,4207,615
Central Gardens,4207,648
Libby,4206,582
Hampton,4205,366
Greenville,4204,316
Esperance,4204,2241
Red Rock,4203,34
Woodstock,4202,89
Spindale,4202,302
Lancaster,4201,681
Bristow,4200,459
South Brooksville,4200,90
Comanche,4197,355
Silver Lake,4197,4965
Ellenton,4192,484
Barrington Hills,4190,59
Prairie Heights,4187,432
Lonoke,4187,331
Sebring,4186,647
Thornwood,4186,1446
Malden,4185,180
Golden Triangle,4185,571
University Gardens,4182,3069
Trenton,4180,200
Monte Vista,4179,606
Malmstrom AFB,4179,315
Hometown,4177,3367
Scandia,4176,46
Carlyle,4175,359
Westover,4173,1072
Mountain Home,4173,427
Moosup,4173,697
Captain Cook,4171,125
El Cerro Mission,4170,273
Bluffton,4170,432
Whiteman AFB,4169,240
Ovilla,4167,277
Columbus,4165,490
