city,population,density (per sq. km)
Alexandria,159428,4121
Hayward,159203,1349
Springfield,158509,723
Lakewood,157935,1416
Lafayette,157820,942
Frederick,156787,1172
Lake Charles,156181,674
Odessa,155998,1052
Tuscaloosa,155499,631
Warner Robins,155140,805
Palmdale,155079,564
Hollywood,154817,2192
Midland,154793,758
Leesburg,154574,249
Port Arthur,154468,272
Muskegon,153565,998
Macon,153159,237
Kansas City,152960,473
Sunnyvale,152703,2676
Pomona,151691,2548
Escondido,151625,1568
Pasadena,151227,1339
New Bedford,149910,1840
Fairfield,148683,1097
Naperville,148449,1476
Bellevue,148164,1709
Binghamton,148145,1635
Elkhart,147567,734
Topeka,147458,787
Joliet,147344,886
Beaumont,146091,547
Paterson,145233,6665
Merced,145149,1390
Pueblo,143932,789
Tyler,143796,718
Torrance,143592,2701
Yuma,142847,313
Metairie,142135,2359
Surprise,141664,506
Columbia,141645,725
Athens,141532,421
Roseville,141500,1239
Thornton,141464,1521
Miramar,141191,1889
Pasadena,141029,2371
Mesquite,140937,1151
Olathe,140545,880
Santa Maria,140545,1815
Houma,140469,874
Carrollton,139248,1466
Grand Junction,139143,621
Charleston,138706,570
Orange,138669,2086
Fullerton,138632,2386
Greeley,137810,858
Carolina,136771,2550
Las Cruces,136254,519
Panama City,136133,382
Harlingen,136037,626
West Valley City,135248,1472
Hampton,134510,1009
Warren,133943,1505
Mauldin,133872,899
Bloomington,133846,1100
Coral Springs,133759,2258
Round Rock,133372,1421
Yakima,133191,1300
Sterling Heights,132438,1403
Kent,132319,1513
Burlington,131043,707
Bellingham,130641,1287
Santa Clara,130365,2761
Racine,130142,1915
Greenville,130118,1012
Stamford,129638,1330
Elizabeth,129216,4049
Johnson City,127571,599
Lynchburg,126814,647
Simi Valley,126589,1167
Fort Smith,125354,536
Kenosha,124972,1378
Norman,124880,269
South Lyon,124694,1219
Boulder,124345,1551
Abilene,123420,446
Lehigh Acres,123378,514
Pearland,122460,981
Berkeley,121363,4473
Richardson,121323,1639
Redding,121313,599
Arvada,121272,1207
East Los Angeles,121187,6282
St. George,120899,449
Billings,120728,948
Yuba City,120456,1736
Rochester,119942,831
Leominster,119690,558
Kingsport,119666,397
Duluth,119476,461
Rock Hill,119105,750
Gilroy,118993,1378
Cambridge,118927,7182
Sugar Land,118488,1130
Texas City,118169,300
Iowa City,118041,1133
Saginaw,117958,1087
Chico,117668,1191
Dover,117282,622
Clearwater,116946,1731
Coeur d'Alene,116834,1260
Seaside,116720,1410
Independence,116672,577
West Jordan,116480,1391
Brandon,115911,1350
Bloomington,115884,1424
El Monte,115487,4663
North Charleston,115382,574
Carlsbad,115382,1180
St. Cloud,115028,660
Temecula,114761,1188
Clovis,114584,1741
Meridian,114161,1297
The Woodlands,113819,1017
Ponce,113401,1426
Westminster,113166,1383
Costa Mesa,113003,2762
Monroe,112891,623
Utica,112650,1376
Pompano Beach,112118,1802
West Palm Beach,111955,803
Waterloo,111631,423
Everett,111475,1296
El Centro,111425,1478
Santa Fe,111269,625
Downey,111126,3457
Spring Hill,111076,716
Lowell,110997,3149
Centennial,110937,1448
Elgin,110849,1141
Richmond,110567,1420
Broken Arrow,110198,688
Miami Gardens,110001,2329
Bend,109802,1171
Burlington,109763,1604
Jurupa Valley,109527,984
Sandy Springs,109452,1122
Gresham,109381,1808
Lewisville,109212,1148
Hillsboro,109128,1640
San Buenaventura,109106,1925
Jacksonville,108856,574
Pottstown,108758,1798
Inglewood,108151,4604
League City,107536,809
Eau Claire,107404,812
Turlock,107317,1679
Temple,107258,429
Sioux City,106455,545
Salisbury,106447,927
Davie,106306,1175
Daly City,106280,5370
Highlands Ranch,105631,1680
Allen,105623,1544
West Covina,105101,2529
Sparks,105006,1131
Wichita Falls,104683,561
San Mateo,104430,3312
Columbia,103991,1257
Norwalk,103949,4133
Rialto,103526,1665
Manteca,103420,1498
Arden-Arcade,102864,2235
El Cajon,102708,2732
Burbank,102511,2285
Longmont,102474,1306
Renton,101751,1676
Vista,101638,2093
Logan,101616,1126
Prescott Valley,101539,439
Vacaville,101444,1330
Edinburg,101170,873
Carmel,101068,795
Spokane Valley,101060,1034
San Angelo,101004,653
La Crosse,100693,911
