"city",state_id,county_name,lat,lng,timezone,zips
"New York",NY,New York,40.6943,-73.9249,America/New_York,10001
"New York",NY,New York,40.6943,-73.9249,America/New_York,10002
"New York",NY,New York,40.6943,-73.9249,America/New_York,10003
"New York",NY,New York,40.6943,-73.9249,America/New_York,10009
"New York",NY,New York,40.6943,-73.9249,America/New_York,11238
"New York",NY,New York,40.6943,-73.9249,America/New_York,11239
"New York",NY,New York,40.6943,-73.9249,America/New_York,11230
"New York",NY,New York,40.6943,-73.9249,America/New_York,11231
"New York",NY,New York,40.6943,-73.9249,America/New_York,11232
"New York",NY,New York,40.6943,-73.9249,America/New_York,11233
"New York",NY,New York,40.6943,-73.9249,America/New_York,11234
"New York",NY,New York,40.6943,-73.9249,America/New_York,11235
"New York",NY,New York,40.6943,-73.9249,America/New_York,11236
"New York",NY,New York,40.6943,-73.9249,America/New_York,11237
"New York",NY,New York,40.6943,-73.9249,America/New_York,11375
"New York",NY,New York,40.6943,-73.9249,America/New_York,11374
"New York",NY,New York,40.6943,-73.9249,America/New_York,11371
"New York",NY,New York,40.6943,-73.9249,America/New_York,11370
"New York",NY,New York,40.6943,-73.9249,America/New_York,11373
"New York",NY,New York,40.6943,-73.9249,America/New_York,11372
"New York",NY,New York,40.6943,-73.9249,America/New_York,10170
"New York",NY,New York,40.6943,-73.9249,America/New_York,10171
"New York",NY,New York,40.6943,-73.9249,America/New_York,10172
"New York",NY,New York,40.6943,-73.9249,America/New_York,10173
"New York",NY,New York,40.6943,-73.9249,America/New_York,10174
"New York",NY,New York,40.6943,-73.9249,America/New_York,10177
"New York",NY,New York,40.6943,-73.9249,America/New_York,11351
"New York",NY,New York,40.6943,-73.9249,America/New_York,10039
"New York",NY,New York,40.6943,-73.9249,America/New_York,10038
"New York",NY,New York,40.6943,-73.9249,America/New_York,10035
"New York",NY,New York,40.6943,-73.9249,America/New_York,10034
"New York",NY,New York,40.6943,-73.9249,America/New_York,10037
"New York",NY,New York,40.6943,-73.9249,America/New_York,10036
"New York",NY,New York,40.6943,-73.9249,America/New_York,10031
"New York",NY,New York,40.6943,-73.9249,America/New_York,10030
"New York",NY,New York,40.6943,-73.9249,America/New_York,10033
"New York",NY,New York,40.6943,-73.9249,America/New_York,10032
"New York",NY,New York,40.6943,-73.9249,America/New_York,11201
"New York",NY,New York,40.6943,-73.9249,America/New_York,11208
"New York",NY,New York,40.6943,-73.9249,America/New_York,11203
"New York",NY,New York,40.6943,-73.9249,America/New_York,11205
"New York",NY,New York,40.6943,-73.9249,America/New_York,11204
"New York",NY,New York,40.6943,-73.9249,America/New_York,11207
"New York",NY,New York,40.6943,-73.9249,America/New_York,11206
"New York",NY,New York,40.6943,-73.9249,America/New_York,11209
"New York",NY,New York,40.6943,-73.9249,America/New_York,11411
"New York",NY,New York,40.6943,-73.9249,America/New_York,11412
"New York",NY,New York,40.6943,-73.9249,America/New_York,11413
"New York",NY,New York,40.6943,-73.9249,America/New_York,11414
"New York",NY,New York,40.6943,-73.9249,America/New_York,11415
"New York",NY,New York,40.6943,-73.9249,America/New_York,11416
"New York",NY,New York,40.6943,-73.9249,America/New_York,11417
"New York",NY,New York,40.6943,-73.9249,America/New_York,11418
"New York",NY,New York,40.6943,-73.9249,America/New_York,11419
"New York",NY,New York,40.6943,-73.9249,America/New_York,11101
"New York",NY,New York,40.6943,-73.9249,America/New_York,11102
"New York",NY,New York,40.6943,-73.9249,America/New_York,11103
"New York",NY,New York,40.6943,-73.9249,America/New_York,11106
"New York",NY,New York,40.6943,-73.9249,America/New_York,11001
"New York",NY,New York,40.6943,-73.9249,America/New_York,11005
"New York",NY,New York,40.6943,-73.9249,America/New_York,11004
"New York",NY,New York,40.6943,-73.9249,America/New_York,10065
"New York",NY,New York,40.6943,-73.9249,America/New_York,10069
"New York",NY,New York,40.6943,-73.9249,America/New_York,10199
"New York",NY,New York,40.6943,-73.9249,America/New_York,10309
"New York",NY,New York,40.6943,-73.9249,America/New_York,10308
"New York",NY,New York,40.6943,-73.9249,America/New_York,10304
"New York",NY,New York,40.6943,-73.9249,America/New_York,10303
"New York",NY,New York,40.6943,-73.9249,America/New_York,11428
"New York",NY,New York,40.6943,-73.9249,America/New_York,11421
"New York",NY,New York,40.6943,-73.9249,America/New_York,11420
"New York",NY,New York,40.6943,-73.9249,America/New_York,11423
"New York",NY,New York,40.6943,-73.9249,America/New_York,11422
"New York",NY,New York,40.6943,-73.9249,America/New_York,11425
"New York",NY,New York,40.6943,-73.9249,America/New_York,11424
"New York",NY,New York,40.6943,-73.9249,America/New_York,11427
"New York",NY,New York,40.6943,-73.9249,America/New_York,11426
"New York",NY,New York,40.6943,-73.9249,America/New_York,10466
"New York",NY,New York,40.6943,-73.9249,America/New_York,10467
"New York",NY,New York,40.6943,-73.9249,America/New_York,10464
"New York",NY,New York,40.6943,-73.9249,America/New_York,10465
"New York",NY,New York,40.6943,-73.9249,America/New_York,10462
"New York",NY,New York,40.6943,-73.9249,America/New_York,10463
"New York",NY,New York,40.6943,-73.9249,America/New_York,10460
"New York",NY,New York,40.6943,-73.9249,America/New_York,10461
"New York",NY,New York,40.6943,-73.9249,America/New_York,10468
"New York",NY,New York,40.6943,-73.9249,America/New_York,10469
"New York",NY,New York,40.6943,-73.9249,America/New_York,10119
"New York",NY,New York,40.6943,-73.9249,America/New_York,10115
"New York",NY,New York,40.6943,-73.9249,America/New_York,10112
"New York",NY,New York,40.6943,-73.9249,America/New_York,10110
"New York",NY,New York,40.6943,-73.9249,America/New_York,10111
"New York",NY,New York,40.6943,-73.9249,America/New_York,11359
"New York",NY,New York,40.6943,-73.9249,America/New_York,11358
"New York",NY,New York,40.6943,-73.9249,America/New_York,11357
"New York",NY,New York,40.6943,-73.9249,America/New_York,11356
"New York",NY,New York,40.6943,-73.9249,America/New_York,11355
"New York",NY,New York,40.6943,-73.9249,America/New_York,11354
"New York",NY,New York,40.6943,-73.9249,America/New_York,10019
"New York",NY,New York,40.6943,-73.9249,America/New_York,10018
"New York",NY,New York,40.6943,-73.9249,America/New_York,10013
"New York",NY,New York,40.6943,-73.9249,America/New_York,10012
"New York",NY,New York,40.6943,-73.9249,America/New_York,10011
"New York",NY,New York,40.6943,-73.9249,America/New_York,10010
"New York",NY,New York,40.6943,-73.9249,America/New_York,10017
"New York",NY,New York,40.6943,-73.9249,America/New_York,10016
"New York",NY,New York,40.6943,-73.9249,America/New_York,10014
"New York",NY,New York,40.6943,-73.9249,America/New_York,10008
"New York",NY,New York,40.6943,-73.9249,America/New_York,10041
"New York",NY,New York,40.6943,-73.9249,America/New_York,10043
"New York",NY,New York,40.6943,-73.9249,America/New_York,10055
"New York",NY,New York,40.6943,-73.9249,America/New_York,10060
"New York",NY,New York,40.6943,-73.9249,America/New_York,10080
"New York",NY,New York,40.6943,-73.9249,America/New_York,10081
"New York",NY,New York,40.6943,-73.9249,America/New_York,10087
"New York",NY,New York,40.6943,-73.9249,America/New_York,10090
"New York",NY,New York,40.6943,-73.9249,America/New_York,10101
"New York",NY,New York,40.6943,-73.9249,America/New_York,10102
"New York",NY,New York,40.6943,-73.9249,America/New_York,10104
"New York",NY,New York,40.6943,-73.9249,America/New_York,10105
"New York",NY,New York,40.6943,-73.9249,America/New_York,10106
"New York",NY,New York,40.6943,-73.9249,America/New_York,10107
"New York",NY,New York,40.6943,-73.9249,America/New_York,10108
"New York",NY,New York,40.6943,-73.9249,America/New_York,10109
"New York",NY,New York,40.6943,-73.9249,America/New_York,10113
"New York",NY,New York,40.6943,-73.9249,America/New_York,10114
"New York",NY,New York,40.6943,-73.9249,America/New_York,10116
"New York",NY,New York,40.6943,-73.9249,America/New_York,10117
"New York",NY,New York,40.6943,-73.9249,America/New_York,10118
"New York",NY,New York,40.6943,-73.9249,America/New_York,10120
"New York",NY,New York,40.6943,-73.9249,America/New_York,10121
"New York",NY,New York,40.6943,-73.9249,America/New_York,10122
"New York",NY,New York,40.6943,-73.9249,America/New_York,10123
"New York",NY,New York,40.6943,-73.9249,America/New_York,10124
"New York",NY,New York,40.6943,-73.9249,America/New_York,10125
"New York",NY,New York,40.6943,-73.9249,America/New_York,10126
"New York",NY,New York,40.6943,-73.9249,America/New_York,10129
"New York",NY,New York,40.6943,-73.9249,America/New_York,10130
"New York",NY,New York,40.6943,-73.9249,America/New_York,10131
"New York",NY,New York,40.6943,-73.9249,America/New_York,10132
"New York",NY,New York,40.6943,-73.9249,America/New_York,10133
"New York",NY,New York,40.6943,-73.9249,America/New_York,10138
"New York",NY,New York,40.6943,-73.9249,America/New_York,10150
"New York",NY,New York,40.6943,-73.9249,America/New_York,10151
"New York",NY,New York,40.6943,-73.9249,America/New_York,10155
"New York",NY,New York,40.6943,-73.9249,America/New_York,10156
"New York",NY,New York,40.6943,-73.9249,America/New_York,10157
"New York",NY,New York,40.6943,-73.9249,America/New_York,10158
"New York",NY,New York,40.6943,-73.9249,America/New_York,10159
"New York",NY,New York,40.6943,-73.9249,America/New_York,10160
"New York",NY,New York,40.6943,-73.9249,America/New_York,10163
"New York",NY,New York,40.6943,-73.9249,America/New_York,10164
"New York",NY,New York,40.6943,-73.9249,America/New_York,10166
"New York",NY,New York,40.6943,-73.9249,America/New_York,10175
"New York",NY,New York,40.6943,-73.9249,America/New_York,10176
"New York",NY,New York,40.6943,-73.9249,America/New_York,10178
"New York",NY,New York,40.6943,-73.9249,America/New_York,10179
"New York",NY,New York,40.6943,-73.9249,America/New_York,10185
"New York",NY,New York,40.6943,-73.9249,America/New_York,10203
"New York",NY,New York,40.6943,-73.9249,America/New_York,10211
"New York",NY,New York,40.6943,-73.9249,America/New_York,10212
"New York",NY,New York,40.6943,-73.9249,America/New_York,10213
"New York",NY,New York,40.6943,-73.9249,America/New_York,10242
"New York",NY,New York,40.6943,-73.9249,America/New_York,10249
"New York",NY,New York,40.6943,-73.9249,America/New_York,10256
"New York",NY,New York,40.6943,-73.9249,America/New_York,10258
"New York",NY,New York,40.6943,-73.9249,America/New_York,10259
"New York",NY,New York,40.6943,-73.9249,America/New_York,10260
"New York",NY,New York,40.6943,-73.9249,America/New_York,10261
"New York",NY,New York,40.6943,-73.9249,America/New_York,10265
"New York",NY,New York,40.6943,-73.9249,America/New_York,10268
"New York",NY,New York,40.6943,-73.9249,America/New_York,10269
"New York",NY,New York,40.6943,-73.9249,America/New_York,10270
"New York",NY,New York,40.6943,-73.9249,America/New_York,10272
"New York",NY,New York,40.6943,-73.9249,America/New_York,10273
"New York",NY,New York,40.6943,-73.9249,America/New_York,10274
"New York",NY,New York,40.6943,-73.9249,America/New_York,10275
"New York",NY,New York,40.6943,-73.9249,America/New_York,10276
"New York",NY,New York,40.6943,-73.9249,America/New_York,10277
"New York",NY,New York,40.6943,-73.9249,America/New_York,10281
"New York",NY,New York,40.6943,-73.9249,America/New_York,10285
"New York",NY,New York,40.6943,-73.9249,America/New_York,10286
"New York",NY,New York,40.6943,-73.9249,America/New_York,10313
"New York",NY,New York,40.6943,-73.9249,America/New_York,11120
