"state","county","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AR,"Pike",61.3,60,0.1,61.2
AR,"Poinsett",60.6,77,0.5,60.1
AR,"Polk",59.7,75,0.4,59.3
AR,"Pope",59.3,68,0.2,59.1
AR,"Prairie",61.6,62,0.1,61.5
AR,"Pulaski",61.1,45,-0.3,61.4
AR,"Randolph",58.7,82,0.6,58.1
AR,"St. Francis",61.8,82,0.5,61.3
AR,"Saline",61.0,51,-0.2,61.2
AR,"Scott",60.2,79,0.4,59.8
AR,"Searcy",57.3,72,0.2,57.1
AR,"Sebastian",61.1,86,0.7,60.4
AR,"Sevier",62.4,92,0.7,61.7
AR,"Sharp",58.0,82,0.6,57.4
AR,"Stone",57.9,75,0.2,57.7
AR,"Union",64.0,89,0.8,63.2
AR,"Van Buren",58.3,68,0.1,58.2
AR,"Washington",57.8,77,0.5,57.3
AR,"White",60.8,78,0.4,60.4
AR,"Woodruff",60.8,59,0.0,60.8
AR,"Yell",60.7,68,0.2,60.5
CA,"Alameda",61.7,124,3.8,57.9
CA,"Alpine",46.4,122,3.1,43.3
CA,"Amador",60.5,123,3.3,57.2
CA,"Butte",62.4,124,3.6,58.8
CA,"Calaveras",61.0,123,3.3,57.7
CA,"Colusa",64.1,124,3.8,60.3
CA,"Contra Costa",62.8,125,4.0,58.8
CA,"Del Norte",53.8,123,3.0,50.8
CA,"El Dorado",56.4,122,3.1,53.3
CA,"Fresno",57.8,123,3.4,54.4
CA,"Glenn",62.9,124,3.6,59.3
CA,"Humboldt",55.6,123,2.7,52.9
CA,"Imperial",75.4,120,3.2,72.2
CA,"Inyo",62.5,121,3.0,59.5
CA,"Kern",63.6,122,3.1,60.5
CA,"Kings",65.6,123,3.1,62.5
CA,"Lake",59.9,123,3.5,56.4
CA,"Lassen",49.4,122,3.3,46.1
CA,"Los Angeles",63.2,121,3.4,59.8
CA,"Madera",58.4,123,3.3,55.1
CA,"Marin",58.1,124,3.3,54.8
CA,"Mariposa",57.7,123,3.2,54.5
CA,"Mendocino",57.9,124,3.1,54.8
CA,"Merced",64.4,123,3.4,61
CA,"Modoc",49.2,123,3.7,45.5
CA,"Mono",46.5,121,3.2,43.3
CA,"Monterey",60.4,123,3.2,57.2
CA,"Napa",61.9,124,3.7,58.2
CA,"Nevada",54.8,122,3.1,51.7
CA,"Orange",65.6,120,3.2,62.4
CA,"Placer",56.2,123,3.1,53.1
CA,"Plumas",49.6,122,2.8,46.8
CA,"Riverside",70.0,121,3.2,66.8
CA,"Sacramento",64.7,124,3.6,61.1
CA,"San Benito",60.8,123,3.4,57.4
CA,"San Bernardino",68.1,121,3.0,65.1
CA,"San Diego",64.5,121,3.3,61.2
CA,"San Francisco",59.2,124,3.4,55.8
CA,"San Joaquin",64.8,125,4.1,60.7
CA,"San Luis Obispo",61.3,121,3.3,58
CA,"San Mateo",59.2,124,3.8,55.4
CA,"Santa Barbara",60.0,121,3.4,56.6
CA,"Santa Clara",60.6,124,3.7,56.9
CA,"Santa Cruz",59.6,123,3.9,55.7
CA,"Shasta",57.6,123,3.3,54.3
CA,"Sierra",49.6,122,3.2,46.4
CA,"Siskiyou",51.2,122,3.4,47.8
CA,"Solano",63.4,124,3.6,59.8
CA,"Sonoma",59.5,124,3.4,56.1
CA,"Stanislaus",63.8,124,3.4,60.4
CA,"Sutter",65.3,124,3.5,61.8
CA,"Tehama",61.3,123,3.4,57.9
CA,"Trinity",55.0,124,3.5,51.5
CA,"Tulare",56.1,122,2.9,53.2
CA,"Tuolumne",52.7,123,3.1,49.6
CA,"Ventura",59.3,121,3.3,56
CA,"Yolo",64.4,124,3.5,60.9
CA,"Yuba",63.2,123,3.4,59.8
CO,"Adams",50.9,118,2.4,48.5
CO,"Alamosa",44.5,120,2.7,41.8
CO,"Arapahoe",50.4,118,2.2,48.2
CO,"Archuleta",45.8,123,3.2,42.6
CO,"Baca",54.4,103,1.2,53.2
CO,"Bent",54.7,114,2.0,52.7
CO,"Boulder",45.9,116,2.1,43.8
CO,"Broomfield",51.4,113,1.8,49.6
CO,"Chaffee",39.0,114,1.5,37.5
CO,"Cheyenne",52.7,116,2.2,50.5
CO,"Clear Creek",38.7,117,2.2,36.5
CO,"Conejos",42.2,121,2.9,39.3
CO,"Costilla",44.3,124,3.3,41
CO,"Crowley",53.0,112,2.1,50.9
CO,"Custer",43.0,120,2.4,40.6
CO,"Delta",48.6,120,3.6,45
CO,"Denver",51.6,113,1.9,49.7
CO,"Dolores",45.4,123,3.6,41.8
CO,"Douglas",47.7,106,1.2,46.5
CO,"Eagle",40.7,116,2.2,38.5
CO,"Elbert",49.0,119,2.2,46.8
CO,"El Paso",49.3,118,2.2,47.1
CO,"Fremont",46.4,108,1.4,45
CO,"Garfield",44.8,116,2.7,42.1
CO,"Gilpin",40.6,117,2.0,38.6
CO,"Grand",38.4,116,2.0,36.4
CO,"Gunnison",39.7,116,2.6,37.1
CO,"Hinsdale",38.2,123,3.9,34.3
CO,"Huerfano",48.8,122,2.7,46.1
CO,"Jackson",37.6,112,2.0,35.6
CO,"Jefferson",47.0,109,1.4,45.6
CO,"Kiowa",53.4,111,1.8,51.6
CO,"Kit Carson",52.5,119,2.5,50
CO,"Lake",36.0,116,2.2,33.8
CO,"La Plata",46.9,123,3.4,43.5
CO,"Larimer",43.3,114,2.4,40.9
CO,"Las Animas",52.6,120,2.3,50.3
CO,"Lincoln",51.1,116,2.3,48.8
CO,"Logan",50.8,111,1.9,48.9
CO,"Mesa",49.2,119,3.6,45.6
CO,"Mineral",38.7,123,3.3,35.4
CO,"Moffat",44.9,113,2.5,42.4
CO,"Montezuma",50.6,122,3.3,47.3
CO,"Montrose",49.5,121,3.9,45.6
CO,"Morgan",51.1,120,3.2,47.9
CO,"Otero",54.3,110,1.9,52.4
CO,"Ouray",43.5,121,3.8,39.7
CO,"Park",39.1,112,1.4,37.7
CO,"Phillips",51.0,113,2.0,49
CO,"Pitkin",39.4,117,2.5,36.9
CO,"Prowers",54.7,111,1.7,53
CO,"Pueblo",53.7,117,2.4,51.3
CO,"Rio Blanco",45.3,114,2.5,42.8
CO,"Rio Grande",41.4,120,2.9,38.5
CO,"Routt",41.0,116,2.4,38.6
CO,"Saguache",40.4,114,2.0,38.4
CO,"San Juan",37.4,123,4.1,33.3
CO,"San Miguel",46.8,121,3.7,43.1
CO,"Sedgwick",50.7,109,1.7,49
CO,"Summit",36.9,116,2.2,34.7
CO,"Teller",40.9,108,1.2,39.7
CO,"Washington",51.1,113,2.4,48.7
CO,"Weld",49.7,112,2.2,47.5
CO,"Yuma",52.1,114,2.3,49.8
CT,"Fairfield",52.4,119,3.2,49.2
CT,"Hartford",51.4,119,3.0,48.4
CT,"Litchfield",49.0,117,2.9,46.1
CT,"Middlesex",51.7,117,2.8,48.9
CT,"New Haven",51.5,115,2.6,48.9
CT,"New London",52.0,120,3.3,48.7
CT,"Tolland",50.5,119,3.1,47.4
CT,"Windham",50.7,120,3.1,47.6
DE,"Kent",57.1,119,3.1,54
DE,"New Castle",56.0,116,2.7,53.3
DE,"Sussex",58.4,120,3.6,54.8
FL,"Alachua",71.7,124,3.0,68.7
FL,"Baker",69.6,121,2.2,67.4
FL,"Bay",70.4,124,3.0,67.4
FL,"Bradford",70.9,123,2.7,68.2
FL,"Brevard",74.5,124,2.9,71.6
FL,"Broward",77.6,125,3.6,74
FL,"Calhoun",69.8,124,3.0,66.8
FL,"Charlotte",76.0,125,3.3,72.7
FL,"Citrus",73.5,125,3.7,69.8
FL,"Clay",72.0,125,3.6,68.4
FL,"Collier",76.8,125,2.8,74
FL,"Columbia",69.3,117,1.7,67.6
FL,"DeSoto",75.1,125,3.1,72
FL,"Dixie",71.0,122,2.9,68.1
FL,"Duval",71.4,123,3.4,68
FL,"Escambia",69.1,122,2.0,67.1
FL,"Flagler",73.4,125,3.9,69.5
FL,"Franklin",70.7,124,3.0,67.7
FL,"Gadsden",69.3,122,2.5,66.8
FL,"Gilchrist",70.9,122,2.8,68.1
FL,"Glades",75.5,123,2.9,72.6
FL,"Gulf",70.7,124,3.4,67.3
FL,"Hamilton",68.6,116,1.5,67.1
FL,"Hardee",74.8,125,3.2,71.6
FL,"Hendry",76.1,123,2.9,73.2
FL,"Hernando",74.1,125,4.1,70
FL,"Highlands",75.0,123,3.0,72
FL,"Hillsborough",75.2,125,3.9,71.3
FL,"Holmes",68.7,122,2.2,66.5
FL,"Indian River",74.7,123,3.0,71.7
FL,"Jackson",69.3,122,2.3,67
FL,"Jefferson",69.8,122,2.7,67.1
FL,"Lafayette",70.1,121,2.5,67.6
FL,"Lake",74.2,125,3.8,70.4
FL,"Lee",76.5,125,3.1,73.4
FL,"Leon",69.7,122,2.7,67
FL,"Levy",72.5,125,3.8,68.7
FL,"Liberty",70.0,123,3.0,67
FL,"Madison",69.3,121,2.4,66.9
FL,"Manatee",75.0,125,3.3,71.7
FL,"Marion",72.9,125,3.4,69.5
FL,"Martin",76.5,123,3.7,72.8
FL,"Miami-Dade",78.2,125,3.9,74.3
FL,"Monroe",78.7,125,3.8,74.9
FL,"Nassau",70.4,122,3.0,67.4
FL,"Okaloosa",68.8,122,2.2,66.6
FL,"Okeechobee",75.1,123,3.1,72
FL,"Orange",74.7,125,3.3,71.4
FL,"Osceola",74.9,125,3.2,71.7
FL,"Palm Beach",77.3,125,3.9,73.4
FL,"Pasco",74.5,125,4.1,70.4
FL,"Pinellas",75.6,125,3.7,71.9
FL,"Polk",75.0,125,3.5,71.5
FL,"Putnam",73.0,125,3.8,69.2
FL,"St. Johns",72.9,125,4.1,68.8
FL,"St. Lucie",75.5,123,3.1,72.4
FL,"Santa Rosa",68.8,117,1.9,66.9
FL,"Sarasota",75.0,124,2.7,72.3
FL,"Seminole",74.5,125,3.3,71.2
FL,"Sumter",73.8,125,3.7,70.1
FL,"Suwannee",69.4,118,1.9,67.5
FL,"Taylor",70.6,123,3.0,67.6
FL,"Union",70.0,118,2.0,68
FL,"Volusia",73.8,125,3.4,70.4
FL,"Wakulla",70.3,123,2.8,67.5
FL,"Walton",69.0,123,2.5,66.5
FL,"Washington",69.4,125,2.5,66.9
GA,"Appling",68.2,121,2.3,65.9
GA,"Atkinson",68.3,121,2.3,66
GA,"Bacon",68.5,122,2.5,66
GA,"Baker",68.2,122,2.1,66.1
GA,"Baldwin",65.5,120,2.2,63.3
GA,"Banks",61.8,112,1.5,60.3
GA,"Barrow",62.1,113,1.6,60.5
GA,"Bartow",61.5,109,1.3,60.2
GA,"Ben Hill",67.9,122,2.8,65.1
GA,"Berrien",67.6,116,1.9,65.7
GA,"Bibb",65.9,122,2.5,63.4
GA,"Bleckley",66.8,122,2.3,64.5
GA,"Brantley",68.6,121,2.5,66.1
GA,"Brooks",67.9,115,1.7,66.2
GA,"Bryan",68.8,121,2.8,66
GA,"Bulloch",67.7,122,2.6,65.1
GA,"Burke",66.2,122,2.7,63.5
GA,"Butts",64.3,119,2.5,61.8
GA,"Calhoun",67.8,122,2.2,65.6
GA,"Camden",69.6,122,2.6,67
GA,"Candler",67.4,121,2.3,65.1
GA,"Carroll",62.1,119,2.3,59.8
GA,"Catoosa",61.8,120,2.5,59.3
GA,"Charlton",69.4,122,2.7,66.7
GA,"Chatham",69.2,122,3.2,66
GA,"Chattahoochee",65.6,113,1.6,64
GA,"Chattooga",61.5,113,1.6,59.9
GA,"Cherokee",60.8,109,1.3,59.5
GA,"Clarke",62.7,115,1.8,60.9
GA,"Clay",67.0,116,1.7,65.3
GA,"Clayton",63.1,116,2.0,61.1
GA,"Clinch",68.4,118,1.8,66.6
GA,"Cobb",62.2,117,2.1,60.1
GA,"Coffee",68.2,122,2.6,65.6
GA,"Colquitt",67.3,114,1.6,65.7
GA,"Columbia",65.1,119,2.4,62.7
GA,"Cook",67.3,114,1.5,65.8
GA,"Coweta",63.2,119,2.2,61
GA,"Crawford",65.5,121,2.3,63.2
GA,"Crisp",67.4,122,2.9,64.5
GA,"Dade",60.4,115,1.9,58.5
GA,"Dawson",59.4,102,1.1,58.3
GA,"Decatur",68.8,121,2.1,66.7
GA,"DeKalb",62.6,116,2.1,60.5
GA,"Dodge",67.4,122,2.5,64.9
GA,"Dooly",67.0,122,2.8,64.2
GA,"Dougherty",68.0,120,2.2,65.8
GA,"Douglas",62.5,118,2.4,60.1
GA,"Early",68.0,119,2.0,66
GA,"Echols",68.2,115,1.5,66.7
GA,"Effingham",68.1,122,2.9,65.2
GA,"Elbert",62.6,113,1.8,60.8
GA,"Emanuel",66.6,120,2.1,64.5
GA,"Evans",68.0,121,2.3,65.7
GA,"Fannin",57.3,109,1.3,56
GA,"Fayette",63.4,117,2.1,61.3
GA,"Floyd",61.9,113,1.5,60.4
GA,"Forsyth",60.6,106,1.3,59.3
GA,"Franklin",61.8,108,1.3,60.5
GA,"Fulton",62.5,118,2.2,60.3
GA,"Gilmer",58.0,101,1.0,57
GA,"Glascock",64.7,118,1.9,62.8
GA,"Glynn",69.2,118,2.2,67
GA,"Gordon",61.4,109,1.3,60.1
GA,"Grady",68.5,122,2.1,66.4
GA,"Greene",63.8,118,1.9,61.9
GA,"Gwinnett",61.7,112,1.7,60
GA,"Habersham",59.9,112,1.5,58.4
GA,"Hall",60.9,107,1.4,59.5
GA,"Hancock",64.6,119,1.9,62.7
GA,"Haralson",61.7,119,2.4,59.3
GA,"Harris",64.1,114,1.6,62.5
GA,"Hart",62.1,115,1.7,60.4
GA,"Heard",62.7,115,1.8,60.9
GA,"Henry",63.5,116,2.0,61.5
GA,"Houston",66.5,122,2.5,64
GA,"Irwin",67.7,122,2.5,65.2
GA,"Jackson",62.1,110,1.5,60.6
GA,"Jasper",64.8,121,3.0,61.8
GA,"Jeff Davis",68.0,122,2.6,65.4
GA,"Jefferson",65.3,118,2.0,63.3
GA,"Jenkins",66.6,122,2.7,63.9
GA,"Johnson",65.9,116,1.8,64.1
GA,"Jones",65.5,121,2.7,62.8
GA,"Lamar",64.3,119,2.3,62
GA,"Lanier",67.7,115,1.6,66.1
GA,"Laurens",66.8,119,2.2,64.6
GA,"Lee",67.6,122,2.4,65.2
GA,"Liberty",68.9,121,2.6,66.3
GA,"Lincoln",64.0,117,1.8,62.2
GA,"Long",68.6,119,2.3,66.3
GA,"Lowndes",67.7,114,1.5,66.2
GA,"Lumpkin",58.8,109,1.4,57.4
GA,"McDuffie",64.5,119,2.2,62.3
GA,"McIntosh",69.3,121,2.5,66.8
GA,"Macon",66.3,122,2.4,63.9
GA,"Madison",62.0,111,1.4,60.6
GA,"Marion",65.4,117,1.8,63.6
GA,"Meriwether",63.5,116,1.9,61.6
GA,"Miller",68.4,120,2.1,66.3
GA,"Mitchell",68.0,121,2.0,66
GA,"Monroe",64.9,120,2.5,62.4
GA,"Montgomery",67.6,122,2.4,65.2
GA,"Morgan",64.0,120,2.5,61.5
GA,"Murray",60.6,113,1.5,59.1
GA,"Muscogee",65.4,113,1.6,63.8
GA,"Newton",63.7,120,2.4,61.3
GA,"Oconee",63.1,117,1.9,61.2
GA,"Oglethorpe",62.7,114,1.6,61.1
GA,"Paulding",62.0,118,2.2,59.8
GA,"Peach",66.0,122,2.4,63.6
GA,"Pickens",59.4,98,0.9,58.5
GA,"Pierce",68.6,121,2.5,66.1
GA,"Pike",63.9,117,2.0,61.9
GA,"Polk",62.3,120,2.3,60
GA,"Pulaski",67.1,122,2.5,64.6
GA,"Putnam",65.0,121,2.7,62.3
GA,"Quitman",66.3,112,1.4,64.9
GA,"Rabun",58.0,118,1.8,56.2
GA,"Randolph",66.7,119,1.9,64.8
GA,"Richmond",66.2,122,2.9,63.3
GA,"Rockdale",63.1,117,2.0,61.1
GA,"Schley",66.0,121,2.2,63.8
GA,"Screven",66.9,121,2.8,64.1
GA,"Seminole",68.9,120,2.2,66.7
GA,"Spalding",63.9,117,2.0,61.9
GA,"Stephens",61.3,100,1.1,60.2
GA,"Stewart",65.9,114,1.6,64.3
GA,"Sumter",66.9,122,2.4,64.5
GA,"Talbot",64.4,114,1.6,62.8
GA,"Taliaferro",63.6,117,1.7,61.9
GA,"Tattnall",67.9,119,2.1,65.8
GA,"Taylor",65.3,120,2.0,63.3
GA,"Telfair",67.9,122,2.7,65.2
GA,"Terrell",67.3,122,2.3,65
GA,"Thomas",68.2,119,1.9,66.3
GA,"Tift",67.2,117,2.0,65.2
GA,"Toombs",67.7,120,2.2,65.5
GA,"Towns",57.0,118,1.9,55.1
GA,"Treutlen",66.9,120,2.1,64.8
GA,"Troup",63.3,114,1.7,61.6
GA,"Turner",67.2,122,2.5,64.7
GA,"Twiggs",66.3,120,2.3,64
GA,"Union",57.1,115,1.6,55.5
GA,"Upson",64.5,118,2.0,62.5
GA,"Walker",61.2,120,2.2,59
GA,"Walton",62.8,117,2.0,60.8
GA,"Ware",68.8,121,2.4,66.4
GA,"Warren",64.2,117,1.9,62.3
GA,"Washington",65.4,117,1.8,63.6
GA,"Wayne",68.4,119,2.3,66.1
GA,"Webster",66.2,120,2.0,64.2
GA,"Wheeler",67.8,122,2.5,65.3
GA,"White",59.0,113,1.5,57.5
GA,"Whitfield",61.7,120,2.2,59.5
GA,"Wilcox",67.5,122,2.8,64.7
GA,"Wilkes",63.3,115,1.8,61.5
GA,"Wilkinson",66.1,119,2.1,64
GA,"Worth",67.3,120,2.1,65.2
ID,"Ada",52.8,114,1.8,51
ID,"Adams",44.5,107,1.6,42.9
ID,"Bannock",46.3,118,2.3,44
ID,"Bear Lake",41.1,106,1.8,39.3
ID,"Benewah",46.6,113,1.9,44.7
ID,"Bingham",45.1,106,1.6,43.5
ID,"Blaine",43.2,110,2.0,41.2
ID,"Boise",44.6,113,1.9,42.7
ID,"Bonner",44.4,113,1.8,42.6
ID,"Bonneville",42.5,105,1.6,40.9
ID,"Boundary",42.3,113,2.1,40.2
ID,"Butte",41.8,97,1.2,40.6
ID,"Camas",42.9,117,2.8,40.1
ID,"Canyon",53.0,111,1.7,51.3
ID,"Caribou",42.5,107,1.7,40.8
ID,"Cassia",47.3,115,2.1,45.2
ID,"Clark",40.6,106,1.6,39
ID,"Clearwater",44.5,106,1.4,43.1
ID,"Custer",39.2,113,2.1,37.1
ID,"Elmore",48.7,118,2.7,46
ID,"Franklin",45.4,116,2.4,43
ID,"Fremont",40.3,110,1.8,38.5
ID,"Gem",50.0,107,1.6,48.4
ID,"Gooding",50.8,122,3.3,47.5
ID,"Idaho",42.5,104,1.7,40.8
ID,"Jefferson",43.8,105,1.7,42.1
ID,"Jerome",50.7,120,3.2,47.5
ID,"Kootenai",46.6,117,2.1,44.5
ID,"Latah",47.1,109,1.7,45.4
ID,"Lemhi",40.2,110,2.0,38.2
ID,"Lewis",46.2,103,1.3,44.9
ID,"Lincoln",48.4,119,3.2,45.2
ID,"Madison",43.4,113,2.0,41.4
ID,"Minidoka",47.6,114,2.4,45.2
ID,"Nez Perce",49.5,108,1.6,47.9
ID,"Oneida",46.9,114,2.0,44.9
ID,"Owyhee",48.8,114,2.0,46.8
ID,"Payette",52.5,115,2.1,50.4
ID,"Power",46.4,106,1.6,44.8
ID,"Shoshone",43.5,106,1.7,41.8
ID,"Teton",40.7,113,2.1,38.6
ID,"Twin Falls",48.7,115,1.9,46.8
ID,"Valley",40.4,116,2.1,38.3
ID,"Washington",48.9,107,1.7,47.2
IL,"Adams",52.9,84,0.5,52.4
