state,city,county,zipcode,latitude,longitude,major_airport,distance
NE,Oakdale,Antelope,68761,42.07,-97.9672,"Sioux Gateway Col. Bud Day Field",135.4505
NE,Neligh,Antelope,68756,42.1291,-98.03,"Sioux Gateway Col. Bud Day Field",138.7834
NE,Clearwater,Antelope,68726,42.1707,-98.1897,"Sioux Gateway Col. Bud Day Field",150.7242
NE,Brunswick,Antelope,68720,42.3377,-97.9718,"Sioux Gateway Col. Bud Day Field",130.605
NE,Elgin,Antelope,68636,41.9831,-98.0828,"Sioux Gateway Col. Bud Day Field",147.4868
NE,Royal,Antelope,68773,42.3331,-98.125,"Sioux Gateway Col. Bud Day Field",143.2044
NE,Arthur,Arthur,69121,41.5718,-101.6923,"Denver International Airport",315.0316
NE,Harrisburg,Banner,69345,41.5505,-103.7266,"Denver International Airport",204.0247
NE,Brewster,Blaine,68821,41.9384,-99.8651,"Sioux Gateway Col. Bud Day Field",291.4368
NE,Dunning,Blaine,68833,41.827,-100.1044,"Sioux Gateway Col. Bud Day Field",313.4191
NE,Cedar Rapids,Boone,68627,41.5589,-98.1493,"Sioux Gateway Col. Bud Day Field",173.4404
NE,Albion,Boone,68620,41.6872,-97.9987,"Sioux Gateway Col. Bud Day Field",155.2291
NE,Loretto,Boone,68652,41.7635,-98.0817,"Sioux Gateway Col. Bud Day Field",157.0632
NE,Primrose,Boone,68655,41.6238,-98.2375,"Sioux Gateway Col. Bud Day Field",175.8861
NE,St. Edward,Boone,68660,41.5715,-97.8611,"Sioux Gateway Col. Bud Day Field",153.0862
NE,Petersburg,Boone,68652,41.8536,-98.0811,"Sioux Gateway Col. Bud Day Field",152.6556
NE,Alliance,Box Butte,69301,42.1025,-102.8766,"Denver International Airport",291.2254
NE,Berea,Box Butte,69301,42.2123,-102.983,"Casper-Natrona County International Airport",295.386
NE,Hemingford,Box Butte,69348,42.3214,-103.0752,"Casper-Natrona County International Airport",284.8542
NE,Lynch,Boyd,68746,42.8314,-98.4671,"Sioux Gateway Col. Bud Day Field",176.9619
NE,Spencer,Boyd,68777,42.8749,-98.7002,"Sioux Gateway Col. Bud Day Field",196.5686
NE,Butte,Boyd,68722,42.9125,-98.8479,"Sioux Gateway Col. Bud Day Field",209.2695
NE,Anoka,Boyd,68722,42.946,-98.8285,"Sioux Gateway Col. Bud Day Field",208.7386
NE,Gross,Boyd,68719,42.9461,-98.5697,"Sioux Gateway Col. Bud Day Field",188.5919
NE,Monowi,Boyd,68746,42.8307,-98.3296,"Sioux Gateway Col. Bud Day Field",166.1337
NE,Bristow,Boyd,68719,42.8409,-98.5837,"Sioux Gateway Col. Bud Day Field",186.4271
