state,county,value_in_inches,rank,anomlay_1901_to_2000,mean_1901_to_2000
IL,Macon,40.11,85,2.75,37.36
IL,Macoupin,41.96,87,3.92,38.04
IL,Madison,46.89,110,8.53,38.36
IL,Marion,47.53,106,6.99,40.54
IL,Marshall,37.42,82,2.76,34.66
IL,Mason,33.11,48,-1.79,34.9
IL,Massac,59.34,111,12.22,47.12
IL,Menard,35.6,64,0.04,35.56
IL,Mercer,34.79,59,0.03,34.76
IL,Monroe,48.99,110,9.35,39.64
IL,Montgomery,41.64,92,3.82,37.82
IL,Morgan,39.54,82,2.77,36.77
IL,Moultrie,42.66,102,4.69,37.97
IL,Ogle,38,89,3.88,34.12
IL,Peoria,36.71,75,1.63,35.08
IL,Perry,45.95,88,4.75,41.2
IL,Piatt,39.97,86,2.87,37.1
IL,Pike,39.85,74,2.25,37.6
IL,Pope,62.24,118,15.53,46.71
IL,Pulaski,53.97,101,8.26,45.71
IL,Putnam,35.84,72,1.75,34.09
IL,Randolph,43.3,73,2.57,40.73
IL,Richland,52.84,116,11.59,41.25
IL,Rock Island,36.92,77,2.15,34.77
IL,St. Clair,47.97,112,8.94,39.03
IL,Saline,57.27,115,13.1,44.17
IL,Sangamon,39.13,82,2.91,36.22
IL,Schuyler,35.07,55,-1.09,36.16
IL,Scott,39.98,81,3.08,36.9
IL,Shelby,46.23,112,7.74,38.49
IL,Stark,34.69,60,-0.26,34.95
IL,Stephenson,39.38,99,5.37,34.01
IL,Tazewell,37.5,75,1.74,35.76
IL,Union,54.1,104,9.04,45.06
IL,Vermilion,40.18,86,3.15,37.03
IL,Wabash,52.98,107,9.9,43.08
IL,Warren,31.76,35,-3.74,35.5
IL,Washington,47.18,101,6.31,40.87
IL,Wayne,53.35,114,11.28,42.07
IL,White,56.04,118,12.77,43.27
IL,Whiteside,38.95,92,3.7,35.25
IL,Will,36.49,69,1.16,35.33
IL,Williamson,51.28,100,7.7,43.58
IL,Winnebago,36.79,85,3.02,33.77
IL,Woodford,39.46,90,4.02,35.44
IN,Adams,38.98,79,2.96,36.02
IN,Allen,35.34,54,-0.12,35.46
IN,Bartholomew,47.78,100,6.41,41.37
IN,Benton,34.64,28,-2.74,37.38
IN,Blackford,39.27,69,1.71,37.56
IN,Boone,39.34,57,0.52,38.82
IN,Brown,47.42,90,5.47,41.95
IN,Carroll,34.29,26,-3.53,37.82
IN,Cass,32.66,19,-5.17,37.83
IN,Clark,56,116,12.73,43.27
IN,Clay,43.81,87,3.15,40.66
IN,Clinton,40.2,66,1.69,38.51
IN,Crawford,59.04,117,13.68,45.36
IN,Daviess,53.56,112,10.41,43.15
IN,Dearborn,49.41,109,8.29,41.12
IN,Decatur,49.42,103,7.75,41.67
IN,DeKalb,31.99,26,-3.06,35.05
IN,Delaware,39.04,57,0.45,38.59
IN,Dubois,56.31,112,12,44.31
IN,Elkhart,33.14,36,-2.11,35.25
IN,Fayette,44.63,89,4.44,40.19
IN,Floyd,57.91,118,14.34,43.57
IN,Fountain,38.67,65,0.63,38.04
IN,Franklin,46.43,97,5.78,40.65
IN,Fulton,32.18,19,-5.41,37.59
IN,Gibson,53.64,108,10.32,43.32
IN,Grant,36.62,44,-1.13,37.75
IN,Greene,52.83,112,10.04,42.79
IN,Hamilton,40.57,75,2.42,38.15
IN,Hancock,45.15,96,5.75,39.4
IN,Harrison,59.92,120,15.36,44.56
IN,Hendricks,42.1,76,2.54,39.56
IN,Henry,44.48,88,4.68,39.8
IN,Howard,37.56,54,-0.18,37.74
IN,Huntington,37.14,56,-0.06,37.2
IN,Jackson,50.38,106,7.93,42.45
IN,Jasper,33.05,23,-3.47,36.52
IN,Jay,41.2,84,3.46,37.74
IN,Jefferson,51.02,101,7.7,43.32
IN,Jennings,48.29,93,5.56,42.73
IN,Johnson,44.27,84,3.51,40.76
IN,Knox,52.68,111,9.93,42.75
IN,Kosciusko,31.75,23,-4.59,36.34
IN,LaGrange,33.03,33,-1.96,34.99
IN,Lake,38.14,79,2.11,36.03
IN,LaPorte,35.8,49,-1.33,37.13
IN,Lawrence,56,114,11.96,44.04
IN,Madison,43.09,93,4.57,38.52
IN,Marion,41.32,72,2.12,39.2
IN,Marshall,32.8,25,-4.34,37.14
IN,Martin,56.98,117,12.98,44
IN,Miami,32.54,18,-5.23,37.77
IN,Monroe,47.91,91,4.99,42.92
IN,Montgomery,40.46,71,1.7,38.76
IN,Morgan,44.35,84,3.64,40.71
IN,Newton,34.92,41,-1.91,36.83
IN,Noble,32.8,28,-2.81,35.61
IN,Ohio,51.98,113,10.38,41.6
IN,Orange,57.96,113,13.01,44.95
IN,Owen,46.01,85,4,42.01
IN,Parke,41.67,80,2.77,38.9
IN,Perry,60.45,120,14.99,45.46
IN,Pike,53.77,110,10.11,43.66
IN,Porter,38.48,77,1.97,36.51
IN,Posey,58.46,120,14.5,43.96
IN,Pulaski,32.75,21,-4.35,37.1
IN,Putnam,42.47,73,1.97,40.5
IN,Randolph,42.85,88,3.99,38.86
IN,Ripley,49.89,101,7.45,42.44
IN,Rush,45.76,95,5.25,40.51
IN,St. Joseph,34.48,33,-2.72,37.2
IN,Scott,51.03,105,8.39,42.64
IN,Shelby,46.55,100,5.86,40.69
IN,Spencer,60.92,121,16.24,44.68
IN,Starke,34.3,32,-2.98,37.28
IN,Steuben,33.2,36,-1.83,35.03
IN,Sullivan,47.4,101,6.37,41.03
IN,Switzerland,52.74,115,10.41,42.33
IN,Tippecanoe,35.55,30,-2.47,38.02
IN,Tipton,41.71,83,4.09,37.62
IN,Union,45.44,93,5.16,40.28
IN,Vanderburgh,58.6,119,14.66,43.94
IN,Vermillion,41.79,89,3.83,37.96
IN,Vigo,43.85,92,4.2,39.65
IN,Wabash,33.26,23,-4.26,37.52
IN,Warren,36.96,51,-0.58,37.54
IN,Warrick,59.12,120,15.28,43.84
IN,Washington,56.83,116,12.64,44.19
IN,Wayne,45.49,99,5.9,39.59
IN,Wells,39.28,75,2.52,36.76
IN,White,33.12,23,-3.72,36.84
IN,Whitley,34.24,39,-2.25,36.49
IA,Adair,21.83,4,-10.8,32.63
IA,Adams,24.74,8,-8.42,33.16
IA,Allamakee,36.22,86,3.44,32.78
IA,Appanoose,31.37,35,-3.81,35.18
IA,Audubon,20.14,2,-11.52,31.66
IA,Benton,34.15,69,0.96,33.19
IA,Black Hawk,36.13,83,2.72,33.41
IA,Boone,23.74,10,-7.67,31.41
IA,Bremer,37.09,96,3.89,33.2
IA,Buchanan,37.16,94,4.01,33.15
IA,Buena Vista,22.87,18,-5.89,28.76
IA,Butler,33.29,68,0.51,32.78
IA,Calhoun,22.72,6,-8.11,30.83
IA,Carroll,20.88,4,-10.2,31.08
IA,Cass,20.55,3,-10.73,31.28
IA,Cedar,36.96,77,1.82,35.14
IA,Cerro Gordo,30.18,45,-1.55,31.73
IA,Cherokee,23.13,18,-5.02,28.15
IA,Chickasaw,36.26,90,3.86,32.4
IA,Clarke,28.07,24,-5.53,33.6
IA,Clay,22.79,14,-5.79,28.58
IA,Clayton,40.18,107,7.01,33.17
IA,Clinton,37.89,83,2.95,34.94
IA,Crawford,22.97,12,-6.79,29.76
IA,Dallas,23.31,9,-8.45,31.76
IA,Davis,32.17,46,-3.05,35.22
IA,Decatur,29.87,31,-4.32,34.19
IA,Delaware,38.58,96,5.28,33.3
IA,Des Moines,30.65,28,-4.59,35.24
IA,Dickinson,23.83,27,-4.35,28.18
IA,Dubuque,37.82,92,4.45,33.37
IA,Emmet,24.71,25,-4.64,29.35
IA,Fayette,37.33,89,4.03,33.3
IA,Floyd,32.72,68,0.61,32.11
IA,Franklin,30.13,43,-1.7,31.83
IA,Fremont,23.08,7,-9.38,32.46
IA,Greene,22.24,6,-9.21,31.45
IA,Grundy,34.2,75,1.17,33.03
IA,Guthrie,20.75,4,-10.91,31.66
IA,Hamilton,25.98,25,-4.94,30.92
IA,Hancock,28.24,35,-3.03,31.27
IA,Hardin,29.66,44,-2.26,31.92
IA,Harrison,21.9,12,-7.39,29.29
IA,Henry,32.39,41,-2.88,35.27
IA,Howard,33.73,70,1.13,32.6
IA,Humboldt,23.34,9,-7.15,30.49
IA,Ida,22.49,13,-6.32,28.81
IA,Iowa,31.07,46,-2.7,33.77
IA,Jackson,37.28,88,3.24,34.04
IA,Jasper,29.2,38,-3.75,32.95
IA,Jefferson,33.3,50,-1.6,34.9
IA,Johnson,33.83,67,0.08,33.75
IA,Jones,36.1,82,2.48,33.62
IA,Keokuk,31.28,51,-2.71,33.99
IA,Kossuth,26.84,36,-3.34,30.18
IA,Lee,32.54,40,-2.99,35.53
IA,Linn,35.73,84,2.71,33.02
IA,Louisa,33.35,53,-1.12,34.47
IA,Lucas,30.76,42,-3.01,33.77
IA,Lyon,19.83,8,-6.5,26.33
IA,Madison,24.12,7,-8.7,32.82
IA,Mahaska,31.3,46,-2.48,33.78
IA,Marion,31.38,51,-2.11,33.49
IA,Marshall,31,50,-1.51,32.51
IA,Mills,22.09,6,-9.64,31.73
IA,Mitchell,31.05,53,-0.92,31.97
IA,Monona,22.58,17,-5.94,28.52
IA,Monroe,32.37,52,-1.86,34.23
IA,Montgomery,23.28,7,-9.23,32.51
IA,Muscatine,33.77,56,-0.74,34.51
IA,O'Brien,21.91,12,-6.13,28.04
IA,Osceola,22.2,15,-5.51,27.71
IA,Page,22.96,4,-10.43,33.39
IA,Palo Alto,23.6,13,-5.99,29.59
IA,Plymouth,20.53,13,-6.6,27.13
IA,Pocahontas,23.17,11,-6.75,29.92
IA,Polk,26.61,24,-5.32,31.93
IA,Pottawattamie,21.02,5,-9.85,30.87
IA,Poweshiek,31.51,49,-2.48,33.99
IA,Ringgold,30.68,33,-3.87,34.55
IA,Sac,21.62,9,-7.91,29.53
IA,Scott,38.29,86,3.41,34.88
IA,Shelby,21.4,6,-9.46,30.86
IA,Sioux,18.88,10,-7.84,26.72
IA,Story,26.15,19,-5.56,31.71
IA,Tama,34.28,64,0.26,34.02
IA,Taylor,27.28,13,-7.07,34.35
IA,Union,26.48,12,-7.37,33.85
IA,Van Buren,31.06,37,-4.01,35.07
IA,Wapello,33.58,58,-0.9,34.48
IA,Warren,29.64,37,-3.17,32.81
IA,Washington,34.48,62,0.2,34.28
IA,Wayne,30.86,38,-4.15,35.01
IA,Webster,24.22,10,-6.85,31.07
IA,Winnebago,29.32,44,-1.96,31.28
IA,Winneshiek,36.45,88,3.32,33.13
IA,Woodbury,22.14,17,-5.5,27.64
IA,Worth,31.7,59,-0.17,31.87
IA,Wright,26.72,27,-4.24,30.96
KS,Allen,35.85,44,-3.33,39.18
KS,Anderson,34.69,34,-4.39,39.08
KS,Atchison,36.79,72,1.69,35.1
KS,Barber,26.81,68,0.81,26
KS,Barton,24.12,51,-0.68,24.8
KS,Bourbon,39.07,51,-1.23,40.3
KS,Brown,31.4,48,-2.96,34.36
KS,Butler,34.3,68,1.05,33.25
KS,Chase,34.14,69,1.46,32.68
KS,Chautauqua,40.42,85,3.6,36.82
KS,Cherokee,47.37,91,5.74,41.63
KS,Cheyenne,12.89,10,-5.93,18.82
KS,Clark,21.81,59,-0.51,22.32
KS,Clay,27.73,47,-2.46,30.19
KS,Cloud,27.97,58,-0.08,28.05
KS,Coffey,31.08,30,-5.84,36.92
KS,Comanche,24.46,70,0.36,24.1
KS,Cowley,34.53,64,0.82,33.71
KS,Crawford,43.92,78,2.93,40.99
KS,Decatur,16.38,19,-4.47,20.85
KS,Dickinson,29.04,57,-1.64,30.68
KS,Doniphan,37.74,80,2.38,35.36
KS,Douglas,36.05,60,-0.15,36.2
KS,Edwards,25.66,88,2.92,22.74
KS,Elk,36.99,65,0.55,36.44
KS,Ellis,23.62,69,0.53,23.09
KS,Ellsworth,26.33,64,-0.34,26.67
KS,Finney,16.29,36,-2.46,18.75
KS,Ford,23.08,71,1.44,21.64
KS,Franklin,33.54,41,-3.82,37.36
KS,Geary,32.71,70,0.13,32.58
KS,Gove,15.88,24,-3.87,19.75
KS,Graham,17.35,27,-4.5,21.85
KS,Grant,13.94,21,-3.73,17.67
KS,Gray,18.17,44,-1.88,20.05
KS,Greeley,13.96,32,-2.95,16.91
KS,Greenwood,36.02,68,0.73,35.29
KS,Hamilton,12.8,21,-3.68,16.48
KS,Harper,30.01,73,1.61,28.4
KS,Harvey,27.69,39,-3.35,31.04
KS,Haskell,16.2,35,-3.02,19.22
KS,Hodgeman,22.18,76,1.56,20.62
KS,Jackson,31.92,53,-2.24,34.16
KS,Jefferson,35.47,63,0.07,35.4
KS,Jewell,23.33,38,-2.73,26.06
KS,Johnson,36.85,62,-0.24,37.09
KS,Kearny,16.24,47,-1.16,17.4
KS,Kingman,29.3,71,1.3,28
KS,Kiowa,24.94,77,1.27,23.67
KS,Labette,47.57,100,7.4,40.17
KS,Lane,18.1,49,-1.58,19.68
KS,Leavenworth,35.59,63,-0.14,35.73
KS,Lincoln,26.22,67,0.45,25.77
KS,Linn,36.66,37,-3.36,40.02
KS,Logan,14.4,19,-3.96,18.36
KS,Lyon,31.14,40,-3.62,34.76
KS,McPherson,26.49,40,-2.92,29.41
KS,Marion,27.71,38,-4.04,31.75
KS,Marshall,28.45,40,-2.9,31.35
KS,Meade,19.09,54,-1.34,20.43
KS,Miami,37.3,54,-1.46,38.76
KS,Mitchell,25.44,66,-0.08,25.52
KS,Montgomery,44.35,101,6.53,37.82
KS,Morris,29.61,47,-3.46,33.07
KS,Morton,12.85,22,-4.09,16.94
KS,Nemaha,28.16,30,-4.91,33.07
KS,Neosho,39.58,58,-0.18,39.76
KS,Ness,20.64,60,-0.35,20.99
KS,Norton,17.81,27,-4.18,21.99
KS,Osage,31.73,42,-3.91,35.64
KS,Osborne,24.18,68,0.33,23.85
KS,Ottawa,27.59,65,-0.23,27.82
KS,Pawnee,24.46,75,1.54,22.92
KS,Phillips,18.79,30,-4.35,23.14
KS,Pottawatomie,27.77,29,-5.2,32.97
KS,Pratt,24.95,60,-0.35,25.3
KS,Rawlins,13.66,9,-6.16,19.82
KS,Reno,27.09,59,-0.49,27.58
KS,Republic,24.04,31,-3.85,27.89
KS,Rice,26.5,61,-0.25,26.75
KS,Riley,29.41,50,-2.32,31.73
KS,Rooks,20.6,44,-2.38,22.98
KS,Rush,23.8,69,1.01,22.79
KS,Russell,24.71,64,0.23,24.48
KS,Saline,26.72,55,-2.08,28.8
KS,Scott,15.96,33,-2.77,18.73
KS,Sedgwick,28.89,52,-1.75,30.64
KS,Seward,16.82,44,-2.39,19.21
KS,Shawnee,33.53,57,-1.2,34.73
KS,Sheridan,15.18,15,-5.62,20.8
KS,Sherman,15.12,29,-3.1,18.22
KS,Smith,21.34,40,-2.56,23.9
KS,Stafford,27.36,87,2.54,24.82
KS,Stanton,11.94,14,-4.63,16.57
KS,Stevens,15.75,39,-2.4,18.15
KS,Sumner,30.82,62,-0.29,31.11
KS,Thomas,14.93,17,-4.59,19.52
KS,Trego,18.45,33,-3.05,21.5
KS,Wabaunsee,31.33,44,-2.87,34.2
KS,Wallace,11.93,8,-5.68,17.61
KS,Washington,26.25,38,-3.38,29.63
KS,Wichita,16.09,44,-1.71,17.8
KS,Wilson,35.96,54,-1.74,37.7
KS,Woodson,33.29,37,-4.17,37.46
KS,Wyandotte,33.86,54,-2.31,36.17
KY,Adair,68.35,124,18.09,50.26
KY,Allen,68.24,121,17.98,50.26
KY,Anderson,57.18,116,11.41,45.77
KY,Ballard,56.29,100,9.94,46.35
KY,Barren,68.21,121,17.69,50.52
KY,Bath,66.34,124,20.44,45.9
KY,Bell,73.81,125,22.07,51.74
KY,Boone,51.03,114,9.51,41.52
KY,Bourbon,60.29,122,15.41,44.88
KY,Boyd,54.13,120,12.05,42.08
KY,Boyle,57.38,111,9.44,47.94
KY,Bracken,55.17,117,11.04,44.13
KY,Breathitt,63.89,124,17.46,46.43
KY,Breckinridge,62.1,120,15.31,46.79
KY,Bullitt,59.5,120,14.01,45.49
KY,Butler,65.34,122,17.27,48.07
KY,Caldwell,61.07,117,13.68,47.39
KY,Calloway,62.51,115,13.5,49.01
KY,Campbell,51.43,116,9.59,41.84
KY,Carlisle,58.83,105,11.63,47.2
KY,Carroll,53.06,111,10.29,42.77
KY,Carter,55.21,120,12.94,42.27
KY,Casey,67.62,124,17.79,49.83
KY,Christian,60.02,110,11.77,48.25
KY,Clark,63.91,122,18.02,45.89
KY,Clay,70.95,125,22.02,48.93
KY,Clinton,74.68,124,22.44,52.24
KY,Crittenden,62.2,120,15.92,46.28
KY,Cumberland,72.55,124,21.33,51.22
KY,Daviess,61.35,120,16.49,44.86
KY,Edmonson,69.64,123,19.75,49.89
KY,Elliott,59.66,123,16.32,43.34
KY,Estill,68.87,125,22.72,46.15
KY,Fayette,58.44,115,13.39,45.05
KY,Fleming,61.17,123,16.29,44.88
KY,Floyd,59.86,125,16.12,43.74
KY,Franklin,56.2,116,11.52,44.68
KY,Fulton,61.99,114,13.03,48.96
KY,Gallatin,52.62,113,10.23,42.39
KY,Garrard,63.06,122,16.25,46.81
KY,Grant,52.74,115,9.92,42.82
KY,Graves,61.98,113,12.91,49.07
KY,Grayson,66.79,121,17.74,49.05
KY,Green,61.56,119,12.47,49.09
KY,Greenup,50.9,115,9.16,41.74
KY,Hancock,62.09,121,16.32,45.77
KY,Hardin,62.92,120,15.91,47.01
KY,Harlan,74.3,125,22.19,52.11
KY,Harrison,56.93,119,13.35,43.58
KY,Hart,66.37,123,16.99,49.38
KY,Henderson,58.5,117,14.07,44.43
KY,Henry,55.31,116,11.21,44.1
KY,Hickman,61.32,111,13.02,48.3
KY,Hopkins,58.18,111,12.23,45.95
KY,Jackson,71.94,125,23.58,48.36
KY,Jefferson,58.51,118,14.34,44.17
KY,Jessamine,57.66,114,12.13,45.53
KY,Johnson,57.19,119,13.35,43.84
KY,Kenton,51.21,114,9.39,41.82
KY,Knott,62.69,125,16.66,46.03
KY,Knox,74.33,125,24.01,50.32
KY,Larue,61.74,119,13.61,48.13
KY,Laurel,73.83,125,24.4,49.43
KY,Lawrence,56.17,120,12.84,43.33
KY,Lee,67.68,125,21.01,46.67
KY,Leslie,68.36,125,19.41,48.95
KY,Letcher,65.13,125,18.44,46.69
KY,Lewis,54.35,115,10.84,43.51
KY,Lincoln,66.42,123,17.81,48.61
KY,Livingston,62.67,119,15.26,47.41
KY,Logan,66.11,121,17.65,48.46
KY,Lyon,62,118,13.87,48.13
KY,McCracken,59.77,110,12.31,47.46
KY,McCreary,71.62,125,21.05,50.57
KY,McLean,57.71,119,12.68,45.03
KY,Madison,65.53,122,19.56,45.97
KY,Magoffin,59.68,124,15.13,44.55
KY,Marion,60.09,117,11.56,48.53
KY,Marshall,62.08,117,13.86,48.22
KY,Martin,60.71,123,15.59,45.12
KY,Mason,55.65,118,11.54,44.11
KY,Meade,61.25,120,15.63,45.62
KY,Menifee,68.96,124,22.51,46.45
KY,Mercer,56.8,112,10.31,46.49
KY,Metcalfe,65.82,121,15.57,50.25
KY,Monroe,70.01,124,18.15,51.86
KY,Montgomery,66.59,124,19.86,46.73
KY,Morgan,62.79,125,18.1,44.69
KY,Muhlenberg,61.27,119,14.55,46.72
KY,Nelson,59.74,119,12.69,47.05
KY,Nicholas,60.47,123,15.53,44.94
KY,Ohio,62.92,121,16.5,46.42
KY,Oldham,57.88,117,13.31,44.57
KY,Owen,54.73,118,11.04,43.69
KY,Owsley,67.86,125,20.55,47.31
KY,Pendleton,53.2,115,9.92,43.28
KY,Perry,64.86,125,17.47,47.39
KY,Pike,65.35,125,20.99,44.36
KY,Powell,69.27,124,22.71,46.56
KY,Pulaski,74.02,125,24.14,49.88
KY,Robertson,56.99,120,12.87,44.12
KY,Rockcastle,74.35,125,25.01,49.34
KY,Rowan,66.11,125,21.1,45.01
KY,Russell,74.02,124,23.14,50.88
KY,Scott,57.21,118,13.16,44.05
KY,Shelby,57.81,117,12.26,45.55
KY,Simpson,66.04,120,17.08,48.96
KY,Spencer,58.3,117,11.67,46.63
KY,Taylor,62.59,119,13.09,49.5
KY,Todd,63.15,120,14.8,48.35
KY,Trigg,60.97,110,12.21,48.76
KY,Trimble,53.57,110,10.17,43.4
KY,Union,59.42,119,14.54,44.88
KY,Warren,66.89,122,17.78,49.11
KY,Washington,58.47,114,11.08,47.39
KY,Wayne,72.5,125,21.68,50.82
KY,Webster,59.41,118,14.1,45.31
KY,Whitley,73.9,125,23.69,50.21
KY,Wolfe,65.41,125,19.43,45.98
KY,Woodford,56.83,110,11.69,45.14
LA,Acadia Parish,56.28,51,-2.05,58.33
LA,Allen Parish,47.89,19,-10.91,58.8
LA,Ascension Parish,63.73,74,3.28,60.45
LA,Assumption Parish,51.86,27,-9.27,61.13
LA,Avoyelles Parish,64.06,93,6.61,57.45
LA,Beauregard Parish,54.15,49,-2.76,56.91
LA,Bienville Parish,65.59,106,12.46,53.13
LA,Bossier Parish,62.55,108,12.99,49.56
LA,Caddo Parish,58.78,107,10.48,48.3
LA,Calcasieu Parish,52.01,39,-5.41,57.42
LA,Caldwell Parish,80.03,124,25.58,54.45
LA,Cameron Parish,50.64,37,-6.15,56.79
LA,Catahoula Parish,67.37,109,11.73,55.64
LA,Claiborne Parish,65.37,108,13.16,52.21
LA,Concordia Parish,65.21,104,9.02,56.19
LA,De Soto Parish,62.87,110,12.96,49.91
LA,East Baton Rouge Parish,60.94,65,0.66,60.28
LA,East Carroll Parish,70.31,117,17.13,53.18
LA,East Feliciana Parish,57.1,43,-4.55,61.65
LA,Evangeline Parish,57.96,59,-0.9,58.86
LA,Franklin Parish,74.23,122,20.28,53.95
LA,Grant Parish,73.12,116,17.49,55.63
LA,Iberia Parish,57.17,56,-1.36,58.53
LA,Iberville Parish,61.67,67,2.45,59.22
LA,Jackson Parish,70.83,114,16.55,54.28
LA,Jefferson Parish,63.02,71,1.62,61.4
LA,Jefferson Davis Parish,51.15,29,-7.38,58.53
LA,Lafayette Parish,60.88,74,2.19,58.69
LA,Lafourche Parish,53.44,27,-8.34,61.78
LA,La Salle Parish,68.64,110,12.46,56.18
LA,Lincoln Parish,64.87,105,11.84,53.03
LA,Livingston Parish,66.29,82,4.55,61.74
LA,Madison Parish,70.05,117,16.71,53.34
LA,Morehouse Parish,68.81,113,15.61,53.2
LA,Natchitoches Parish,74.02,120,21.14,52.88
LA,Orleans Parish,59.35,59,-1.43,60.78
LA,Ouachita Parish,71.55,116,18.25,53.3
LA,Plaquemines Parish,59.61,63,-1.41,61.02
LA,Pointe Coupee Parish,57.57,58,-1.51,59.08
LA,Rapides Parish,70.29,109,13.23,57.06
LA,Red River Parish,67.33,118,16.26,51.07
LA,Richland Parish,75.71,122,22.17,53.54
LA,Sabine Parish,68.1,119,16.46,51.64
LA,St. Bernard Parish,58.78,55,-2.26,61.04
LA,St. Charles Parish,61.96,68,0.55,61.41
LA,St. Helena Parish,60.95,49,-2.01,62.96
LA,St. James Parish,56.66,49,-4.26,60.92
LA,St. John the Baptist Parish,61.23,63,0.4,60.83
LA,St. Landry Parish,61.27,73,2.44,58.83
LA,St. Martin Parish,58.87,60,-0.34,59.21
LA,St. Mary Parish,51.17,31,-8.77,59.94
LA,St. Tammany Parish,61.87,62,0.47,61.4
LA,Tangipahoa Parish,63.73,66,1.09,62.64
LA,Tensas Parish,66.61,111,12.21,54.4
LA,Terrebonne Parish,46.01,10,-15.75,61.76
LA,Union Parish,66.93,111,14.27,52.66
LA,Vermilion Parish,53.42,46,-4.49,57.91
LA,Vernon Parish,67.93,103,12.34,55.59
LA,Washington Parish,68.19,88,6.06,62.13
LA,Webster Parish,63.91,107,13.06,50.85
LA,West Baton Rouge Parish,59.76,61,0.61,59.15
LA,West Carroll Parish,71.18,118,17.97,53.21
LA,West Feliciana Parish,56.12,44,-3.64,59.76
LA,Winn Parish,74.95,118,19.69,55.26
ME,Androscoggin,43.89,64,-0.72,44.61
ME,Aroostook,35.67,42,-2.32,37.99
ME,Cumberland,44,62,-0.61,44.61
ME,Franklin,42.7,46,-1.52,44.22
ME,Hancock,41.55,32,-4.16,45.71
ME,Kennebec,40.91,45,,42.91
ME,Knox,45.2,57,-1.2,46.4
ME,Lincoln,43.27,52,-1.34,44.61
ME,Oxford,43.95,67,0.16,43.79
ME,Penobscot,38.44,38,-3.28,41.72
ME,Piscataquis,39.23,50,-2.21,41.44
ME,Sagadahoc,44.13,68,-0.36,44.49
ME,Somerset,38.16,34,-3.08,41.24
ME,Waldo,41.74,40,-3.01,44.75
ME,Washington,38.4,20,-5.87,44.27
ME,York,41.23,39,-3.25,44.48
MD,Allegany,40.05,86,2.52,37.53
MD,Anne Arundel,52.04,112,9.59,42.45
MD,Baltimore,48.68,91,5.3,43.38
MD,Calvert,56.32,120,13.37,42.95
MD,Caroline,51.52,108,8.1,43.42
MD,Carroll,42.62,65,0.24,42.38
MD,Cecil,46.08,74,2.32,43.76
MD,Charles,53.44,116,11.22,42.22
MD,Dorchester,51.49,109,7.98,43.51
MD,Frederick,40.05,52,-1.8,41.85
MD,Garrett,47.78,82,2.33,45.45
MD,Harford,46.01,73,2.29,43.72
MD,Howard,49.86,102,7.38,42.48
MD,Kent,43.31,69,0.46,42.85
MD,Montgomery,47.14,97,5.58,41.56
MD,Prince George's,54.85,118,12.56,42.29
MD,Queen Anne's,47.57,95,4.57,43
MD,St. Mary's,54.62,118,12.19,42.43
MD,Somerset,47.39,93,4.67,42.72
MD,Talbot,53.48,117,10.03,43.45
MD,Washington,36.14,46,-3.01,39.15
MD,Wicomico,48.82,98,5.13,43.69
MD,Worcester,46.52,87,3.38,43.14
MD,Baltimore City,52.68,108,9.82,42.86
MD,District of Columbia,54.1,119,12.5,41.6
MA,Barnstable,40.03,36,-3.52,43.55
MA,Berkshire,42.04,41,-3.46,45.5
MA,Bristol,41.73,39,-2.85,44.58
MA,Dukes,40.01,37,-2.93,42.94
MA,Essex,41.24,48,-1.52,42.76
MA,Franklin,44,55,-1.02,45.02
MA,Hampden,42.58,35,-3.79,46.37
MA,Hampshire,43.99,44,-1.81,45.8
MA,Middlesex,40.92,41,-2.51,43.43
MA,Nantucket,38.15,39,-3.54,41.69
MA,Norfolk,45.17,57,0.19,44.98
MA,Plymouth,43.35,48,-1.72,45.07
MA,Suffolk,43.01,49,-1.28,44.29
MA,Worcester,43.43,53,-1.09,44.52
MI,Alcona,34.82,117,6.16,28.66
MI,Alger,44.5,125,12.24,32.26
MI,Allegan,37.88,94,3.66,34.22
MI,Alpena,37.59,122,8.56,29.03
MI,Antrim,44.7,125,13.13,31.57
MI,Arenac,35.22,116,6.84,28.38
MI,Baraga,39.43,115,7.15,32.28
MI,Barry,38.82,105,5.64,33.18
MI,Bay,34.29,108,5.34,28.95
MI,Benzie,39.49,119,8,31.49
MI,Berrien,35.4,48,-1.09,36.49
MI,Branch,35.3,58,0.84,34.46
MI,Calhoun,36.94,86,3.23,33.71
MI,Cass,35.22,48,-0.73,35.95
MI,Charlevoix,43.87,125,13.07,30.8
MI,Cheboygan,39.64,125,10.87,28.77
MI,Chippewa,39,116,7.12,31.88
MI,Clare,36.35,111,6.74,29.61
MI,Clinton,37.41,107,6.63,30.78
MI,Crawford,39.29,123,8.77,30.52
MI,Delta,39.71,122,8.88,30.83
MI,Dickinson,37.85,120,8.15,29.7
MI,Eaton,38.71,108,6.9,31.81
MI,Emmet,41.29,124,11.51,29.78
MI,Genesee,34.81,96,4.73,30.08
MI,Gladwin,35.77,117,6.89,28.88
MI,Gogebic,40.61,119,7.9,32.71
MI,Grand Traverse,40.26,124,9.76,30.5
MI,Gratiot,36.38,110,6.28,30.1
MI,Hillsdale,36.13,77,1.97,34.16
MI,Houghton,36.13,114,5.69,30.44
MI,Huron,32.92,90,3.27,29.65
MI,Ingham,38.03,110,7.25,30.78
MI,Ionia,37.93,107,6.19,31.74
