state,county,value_in_inches,rank,anomlay_1901_to_2000,mean_1901_to_2000
AR,Randolph,60.32,112,13.14,47.18
AR,St. Francis,61.27,100,10.43,50.84
AR,Saline,64.89,108,12.79,52.1
AR,Scott,78.33,124,30.04,48.29
AR,Searcy,54.03,104,7.65,46.38
AR,Sebastian,70.7,123,25.36,45.34
AR,Sevier,73.04,122,22.48,50.56
AR,Sharp,62.62,119,15.71,46.91
AR,Stone,58.29,111,10.74,47.55
AR,Union,67.21,112,15.02,52.19
AR,Van Buren,60.01,110,9.54,50.47
AR,Washington,54.75,103,7.69,47.06
AR,White,60.73,106,10.57,50.16
AR,Woodruff,57.97,98,8.11,49.86
AR,Yell,64.99,117,16.81,48.18
CA,Alameda,11.09,9,-7.72,18.81
CA,Alpine,24.38,20,-11.84,36.22
CA,Amador,25.23,27,-10.09,35.32
CA,Butte,23.46,4,-21.03,44.49
CA,Calaveras,24.42,24,-9.94,34.36
CA,Colusa,12.34,7,-9.71,22.05
CA,Contra Costa,10.22,8,-8.32,18.54
CA,Del Norte,54.76,12,-25.29,80.05
CA,El Dorado,29.55,17,-15.19,44.74
CA,Fresno,13.37,20,-6.29,19.66
CA,Glenn,11.96,4,-13.97,25.93
CA,Humboldt,42.63,13,-20.82,63.45
CA,Imperial,4.21,93,0.82,3.39
CA,Inyo,4.84,43,-1.42,6.26
CA,Kern,8.99,78,-0.1,9.09
CA,Kings,6.69,57,-0.95,7.64
CA,Lake,23.82,4,-19.72,43.54
CA,Lassen,11.47,6,-8.97,20.44
CA,Los Angeles,16.6,84,0.99,15.61
CA,Madera,12.93,8,-10.26,23.19
CA,Marin,20.35,6,-15.21,35.56
CA,Mariposa,19.23,12,-13.68,32.91
CA,Mendocino,26.37,2,-25.32,51.69
CA,Merced,8.38,32,-2.93,11.31
CA,Modoc,12.64,16,-5.46,18.1
CA,Mono,9.04,6,-6.62,15.66
CA,Monterey,18.93,68,-1.25,20.18
CA,Napa,16.57,4,-14.6,31.17
CA,Nevada,31.12,9,-19.35,50.47
CA,Orange,14.81,86,1.21,13.6
CA,Placer,28.7,12,-17.17,45.87
CA,Plumas,23.99,8,-17.31,41.3
CA,Riverside,10.05,91,1.53,8.52
CA,Sacramento,10.76,8,-7.97,18.73
CA,San Benito,15.48,65,-1.33,16.81
CA,San Bernardino,7.62,83,0.74,6.88
CA,San Diego,16.85,97,2.53,14.32
CA,San Francisco,12.85,4,-11.52,24.37
CA,San Joaquin,8.66,8,-5.43,14.09
CA,San Luis Obispo,14.07,51,-3.16,17.23
CA,San Mateo,15.12,6,-13.64,28.76
CA,Santa Barbara,16.45,65,-2.45,18.9
CA,Santa Clara,17.07,32,-6.13,23.2
CA,Santa Cruz,22.93,24,-10.24,33.17
CA,Shasta,27.29,13,-14.7,41.99
CA,Sierra,26.79,7,-19.05,45.84
CA,Siskiyou,21.96,4,-16.9,38.86
CA,Solano,11.09,8,-8.76,19.85
CA,Sonoma,21.93,4,-20.18,42.11
CA,Stanislaus,9.65,23,-4.04,13.69
CA,Sutter,10.43,5,-8.59,19.02
CA,Tehama,20.7,6,-15.88,36.58
CA,Trinity,33.53,5,-24.02,57.55
CA,Tulare,15.96,31,-5.96,21.92
CA,Tuolumne,26.05,14,-14.9,40.95
CA,Ventura,19.59,79,-0.88,20.47
CA,Yolo,11.53,8,-8.53,20.06
CA,Yuba,22.23,7,-15.57,37.8
CO,Adams,10.77,9,-4.39,15.16
CO,Alamosa,8.75,30,-1.63,10.38
CO,Arapahoe,10.68,8,-5.22,15.9
CO,Archuleta,15.18,7,-8.21,23.39
CO,Baca,10.49,8,-5.48,15.97
CO,Bent,9.86,13,-3.99,13.85
CO,Boulder,16.7,22,-3.37,20.07
CO,Broomfield,11.94,21,-2.79,14.73
CO,Chaffee,13.62,14,,17.62
CO,Cheyenne,8.86,4,-6.49,15.35
CO,Clear Creek,20.81,13,-5.21,26.02
CO,Conejos,12.34,11,-4.89,17.23
CO,Costilla,13.1,10,-4.48,17.58
CO,Crowley,9.41,26,-2.57,11.98
CO,Custer,15.02,14,-5.45,20.47
CO,Delta,10.84,2,-6.83,17.67
CO,Denver,10.39,11,-4.62,15.01
CO,Dolores,14.42,3,-8.93,23.35
CO,Douglas,12.36,5,-5.88,18.24
CO,Eagle,18.7,10,-5.33,24.03
CO,Elbert,11.75,7,-4.82,16.57
CO,El Paso,11.18,8,-4.84,16.02
CO,Fremont,11,14,-3.28,14.28
CO,Garfield,15.09,5,-7.42,22.51
CO,Gilpin,18.19,14,-4.68,22.87
CO,Grand,17.99,12,-4.38,22.37
CO,Gunnison,16.71,8,-6.53,23.24
CO,Hinsdale,22.27,12,-8.67,30.94
CO,Huerfano,11.99,5,-5.89,17.88
CO,Jackson,18.93,19,-4.19,23.12
CO,Jefferson,13.44,10,-4.75,18.19
CO,Kiowa,9.02,8,-5.19,14.21
CO,Kit Carson,11.36,9,-5.46,16.82
CO,Lake,21.74,36,-2.49,24.23
CO,La Plata,14.85,7,-8.58,23.43
CO,Larimer,16.96,26,-2.99,19.95
CO,Las Animas,10.49,4,-5.77,16.26
CO,Lincoln,9.43,6,-4.83,14.26
CO,Logan,10.73,4,-5.9,16.63
CO,Mesa,10.88,5,-6.02,16.9
CO,Mineral,19.25,3,-11.34,30.59
CO,Moffat,11.42,17,-3.44,14.86
CO,Montezuma,10.69,7,-6.5,17.19
CO,Montrose,8.73,1,-6.79,15.52
CO,Morgan,11.17,19,-3.35,14.52
CO,Otero,10.41,23,-2.97,13.38
CO,Ouray,14.4,3,-7.97,22.37
CO,Park,13.55,11,-3.82,17.37
CO,Phillips,11.76,4,-6.17,17.93
CO,Pitkin,23.08,15,-6.07,29.15
CO,Prowers,10.26,9,-4.89,15.15
CO,Pueblo,8.9,5,-4.66,13.56
CO,Rio Blanco,13.78,9,-5.08,18.86
CO,Rio Grande,10.81,13,-3.79,14.6
CO,Routt,20.58,21,-4.48,25.06
CO,Saguache,12.22,7,-4.42,16.64
CO,San Juan,28.46,9,-13.33,41.79
CO,San Miguel,11.45,2,-7.66,19.11
CO,Sedgwick,10.57,2,-7.53,18.1
CO,Summit,21.41,17,-5.12,26.53
CO,Teller,14.4,11,-4.76,19.16
CO,Washington,9.98,2,-6.52,16.5
CO,Weld,10.64,15,-3.21,13.85
CO,Yuma,11.6,5,-5.95,17.55
