,,,,,,
,,,,,,
,,,,,,
Location ID,County,Value (Inches),Rank,Anomaly (1901-2000 base period),1901-2000 Mean,
ID-005,Bannock County,14.8,20,-4.71,19.51,
ID-007,Bear Lake County,19.24,44,-2.19,21.43,
ID-009,Benewah County,27.05,25,-4.28,31.33,
ID-011,Bingham County,12.25,46,-1.25,13.5,
ID-013,Blaine County,11.82,8,-6.99,18.81,
ID-015,Boise County,25.46,31,-5.08,30.54,
ID-017,Bonner County,34.6,47,-1.28,35.88,
ID-019,Bonneville County,19.96,57,-0.38,20.34,
ID-021,Boundary County,36.25,49,-1.77,38.02,
ID-023,Butte County,8.44,10,-5.15,13.59,
ID-025,Camas County,15.1,10,-9.29,24.39,
ID-027,Canyon County,10.06,73,0.51,9.55,
ID-029,Caribou County,19.81,40,-2.61,22.42,
ID-031,Cassia County,13.36,38,-2.15,15.51,
ID-033,Clark County,12.57,13,-4.54,17.11,
ID-035,Clearwater County,42.8,43,-3.95,46.75,
ID-037,Custer County,17.87,23,-4.7,22.57,
ID-039,Elmore County,15.78,26,-4.38,20.16,
ID-041,Franklin County,18.18,20,-4.87,23.05,
ID-043,Fremont County,18.39,30,-3.3,21.69,
ID-045,Gem County,17.59,48,-1.18,18.77,
ID-047,Gooding County,7.08,13,-4.1,11.18,
ID-049,Idaho County,37.41,59,-0.13,37.54,
ID-051,Jefferson County,7.89,33,-1.8,9.69,
ID-053,Jerome County,6.77,17,-2.95,9.72,
ID-055,Kootenai County,28.83,32,-3.45,32.28,
ID-057,Latah County,28.9,43,-1.66,30.56,
ID-059,Lemhi County,19.16,38,-2.0,21.16,
ID-061,Lewis County,25.73,69,0.27,25.46,
ID-063,Lincoln County,6.41,8,-4.11,10.52,
ID-065,Madison County,13.76,51,-1.09,14.85,
ID-067,Minidoka County,7.67,28,-2.06,9.73,
ID-069,Nez Perce County,23.17,82,1.21,21.96,
ID-071,Oneida County,13.16,15,-5.37,18.53,
ID-073,Owyhee County,10.95,39,-1.62,12.57,
ID-075,Payette County,12.2,56,-0.58,12.78,
ID-077,Power County,13.21,37,-2.69,15.9,
ID-079,Shoshone County,41.83,33,-5.63,47.46,
ID-081,Teton County,21.98,53,-0.77,22.75,
ID-083,Twin Falls County,9.25,16,-3.27,12.52,
ID-085,Valley County,29.96,29,-6.17,36.13,
ID-087,Washington County,18.67,46,-1.95,20.62,
IL-001,Adams County,37.1,64,0.33,36.77,
IL-003,Alexander County,55.61,107,10.45,45.16,
IL-005,Bond County,45.06,95,5.67,39.39,
IL-007,Boone County,37.12,78,3.07,34.05,
IL-009,Brown County,35.75,55,-0.97,36.72,
IL-011,Bureau County,36.53,73,1.48,35.05,
IL-013,Calhoun County,42.49,90,4.71,37.78,
IL-015,Carroll County,37.46,86,2.99,34.47,
IL-017,Cass County,36.37,65,0.0,36.37,
IL-019,Champaign County,39.75,88,3.21,36.54,
IL-021,Christian County,41.21,95,4.33,36.88,
IL-023,Clark County,47.6,107,7.87,39.73,
IL-025,Clay County,53.25,117,12.86,40.39,
IL-027,Clinton County,46.77,101,6.97,39.8,
IL-029,Coles County,47.08,112,8.77,38.31,
IL-031,Cook County,38.19,85,3.75,34.44,
IL-033,Crawford County,47.47,100,6.42,41.05,
IL-035,Cumberland County,48.55,110,9.02,39.53,
IL-037,DeKalb County,36.43,76,1.82,34.61,
IL-039,De Witt County,37.46,61,0.42,37.04,
IL-041,Douglas County,42.75,105,5.36,37.39,
IL-043,DuPage County,38.31,84,3.83,34.48,
IL-045,Edgar County,45.06,106,6.53,38.53,
IL-047,Edwards County,54.35,115,11.45,42.9,
IL-049,Effingham County,48.29,110,8.73,39.56,
IL-051,Fayette County,47.47,111,8.53,38.94,
IL-053,Ford County,37.38,78,1.65,35.73,
IL-055,Franklin County,50.48,102,8.24,42.24,
IL-057,Fulton County,32.59,37,-2.84,35.43,
IL-059,Gallatin County,58.21,119,13.41,44.8,
IL-061,Greene County,41.52,90,4.19,37.33,
IL-063,Grundy County,35.64,71,1.69,33.95,
IL-065,Hamilton County,53.92,113,11.25,42.67,
IL-067,Hancock County,33.35,42,-2.22,35.57,
IL-069,Hardin County,61.87,121,16.12,45.75,
IL-071,Henderson County,29.58,24,-5.62,35.2,
IL-073,Henry County,36.58,76,1.67,34.91,
IL-075,Iroquois County,34.46,40,-1.83,36.29,
IL-077,Jackson County,48.88,94,5.83,43.05,
IL-079,Jasper County,49.45,111,9.1,40.35,
IL-081,Jefferson County,49.8,105,7.87,41.93,
IL-083,Jersey County,42.7,89,4.77,37.93,
IL-085,Jo Daviess County,38.66,91,4.78,33.88,
IL-087,Johnson County,55.43,104,9.49,45.94,
IL-089,Kane County,38.75,91,4.45,34.3,
IL-091,Kankakee County,36.36,67,0.91,35.45,
IL-093,Kendall County,35.21,66,1.03,34.18,
IL-095,Knox County,32.63,38,-2.8,35.43,
IL-097,Lake County,40.43,112,7.29,33.14,
IL-099,LaSalle County,35.61,72,1.44,34.17,
IL-101,Lawrence County,53.39,114,10.98,42.41,
IL-103,Lee County,39.47,96,4.62,34.85,
IL-105,Livingston County,38.32,91,3.69,34.63,
IL-107,Logan County,36.28,61,0.11,36.17,
IL-109,McDonough County,35.53,60,-0.29,35.82,
IL-111,McHenry County,39.55,103,5.57,33.98,
IL-113,McLean County,37.22,69,0.78,36.44,
IL-115,Macon County,40.11,85,2.75,37.36,
IL-117,Macoupin County,41.96,87,3.92,38.04,
IL-119,Madison County,46.89,110,8.53,38.36,
IL-121,Marion County,47.53,106,6.99,40.54,
IL-123,Marshall County,37.42,82,2.76,34.66,
IL-125,Mason County,33.11,48,-1.79,34.9,
IL-127,Massac County,59.34,111,12.22,47.12,
IL-129,Menard County,35.6,64,0.04,35.56,
IL-131,Mercer County,34.79,59,0.03,34.76,
IL-133,Monroe County,48.99,110,9.35,39.64,
IL-135,Montgomery County,41.64,92,3.82,37.82,
IL-137,Morgan County,39.54,82,2.77,36.77,
IL-139,Moultrie County,42.66,102,4.69,37.97,
IL-141,Ogle County,38.0,89,3.88,34.12,
IL-143,Peoria County,36.71,75,1.63,35.08,
IL-145,Perry County,45.95,88,4.75,41.2,
IL-147,Piatt County,39.97,86,2.87,37.1,
IL-149,Pike County,39.85,74,2.25,37.6,
IL-151,Pope County,62.24,118,15.53,46.71,
IL-153,Pulaski County,53.97,101,8.26,45.71,
IL-155,Putnam County,35.84,72,1.75,34.09,
IL-157,Randolph County,43.3,73,2.57,40.73,
IL-159,Richland County,52.84,116,11.59,41.25,
IL-161,Rock Island County,36.92,77,2.15,34.77,
IL-163,St. Clair County,47.97,112,8.94,39.03,
IL-165,Saline County,57.27,115,13.1,44.17,
IL-167,Sangamon County,39.13,82,2.91,36.22,
IL-169,Schuyler County,35.07,55,-1.09,36.16,
IL-171,Scott County,39.98,81,3.08,36.9,
IL-173,Shelby County,46.23,112,7.74,38.49,
IL-175,Stark County,34.69,60,-0.26,34.95,
IL-177,Stephenson County,39.38,99,5.37,34.01,
IL-179,Tazewell County,37.5,75,1.74,35.76,
IL-181,Union County,54.1,104,9.04,45.06,
IL-183,Vermilion County,40.18,86,3.15,37.03,
IL-185,Wabash County,52.98,107,9.9,43.08,
IL-187,Warren County,31.76,35,-3.74,35.5,
IL-189,Washington County,47.18,101,6.31,40.87,
IL-191,Wayne County,53.35,114,11.28,42.07,
IL-193,White County,56.04,118,12.77,43.27,
IL-195,Whiteside County,38.95,92,3.7,35.25,
IL-197,Will County,36.49,69,1.16,35.33,
IL-199,Williamson County,51.28,100,7.7,43.58,
IL-201,Winnebago County,36.79,85,3.02,33.77,
IL-203,Woodford County,39.46,90,4.02,35.44,
IN-001,Adams County,38.98,79,2.96,36.02,
IN-003,Allen County,35.34,54,-0.12,35.46,
IN-005,Bartholomew County,47.78,100,6.41,41.37,
IN-007,Benton County,34.64,28,-2.74,37.38,
IN-009,Blackford County,39.27,69,1.71,37.56,
IN-011,Boone County,39.34,57,0.52,38.82,
IN-013,Brown County,47.42,90,5.47,41.95,
IN-015,Carroll County,34.29,26,-3.53,37.82,
IN-017,Cass County,32.66,19,-5.17,37.83,
IN-019,Clark County,56.0,116,12.73,43.27,
IN-021,Clay County,43.81,87,3.15,40.66,
IN-023,Clinton County,40.2,66,1.69,38.51,
IN-025,Crawford County,59.04,117,13.68,45.36,
IN-027,Daviess County,53.56,112,10.41,43.15,
IN-029,Dearborn County,49.41,109,8.29,41.12,
IN-031,Decatur County,49.42,103,7.75,41.67,
IN-033,DeKalb County,31.99,26,-3.06,35.05,
IN-035,Delaware County,39.04,57,0.45,38.59,
IN-037,Dubois County,56.31,112,12.0,44.31,
IN-039,Elkhart County,33.14,36,-2.11,35.25,
IN-041,Fayette County,44.63,89,4.44,40.19,
IN-043,Floyd County,57.91,118,14.34,43.57,
IN-045,Fountain County,38.67,65,0.63,38.04,
IN-047,Franklin County,46.43,97,5.78,40.65,
IN-049,Fulton County,32.18,19,-5.41,37.59,
IN-051,Gibson County,53.64,108,10.32,43.32,
IN-053,Grant County,36.62,44,-1.13,37.75,
IN-055,Greene County,52.83,112,10.04,42.79,
IN-057,Hamilton County,40.57,75,2.42,38.15,
IN-059,Hancock County,45.15,96,5.75,39.4,
IN-061,Harrison County,59.92,120,15.36,44.56,
IN-063,Hendricks County,42.1,76,2.54,39.56,
IN-065,Henry County,44.48,88,4.68,39.8,
IN-067,Howard County,37.56,54,-0.18,37.74,
IN-069,Huntington County,37.14,56,-0.06,37.2,
IN-071,Jackson County,50.38,106,7.93,42.45,
IN-073,Jasper County,33.05,23,-3.47,36.52,
IN-075,Jay County,41.2,84,3.46,37.74,
IN-077,Jefferson County,51.02,101,7.7,43.32,
IN-079,Jennings County,48.29,93,5.56,42.73,
IN-081,Johnson County,44.27,84,3.51,40.76,
IN-083,Knox County,52.68,111,9.93,42.75,
IN-085,Kosciusko County,31.75,23,-4.59,36.34,
IN-087,LaGrange County,33.03,33,-1.96,34.99,
IN-089,Lake County,38.14,79,2.11,36.03,
IN-091,LaPorte County,35.8,49,-1.33,37.13,
IN-093,Lawrence County,56.0,114,11.96,44.04,
IN-095,Madison County,43.09,93,4.57,38.52,
IN-097,Marion County,41.32,72,2.12,39.2,
IN-099,Marshall County,32.8,25,-4.34,37.14,
IN-101,Martin County,56.98,117,12.98,44,
IN-103,Miami County,32.54,18,-5.23,37.77,
IN-105,Monroe County,47.91,91,4.99,42.92,
IN-107,Montgomery County,40.46,71,1.7,38.76,
IN-109,Morgan County,44.35,84,3.64,40.71,
IN-111,Newton County,34.92,41,-1.91,36.83,
IN-113,Noble County,32.8,28,-2.81,35.61,
IN-115,Ohio County,51.98,113,10.38,41.6,
IN-117,Orange County,57.96,113,13.01,44.95,
IN-119,Owen County,46.01,85,4.0,42.01,
IN-121,Parke County,41.67,80,2.77,38.9,
IN-123,Perry County,60.45,120,14.99,45.46,
IN-125,Pike County,53.77,110,10.11,43.66,
IN-127,Porter County,38.48,77,1.97,36.51,
IN-129,Posey County,58.46,120,14.5,43.96,
IN-131,Pulaski County,32.75,21,-4.35,37.1,
IN-133,Putnam County,42.47,73,1.97,40.5,
IN-135,Randolph County,42.85,88,3.99,38.86,
IN-137,Ripley County,49.89,101,7.45,42.44,
IN-139,Rush County,45.76,95,5.25,40.51,
IN-141,St. Joseph County,34.48,33,-2.72,37.2,
IN-143,Scott County,51.03,105,8.39,42.64,
IN-145,Shelby County,46.55,100,5.86,40.69,
IN-147,Spencer County,60.92,121,16.24,44.68,
IN-149,Starke County,34.3,32,-2.98,37.28,
IN-151,Steuben County,33.2,36,-1.83,35.03,
IN-153,Sullivan County,47.4,101,6.37,41.03,
IN-155,Switzerland County,52.74,115,10.41,42.33,
IN-157,Tippecanoe County,35.55,30,-2.47,38.02,
IN-159,Tipton County,41.71,83,4.09,37.62,
IN-161,Union County,45.44,93,5.16,40.28,
IN-163,Vanderburgh County,58.6,119,14.66,43.94,
IN-165,Vermillion County,41.79,89,3.83,37.96,
IN-167,Vigo County,43.85,92,4.2,39.65,
IN-169,Wabash County,33.26,23,-4.26,37.52,
IN-171,Warren County,36.96,51,-0.58,37.54,
IN-173,Warrick County,59.12,120,15.28,43.84,
IN-175,Washington County,56.83,116,12.64,44.19,
IN-177,Wayne County,45.49,99,5.9,39.59,
IN-179,Wells County,39.28,75,2.52,36.76,
IN-181,White County,33.12,23,-3.72,36.84,
IN-183,Whitley County,34.24,39,-2.25,36.49,
IA-001,Adair County,21.83,4,-10.8,32.63,
IA-003,Adams County,24.74,8,-8.42,33.16,
IA-005,Allamakee County,36.22,86,3.44,32.78,
IA-007,Appanoose County,31.37,35,-3.81,35.18,
IA-009,Audubon County,20.14,2,-11.52,31.66,
IA-011,Benton County,34.15,69,0.96,33.19,
IA-013,Black Hawk County,36.13,83,2.72,33.41,
IA-015,Boone County,23.74,10,-7.67,31.41,
IA-017,Bremer County,37.09,96,3.89,33.2,
IA-019,Buchanan County,37.16,94,4.01,33.15,
IA-021,Buena Vista County,22.87,18,-5.89,28.76,
IA-023,Butler County,33.29,68,0.51,32.78,
IA-025,Calhoun County,22.72,6,-8.11,30.83,
IA-027,Carroll County,20.88,4,-10.2,31.08,
IA-029,Cass County,20.55,3,-10.73,31.28,
IA-031,Cedar County,36.96,77,1.82,35.14,
IA-033,Cerro Gordo County,30.18,45,-1.55,31.73,
IA-035,Cherokee County,23.13,18,-5.02,28.15,
IA-037,Chickasaw County,36.26,90,3.86,32.4,
IA-039,Clarke County,28.07,24,-5.53,33.6,
IA-041,Clay County,22.79,14,-5.79,28.58,
IA-043,Clayton County,40.18,107,7.01,33.17,
IA-045,Clinton County,37.89,83,2.95,34.94,
IA-047,Crawford County,22.97,12,-6.79,29.76,
IA-049,Dallas County,23.31,9,-8.45,31.76,
IA-051,Davis County,32.17,46,-3.05,35.22,
IA-053,Decatur County,29.87,31,-4.32,34.19,
IA-055,Delaware County,38.58,96,5.28,33.3,
IA-057,Des Moines County,30.65,28,-4.59,35.24,
IA-059,Dickinson County,23.83,27,-4.35,28.18,
IA-061,Dubuque County,37.82,92,4.45,33.37,
IA-063,Emmet County,24.71,25,-4.64,29.35,
IA-065,Fayette County,37.33,89,4.03,33.3,
IA-067,Floyd County,32.72,68,0.61,32.11,
IA-069,Franklin County,30.13,43,-1.7,31.83,
IA-071,Fremont County,23.08,7,-9.38,32.46,
IA-073,Greene County,22.24,6,-9.21,31.45,
IA-075,Grundy County,34.2,75,1.17,33.03,
IA-077,Guthrie County,20.75,4,-10.91,31.66,
IA-079,Hamilton County,25.98,25,-4.94,30.92,
IA-081,Hancock County,28.24,35,-3.03,31.27,
IA-083,Hardin County,29.66,44,-2.26,31.92,
IA-085,Harrison County,21.9,12,-7.39,29.29,
IA-087,Henry County,32.39,41,-2.88,35.27,
IA-089,Howard County,33.73,70,1.13,32.6,
IA-091,Humboldt County,23.34,9,-7.15,30.49,
IA-093,Ida County,22.49,13,-6.32,28.81,
IA-095,Iowa County,31.07,46,-2.7,33.77,
IA-097,Jackson County,37.28,88,3.24,34.04,
IA-099,Jasper County,29.2,38,-3.75,32.95,
IA-101,Jefferson County,33.3,50,-1.6,34.9,
IA-103,Johnson County,33.83,67,0.08,33.75,
IA-105,Jones County,36.1,82,2.48,33.62,
IA-107,Keokuk County,31.28,51,-2.71,33.99,
IA-109,Kossuth County,26.84,36,-3.34,30.18,
IA-111,Lee County,32.54,40,-2.99,35.53,
IA-113,Linn County,35.73,84,2.71,33.02,
IA-115,Louisa County,33.35,53,-1.12,34.47,
IA-117,Lucas County,30.76,42,-3.01,33.77,
IA-119,Lyon County,19.83,8,-6.5,26.33,
IA-121,Madison County,24.12,7,-8.7,32.82,
IA-123,Mahaska County,31.3,46,-2.48,33.78,
IA-125,Marion County,31.38,51,-2.11,33.49,
IA-127,Marshall County,31.0,50,-1.51,32.51,
IA-129,Mills County,22.09,6,-9.64,31.73,
IA-131,Mitchell County,31.05,53,-0.92,31.97,
IA-133,Monona County,22.58,17,-5.94,28.52,
IA-135,Monroe County,32.37,52,-1.86,34.23,
IA-137,Montgomery County,23.28,7,-9.23,32.51,
IA-139,Muscatine County,33.77,56,-0.74,34.51,
IA-141,O'Brien County,21.91,12,-6.13,28.04,
IA-143,Osceola County,22.2,15,-5.51,27.71,
IA-145,Page County,22.96,4,-10.43,33.39,
IA-147,Palo Alto County,23.6,13,-5.99,29.59,
IA-149,Plymouth County,20.53,13,-6.6,27.13,
IA-151,Pocahontas County,23.17,11,-6.75,29.92,
IA-153,Polk County,26.61,24,-5.32,31.93,
IA-155,Pottawattamie County,21.02,5,-9.85,30.87,
IA-157,Poweshiek County,31.51,49,-2.48,33.99,
IA-159,Ringgold County,30.68,33,-3.87,34.55,
IA-161,Sac County,21.62,9,-7.91,29.53,
IA-163,Scott County,38.29,86,3.41,34.88,
IA-165,Shelby County,21.4,6,-9.46,30.86,
IA-167,Sioux County,18.88,10,-7.84,26.72,
IA-169,Story County,26.15,19,-5.56,31.71,
IA-171,Tama County,34.28,64,0.26,34.02,
IA-173,Taylor County,27.28,13,-7.07,34.35,
IA-175,Union County,26.48,12,-7.37,33.85,
IA-177,Van Buren County,31.06,37,-4.01,35.07,
IA-179,Wapello County,33.58,58,-0.9,34.48,
IA-181,Warren County,29.64,37,-3.17,32.81,
IA-183,Washington County,34.48,62,0.2,34.28,
IA-185,Wayne County,30.86,38,-4.15,35.01,
IA-187,Webster County,24.22,10,-6.85,31.07,
IA-189,Winnebago County,29.32,44,-1.96,31.28,
IA-191,Winneshiek County,36.45,88,3.32,33.13,
IA-193,Woodbury County,22.14,17,-5.5,27.64,
IA-195,Worth County,31.7,59,-0.17,31.87,
IA-197,Wright County,26.72,27,-4.24,30.96,
KS-001,Allen County,35.85,44,-3.33,39.18,
KS-003,Anderson County,34.69,34,-4.39,39.08,
KS-005,Atchison County,36.79,72,1.69,35.1,
KS-007,Barber County,26.81,68,0.81,26,
KS-009,Barton County,24.12,51,-0.68,24.8,
KS-011,Bourbon County,39.07,51,-1.23,40.3,
KS-013,Brown County,31.4,48,-2.96,34.36,
KS-015,Butler County,34.3,68,1.05,33.25,
KS-017,Chase County,34.14,69,1.46,32.68,
KS-019,Chautauqua County,40.42,85,3.6,36.82,
KS-021,Cherokee County,47.37,91,5.74,41.63,
KS-023,Cheyenne County,12.89,10,-5.93,18.82,
KS-025,Clark County,21.81,59,-0.51,22.32,
KS-027,Clay County,27.73,47,-2.46,30.19,
KS-029,Cloud County,27.97,58,-0.08,28.05,
KS-031,Coffey County,31.08,30,-5.84,36.92,
KS-033,Comanche County,24.46,70,0.36,24.1,
KS-035,Cowley County,34.53,64,0.82,33.71,
KS-037,Crawford County,43.92,78,2.93,40.99,
KS-039,Decatur County,16.38,19,-4.47,20.85,
KS-041,Dickinson County,29.04,57,-1.64,30.68,
KS-043,Doniphan County,37.74,80,2.38,35.36,
KS-045,Douglas County,36.05,60,-0.15,36.2,
KS-047,Edwards County,25.66,88,2.92,22.74,
KS-049,Elk County,36.99,65,0.55,36.44,
KS-051,Ellis County,23.62,69,0.53,23.09,
KS-053,Ellsworth County,26.33,64,-0.34,26.67,
KS-055,Finney County,16.29,36,-2.46,18.75,
KS-057,Ford County,23.08,71,1.44,21.64,
KS-059,Franklin County,33.54,41,-3.82,37.36,
KS-061,Geary County,32.71,70,0.13,32.58,
KS-063,Gove County,15.88,24,-3.87,19.75,
KS-065,Graham County,17.35,27,-4.5,21.85,
KS-067,Grant County,13.94,21,-3.73,17.67,
KS-069,Gray County,18.17,44,-1.88,20.05,
KS-071,Greeley County,13.96,32,-2.95,16.91,
KS-073,Greenwood County,36.02,68,0.73,35.29,
KS-075,Hamilton County,12.8,21,-3.68,16.48,
KS-077,Harper County,30.01,73,1.61,28.4,
KS-079,Harvey County,27.69,39,-3.35,31.04,
KS-081,Haskell County,16.2,35,-3.02,19.22,
KS-083,Hodgeman County,22.18,76,1.56,20.62,
KS-085,Jackson County,31.92,53,-2.24,34.16,
KS-087,Jefferson County,35.47,63,0.07,35.4,
KS-089,Jewell County,23.33,38,-2.73,26.06,
KS-091,Johnson County,36.85,62,-0.24,37.09,
KS-093,Kearny County,16.24,47,-1.16,17.4,
KS-095,Kingman County,29.3,71,1.3,28,
KS-097,Kiowa County,24.94,77,1.27,23.67,
KS-099,Labette County,47.57,100,7.4,40.17,
KS-101,Lane County,18.1,49,-1.58,19.68,
KS-103,Leavenworth County,35.59,63,-0.14,35.73,
KS-105,Lincoln County,26.22,67,0.45,25.77,
KS-107,Linn County,36.66,37,-3.36,40.02,
KS-109,Logan County,14.4,19,-3.96,18.36,
KS-111,Lyon County,31.14,40,-3.62,34.76,
KS-113,McPherson County,26.49,40,-2.92,29.41,
KS-115,Marion County,27.71,38,-4.04,31.75,
KS-117,Marshall County,28.45,40,-2.9,31.35,
KS-119,Meade County,19.09,54,-1.34,20.43,
KS-121,Miami County,37.3,54,-1.46,38.76,
KS-123,Mitchell County,25.44,66,-0.08,25.52,
KS-125,Montgomery County,44.35,101,6.53,37.82,
KS-127,Morris County,29.61,47,-3.46,33.07,
KS-129,Morton County,12.85,22,-4.09,16.94,
KS-131,Nemaha County,28.16,30,-4.91,33.07,
KS-133,Neosho County,39.58,58,-0.18,39.76,
KS-135,Ness County,20.64,60,-0.35,20.99,
KS-137,Norton County,17.81,27,-4.18,21.99,
KS-139,Osage County,31.73,42,-3.91,35.64,
KS-141,Osborne County,24.18,68,0.33,23.85,
KS-143,Ottawa County,27.59,65,-0.23,27.82,
KS-145,Pawnee County,24.46,75,1.54,22.92,
KS-147,Phillips County,18.79,30,-4.35,23.14,
KS-149,Pottawatomie County,27.77,29,-5.2,32.97,
KS-151,Pratt County,24.95,60,-0.35,25.3,
KS-153,Rawlins County,13.66,9,-6.16,19.82,
KS-155,Reno County,27.09,59,-0.49,27.58,
KS-157,Republic County,24.04,31,-3.85,27.89,
KS-159,Rice County,26.5,61,-0.25,26.75,
KS-161,Riley County,29.41,50,-2.32,31.73,
KS-163,Rooks County,20.6,44,-2.38,22.98,
KS-165,Rush County,23.8,69,1.01,22.79,
KS-167,Russell County,24.71,64,0.23,24.48,
KS-169,Saline County,26.72,55,-2.08,28.8,
KS-171,Scott County,15.96,33,-2.77,18.73,
KS-173,Sedgwick County,28.89,52,-1.75,30.64,
KS-175,Seward County,16.82,44,-2.39,19.21,
KS-177,Shawnee County,33.53,57,-1.2,34.73,
KS-179,Sheridan County,15.18,15,-5.62,20.8,
KS-181,Sherman County,15.12,29,-3.1,18.22,
KS-183,Smith County,21.34,40,-2.56,23.9,
KS-185,Stafford County,27.36,87,2.54,24.82,
KS-187,Stanton County,11.94,14,-4.63,16.57,
KS-189,Stevens County,15.75,39,-2.4,18.15,
KS-191,Sumner County,30.82,62,-0.29,31.11,
KS-193,Thomas County,14.93,17,-4.59,19.52,
KS-195,Trego County,18.45,33,-3.05,21.5,
KS-197,Wabaunsee County,31.33,44,-2.87,34.2,
KS-199,Wallace County,11.93,8,-5.68,17.61,
KS-201,Washington County,26.25,38,-3.38,29.63,
KS-203,Wichita County,16.09,44,-1.71,17.8,
KS-205,Wilson County,35.96,54,-1.74,37.7,
KS-207,Woodson County,33.29,37,-4.17,37.46,
KS-209,Wyandotte County,33.86,54,-2.31,36.17,
KY-001,Adair County,68.35,124,18.09,50.26,
KY-003,Allen County,68.24,121,17.98,50.26,
KY-005,Anderson County,57.18,116,11.41,45.77,
KY-007,Ballard County,56.29,100,9.94,46.35,
KY-009,Barren County,68.21,121,17.69,50.52,
KY-011,Bath County,66.34,124,20.44,45.9,
KY-013,Bell County,73.81,125,22.07,51.74,
KY-015,Boone County,51.03,114,9.51,41.52,
KY-017,Bourbon County,60.29,122,15.41,44.88,
KY-019,Boyd County,54.13,120,12.05,42.08,
KY-021,Boyle County,57.38,111,9.44,47.94,
KY-023,Bracken County,55.17,117,11.04,44.13,
KY-025,Breathitt County,63.89,124,17.46,46.43,
KY-027,Breckinridge County,62.1,120,15.31,46.79,
KY-029,Bullitt County,59.5,120,14.01,45.49,
KY-031,Butler County,65.34,122,17.27,48.07,
KY-033,Caldwell County,61.07,117,13.68,47.39,
KY-035,Calloway County,62.51,115,13.5,49.01,
KY-037,Campbell County,51.43,116,9.59,41.84,
KY-039,Carlisle County,58.83,105,11.63,47.2,
KY-041,Carroll County,53.06,111,10.29,42.77,
KY-043,Carter County,55.21,120,12.94,42.27,
KY-045,Casey County,67.62,124,17.79,49.83,
KY-047,Christian County,60.02,110,11.77,48.25,
KY-049,Clark County,63.91,122,18.02,45.89,
KY-051,Clay County,70.95,125,22.02,48.93,
KY-053,Clinton County,74.68,124,22.44,52.24,
KY-055,Crittenden County,62.2,120,15.92,46.28,
KY-057,Cumberland County,72.55,124,21.33,51.22,
KY-059,Daviess County,61.35,120,16.49,44.86,
KY-061,Edmonson County,69.64,123,19.75,49.89,
KY-063,Elliott County,59.66,123,16.32,43.34,
KY-065,Estill County,68.87,125,22.72,46.15,
KY-067,Fayette County,58.44,115,13.39,45.05,
KY-069,Fleming County,61.17,123,16.29,44.88,
KY-071,Floyd County,59.86,125,16.12,43.74,
KY-073,Franklin County,56.2,116,11.52,44.68,
KY-075,Fulton County,61.99,114,13.03,48.96,
KY-077,Gallatin County,52.62,113,10.23,42.39,
KY-079,Garrard County,63.06,122,16.25,46.81,
KY-081,Grant County,52.74,115,9.92,42.82,
KY-083,Graves County,61.98,113,12.91,49.07,
KY-085,Grayson County,66.79,121,17.74,49.05,
KY-087,Green County,61.56,119,12.47,49.09,
KY-089,Greenup County,50.9,115,9.16,41.74,
KY-091,Hancock County,62.09,121,16.32,45.77,
KY-093,Hardin County,62.92,120,15.91,47.01,
KY-095,Harlan County,74.3,125,22.19,52.11,
KY-097,Harrison County,56.93,119,13.35,43.58,
KY-099,Hart County,66.37,123,16.99,49.38,
KY-101,Henderson County,58.5,117,14.07,44.43,
KY-103,Henry County,55.31,116,11.21,44.1,
KY-105,Hickman County,61.32,111,13.02,48.3,
KY-107,Hopkins County,58.18,111,12.23,45.95,
KY-109,Jackson County,71.94,125,23.58,48.36,
KY-111,Jefferson County,58.51,118,14.34,44.17,
KY-113,Jessamine County,57.66,114,12.13,45.53,
KY-115,Johnson County,57.19,119,13.35,43.84,
KY-117,Kenton County,51.21,114,9.39,41.82,
KY-119,Knott County,62.69,125,16.66,46.03,
KY-121,Knox County,74.33,125,24.01,50.32,
KY-123,Larue County,61.74,119,13.61,48.13,
KY-125,Laurel County,73.83,125,24.4,49.43,
KY-127,Lawrence County,56.17,120,12.84,43.33,
KY-129,Lee County,67.68,125,21.01,46.67,
KY-131,Leslie County,68.36,125,19.41,48.95,
KY-133,Letcher County,65.13,125,18.44,46.69,
KY-135,Lewis County,54.35,115,10.84,43.51,
KY-137,Lincoln County,66.42,123,17.81,48.61,
KY-139,Livingston County,62.67,119,15.26,47.41,
KY-141,Logan County,66.11,121,17.65,48.46,
KY-143,Lyon County,62.0,118,13.87,48.13,
KY-145,McCracken County,59.77,110,12.31,47.46,
KY-147,McCreary County,71.62,125,21.05,50.57,
KY-149,McLean County,57.71,119,12.68,45.03,
KY-151,Madison County,65.53,122,19.56,45.97,
KY-153,Magoffin County,59.68,124,15.13,44.55,
KY-155,Marion County,60.09,117,11.56,48.53,
KY-157,Marshall County,62.08,117,13.86,48.22,
KY-159,Martin County,60.71,123,15.59,45.12,
KY-161,Mason County,55.65,118,11.54,44.11,
KY-163,Meade County,61.25,120,15.63,45.62,
KY-165,Menifee County,68.96,124,22.51,46.45,
KY-167,Mercer County,56.8,112,10.31,46.49,
KY-169,Metcalfe County,65.82,121,15.57,50.25,
KY-171,Monroe County,70.01,124,18.15,51.86,
KY-173,Montgomery County,66.59,124,19.86,46.73,
KY-175,Morgan County,62.79,125,18.1,44.69,
