,,,,,,
,,,,,,
,,,,,,
Location ID,County,Value (Inches),Rank,Anomaly (1901-2000 base period),1901-2000 Mean,
AR-075,Lawrence County,61.31,115,13.92,47.39,
AR-077,Lee County,61.19,103,10.17,51.02,
AR-079,Lincoln County,67.79,113,15.6,52.19,
AR-081,Little River County,68.08,118,19.42,48.66,
AR-083,Logan County,67.97,121,21.22,46.75,
AR-085,Lonoke County,65.74,118,15.73,50.01,
AR-087,Madison County,58.41,111,10.8,47.61,
AR-089,Marion County,55.61,116,12.69,42.92,
AR-091,Miller County,67.15,119,18.23,48.92,
AR-093,Mississippi County,55.47,94,6.95,48.52,
AR-095,Monroe County,58.91,98,8.4,50.51,
AR-097,Montgomery County,80.34,123,27.95,52.39,
AR-099,Nevada County,68.42,115,17.34,51.08,
AR-101,Newton County,59.57,113,11.42,48.15,
AR-103,Ouachita County,65.47,112,14.12,51.35,
AR-105,Perry County,62.01,114,13.09,48.92,
AR-107,Phillips County,60.75,102,9.12,51.63,
AR-109,Pike County,76.88,121,24.0,52.88,
AR-111,Poinsett County,60.85,106,11.79,49.06,
AR-113,Polk County,79.06,124,26.31,52.75,
AR-115,Pope County,63.11,114,13.81,49.3,
AR-117,Prairie County,62.47,107,12.42,50.05,
AR-119,Pulaski County,63.41,111,12.78,50.63,
AR-121,Randolph County,60.32,112,13.14,47.18,
AR-123,St. Francis County,61.27,100,10.43,50.84,
AR-125,Saline County,64.89,108,12.79,52.1,
AR-127,Scott County,78.33,124,30.04,48.29,
AR-129,Searcy County,54.03,104,7.65,46.38,
AR-131,Sebastian County,70.7,123,25.36,45.34,
AR-133,Sevier County,73.04,122,22.48,50.56,
AR-135,Sharp County,62.62,119,15.71,46.91,
AR-137,Stone County,58.29,111,10.74,47.55,
AR-139,Union County,67.21,112,15.02,52.19,
AR-141,Van Buren County,60.01,110,9.54,50.47,
AR-143,Washington County,54.75,103,7.69,47.06,
AR-145,White County,60.73,106,10.57,50.16,
AR-147,Woodruff County,57.97,98,8.11,49.86,
AR-149,Yell County,64.99,117,16.81,48.18,
CA-001,Alameda County,11.09,9,-7.72,18.81,
CA-003,Alpine County,24.38,20,-11.84,36.22,
CA-005,Amador County,25.23,27,-10.09,35.32,
CA-007,Butte County,23.46,4,-21.03,44.49,
CA-009,Calaveras County,24.42,24,-9.94,34.36,
CA-011,Colusa County,12.34,7,-9.71,22.05,
CA-013,Contra Costa County,10.22,8,-8.32,18.54,
CA-015,Del Norte County,54.76,12,-25.29,80.05,
CA-017,El Dorado County,29.55,17,-15.19,44.74,
CA-019,Fresno County,13.37,20,-6.29,19.66,
CA-021,Glenn County,11.96,4,-13.97,25.93,
CA-023,Humboldt County,42.63,13,-20.82,63.45,
CA-025,Imperial County,4.21,93,0.82,3.39,
CA-027,Inyo County,4.84,43,-1.42,6.26,
CA-029,Kern County,8.99,78,-0.1,9.09,
CA-031,Kings County,6.69,57,-0.95,7.64,
CA-033,Lake County,23.82,4,-19.72,43.54,
CA-035,Lassen County,11.47,6,-8.97,20.44,
CA-037,Los Angeles County,16.6,84,0.99,15.61,
CA-039,Madera County,12.93,8,-10.26,23.19,
CA-041,Marin County,20.35,6,-15.21,35.56,
CA-043,Mariposa County,19.23,12,-13.68,32.91,
CA-045,Mendocino County,26.37,2,-25.32,51.69,
CA-047,Merced County,8.38,32,-2.93,11.31,
CA-049,Modoc County,12.64,16,-5.46,18.1,
CA-051,Mono County,9.04,6,-6.62,15.66,
CA-053,Monterey County,18.93,68,-1.25,20.18,
CA-055,Napa County,16.57,4,-14.6,31.17,
CA-057,Nevada County,31.12,9,-19.35,50.47,
CA-059,Orange County,14.81,86,1.21,13.6,
CA-061,Placer County,28.7,12,-17.17,45.87,
CA-063,Plumas County,23.99,8,-17.31,41.3,
CA-065,Riverside County,10.05,91,1.53,8.52,
CA-067,Sacramento County,10.76,8,-7.97,18.73,
CA-069,San Benito County,15.48,65,-1.33,16.81,
CA-071,San Bernardino County,7.62,83,0.74,6.88,
CA-073,San Diego County,16.85,97,2.53,14.32,
CA-075,San Francisco County,12.85,4,-11.52,24.37,
CA-077,San Joaquin County,8.66,8,-5.43,14.09,
CA-079,San Luis Obispo County,14.07,51,-3.16,17.23,
CA-081,San Mateo County,15.12,6,-13.64,28.76,
CA-083,Santa Barbara County,16.45,65,-2.45,18.9,
CA-085,Santa Clara County,17.07,32,-6.13,23.2,
CA-087,Santa Cruz County,22.93,24,-10.24,33.17,
CA-089,Shasta County,27.29,13,-14.7,41.99,
CA-091,Sierra County,26.79,7,-19.05,45.84,
CA-093,Siskiyou County,21.96,4,-16.9,38.86,
CA-095,Solano County,11.09,8,-8.76,19.85,
CA-097,Sonoma County,21.93,4,-20.18,42.11,
CA-099,Stanislaus County,9.65,23,-4.04,13.69,
CA-101,Sutter County,10.43,5,-8.59,19.02,
CA-103,Tehama County,20.7,6,-15.88,36.58,
CA-105,Trinity County,33.53,5,-24.02,57.55,
CA-107,Tulare County,15.96,31,-5.96,21.92,
CA-109,Tuolumne County,26.05,14,-14.9,40.95,
CA-111,Ventura County,19.59,79,-0.88,20.47,
CA-113,Yolo County,11.53,8,-8.53,20.06,
CA-115,Yuba County,22.23,7,-15.57,37.8,
CO-001,Adams County,10.77,9,-4.39,15.16,
CO-003,Alamosa County,8.75,30,-1.63,10.38,
CO-005,Arapahoe County,10.68,8,-5.22,15.9,
CO-007,Archuleta County,15.18,7,-8.21,23.39,
CO-009,Baca County,10.49,8,-5.48,15.97,
CO-011,Bent County,9.86,13,-3.99,13.85,
CO-013,Boulder County,16.7,22,-3.37,20.07,
CO-014,Broomfield County,11.94,21,-2.79,14.73,
CO-015,Chaffee County,13.62,14,-4.0,17.62,
CO-017,Cheyenne County,8.86,4,-6.49,15.35,
CO-019,Clear Creek County,20.81,13,-5.21,26.02,
CO-021,Conejos County,12.34,11,-4.89,17.23,
CO-023,Costilla County,13.1,10,-4.48,17.58,
CO-025,Crowley County,9.41,26,-2.57,11.98,
CO-027,Custer County,15.02,14,-5.45,20.47,
CO-029,Delta County,10.84,2,-6.83,17.67,
CO-031,Denver County,10.39,11,-4.62,15.01,
CO-033,Dolores County,14.42,3,-8.93,23.35,
CO-035,Douglas County,12.36,5,-5.88,18.24,
CO-037,Eagle County,18.7,10,-5.33,24.03,
CO-039,Elbert County,11.75,7,-4.82,16.57,
CO-041,El Paso County,11.18,8,-4.84,16.02,
CO-043,Fremont County,11.0,14,-3.28,14.28,
CO-045,Garfield County,15.09,5,-7.42,22.51,
CO-047,Gilpin County,18.19,14,-4.68,22.87,
CO-049,Grand County,17.99,12,-4.38,22.37,
CO-051,Gunnison County,16.71,8,-6.53,23.24,
CO-053,Hinsdale County,22.27,12,-8.67,30.94,
CO-055,Huerfano County,11.99,5,-5.89,17.88,
CO-057,Jackson County,18.93,19,-4.19,23.12,
CO-059,Jefferson County,13.44,10,-4.75,18.19,
CO-061,Kiowa County,9.02,8,-5.19,14.21,
CO-063,Kit Carson County,11.36,9,-5.46,16.82,
CO-065,Lake County,21.74,36,-2.49,24.23,
CO-067,La Plata County,14.85,7,-8.58,23.43,
CO-069,Larimer County,16.96,26,-2.99,19.95,
CO-071,Las Animas County,10.49,4,-5.77,16.26,
CO-073,Lincoln County,9.43,6,-4.83,14.26,
CO-075,Logan County,10.73,4,-5.9,16.63,
CO-077,Mesa County,10.88,5,-6.02,16.9,
CO-079,Mineral County,19.25,3,-11.34,30.59,
CO-081,Moffat County,11.42,17,-3.44,14.86,
CO-083,Montezuma County,10.69,7,-6.5,17.19,
CO-085,Montrose County,8.73,1,-6.79,15.52,
CO-087,Morgan County,11.17,19,-3.35,14.52,
CO-089,Otero County,10.41,23,-2.97,13.38,
CO-091,Ouray County,14.4,3,-7.97,22.37,
CO-093,Park County,13.55,11,-3.82,17.37,
CO-095,Phillips County,11.76,4,-6.17,17.93,
CO-097,Pitkin County,23.08,15,-6.07,29.15,
CO-099,Prowers County,10.26,9,-4.89,15.15,
