zipcode,state,city,county,latitude,longitude,timezone,population_total,median_age,avg_rainfall,median_aqi,percentage_good_days,avg_temp_num,cost_rank,rent_index,restaurant_price_index,local_puchasing_power_index,lower_income_tax_rate,higher_income_tax_rate,sales_tax_rate,real_estate_tax_rate,annual_taxes_on_state_median_val_home,combined_upper_most_cap_gains,healthcare_rank,healthcare_cost_rank,distance_to_airport,distance_to_national_park
72923,AR,Fort Smith,Sebastian,35.3493,-94.3695,America/Chicago,0.01366,0.28459,0.5399,,,0.6313,,,,,0.34483,0.28846,0.89655,0.15385,0.02714,0.3625,0.1,0.73469,1.0,0.69307
72766,AR,Springdale,Washington,36.1899,-94.1574,America/Chicago,0.01498,0.31132,0.56203,0.54054,0.0,0.54907,,,,,0.34483,0.28846,0.89655,0.15385,0.02714,0.3625,0.1,0.73469,0.84414,0.74335
72704,AR,Fayetteville,Washington,36.0713,-94.166,America/Chicago,0.01718,0.26474,0.56203,0.54054,0.0,0.54907,,,,,0.34483,0.28846,0.89655,0.15385,0.02714,0.3625,0.1,0.73469,0.86549,0.74503
85671,AZ,Sierra Vista,Cochise,31.563,-110.3153,America/Phoenix,0.00026,0.51286,0.14453,0.60811,0.0,0.62865,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.86287,0.94513
86011,AZ,Flagstaff,Coconino,35.1872,-111.6195,America/Phoenix,0.01318,0.27831,0.13127,0.60811,0.0,0.40053,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.67825,0.66015
85287,AZ,Tempe,Maricopa,33.3881,-111.9318,America/Phoenix,0.04384,0.27689,0.07568,0.86486,0.66667,0.86472,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.98754,0.53631
85355,AZ,Glendale,Maricopa,33.5791,-112.2311,America/Phoenix,0.0798,0.35224,0.07568,0.86486,0.66667,0.86472,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.95995,0.46494
85142,AZ,Queen Creek,Maricopa,33.2386,-111.6343,America/Phoenix,0.00672,0.27891,0.07568,0.86486,0.66667,0.86472,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.93483,0.59956
85395,AZ,Goodyear,Maricopa,33.2613,-112.3622,America/Phoenix,0.01204,0.41766,0.07568,0.86486,0.66667,0.86472,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.94054,0.49697
85392,AZ,Avondale,Maricopa,33.3858,-112.3236,America/Phoenix,0.01058,0.26676,0.07568,0.86486,0.66667,0.86472,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.95423,0.48376
85383,AZ,Phoenix,Maricopa,33.5722,-112.0891,America/Phoenix,0.43835,0.34576,0.07568,0.86486,0.66667,0.86472,0.80672,0.20011,0.33713,0.6319,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.97467,0.48433
85396,AZ,Buckeye,Maricopa,33.4314,-112.6429,America/Phoenix,0.01111,0.3569,0.07568,0.86486,0.66667,0.86472,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.90661,0.43016
85385,AZ,Peoria,Maricopa,33.7844,-112.2989,America/Phoenix,0.04407,0.44967,0.07568,0.86486,0.66667,0.86472,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.92527,0.46714
85271,AZ,Scottsdale,Maricopa,33.6872,-111.8651,America/Phoenix,0.07862,0.62021,0.07568,0.86486,0.66667,0.86472,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.95125,0.52509
85388,AZ,Surprise,Maricopa,33.68,-112.4524,America/Phoenix,0.02788,0.51469,0.07568,0.86486,0.66667,0.86472,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.92204,0.42957
85277,AZ,Mesa,Maricopa,33.4017,-111.718,America/Phoenix,0.1534,0.45676,0.07568,0.86486,0.66667,0.86472,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.95733,0.55982
85286,AZ,Chandler,Maricopa,33.2826,-111.8516,America/Phoenix,0.07668,0.43853,0.07568,0.86486,0.66667,0.86472,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.96554,0.56483
85299,AZ,Gilbert,Maricopa,33.3101,-111.7463,America/Phoenix,0.06704,0.32854,0.07568,0.86486,0.66667,0.86472,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.9561,0.57316
86409,AZ,Kingman,Mohave,35.217,-114.0105,America/Phoenix,0.00106,0.60097,0.09241,0.25676,0.0,0.65782,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.77199,0.72515
86406,AZ,Lake Havasu City,Mohave,34.5006,-114.3113,America/Los_Angeles,0.00309,0.72858,0.09241,0.25676,0.0,0.65782,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.68925,0.73751
85775,AZ,Tucson,Pima,32.1545,-110.8782,America/Phoenix,0.27134,0.46364,0.11725,0.68919,0.33333,0.7931,0.78151,0.06324,0.29004,0.3253,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.9904,0.88169
85194,AZ,Casa Grande,Pinal,32.9068,-111.7624,America/Phoenix,0.00569,0.49706,0.11763,0.7973,0.33333,0.82228,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.89918,0.63845
85143,AZ,San Tan Valley,Pinal,33.1879,-111.5472,America/Phoenix,0.01274,0.24954,0.11763,0.7973,0.33333,0.82228,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.9187,0.61911
85139,AZ,Maricopa,Pinal,33.0404,-112.0006,America/Phoenix,0.0035,0.3174,0.11763,0.7973,0.33333,0.82228,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.9307,0.58335
85178,AZ,Apache Junction,Pinal,33.3985,-111.5351,America/Phoenix,0.00137,0.71643,0.11763,0.7973,0.33333,0.82228,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.92967,0.58061
86313,AZ,Prescott,Yavapai,34.585,-112.4475,America/Phoenix,0.00338,0.81102,0.16589,0.62162,0.0,0.57294,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.78308,0.50208
85369,AZ,Yuma,Yuma,32.5992,-114.5488,America/Phoenix,0.03063,0.54973,0.01918,0.59459,0.0,0.90981,,,,,0.44655,0.49038,0.77241,0.17195,0.1173,0.3375,0.2,0.38776,0.59739,0.61391
