state,city,county,zipcode,latitude,longitude,name,distance
MD,Dundalk,Baltimore,21224,39.2703,-76.4942,"Shenandoah National Park, Shenandoah",167.8599
NC,Durham,Durham,27722,35.9794,-78.9031,"Kings Mountain State Park, Blacksburg",240.2542
TX,Eagle Pass,Maverick,78852,28.7125,-100.484,"Pedernales Falls State Park, Johnson City",279.0741
SC,Easley,Pickens,29642,34.819,-82.5828,"Mount Mitchell State Park",108.5569
MI,East Lansing,Ingham,48826,42.748,-84.4835,"Grant Park, Chicago",275.6357
NJ,East Orange,Essex,07019,40.7651,-74.2117,"Ricketts Glen State Park",185.6242
PA,Easton,Northampton,18044,40.6858,-75.2209,"Ricketts Glen State Park",115.4601
WI,Eau Claire,Eau Claire,54703,44.8199,-91.4949,"Wisconsin Interstate State Park",110.8427
MN,Eden Prairie,Hennepin,55347,44.8488,-93.4595,"Wisconsin Interstate State Park",88.4173
TX,Edinburg,Hidalgo,78542,26.3197,-98.1596,"Pedernales Falls State Park, Johnson City",443.5903
OK,Edmond,Oklahoma,73034,35.6689,-97.4159,"El Dorado State Park, Kansas",251.2616
WA,Edmonds,Snohomish,98026,47.8115,-122.3533,"Mount Rainier National Park, Washington",113.8255
CA,El Cajon,San Diego,92021,32.8017,-116.9605,"Joshua Tree National Park, California",155.3008
CA,El Centro,Imperial,92244,32.7867,-115.5586,"Joshua Tree National Park, California",125.8543
CA,El Monte,Los Angeles,91735,34.0739,-118.0291,"Topanga State Park, Topanga",51.4532
IL,Elgin,Kane,60124,42.0385,-88.3229,"Grant Park, Chicago",60.7015
NJ,Elizabeth,Union,07208,40.6657,-74.1912,"Ricketts Glen State Park",191.4113
KY,Elizabethtown,Hardin,42702,37.703,-85.877,"Cades Cove, Great Smoky Mountains National Park, Tennessee",297.513
CA,Elk Grove,Sacramento,95759,38.416,-121.3842,"Sand Harbor State Park, Incline Village",153.046
IN,Elkhart,Elkhart,46517,41.6916,-85.9628,"Grant Park, Chicago",139.0863
MD,Ellicott City,Howard,21043,39.2773,-76.8344,"Shenandoah National Park, Shenandoah",141.4148
OH,Elyria,Lorain,44036,41.3761,-82.1063,"Egypt Valley Wildlife Area",163.2006
CA,Encinitas,San Diego,92075,33.049,-117.2613,"Joshua Tree National Park, California",156.5442
CO,Englewood,Arapahoe,80151,39.6468,-104.9942,"Cherry Creek State Park, Aurora",13.9206
OK,Enid,Garfield,73706,36.4061,-97.8701,"El Dorado State Park, Kansas",189.972
PA,Erie,Erie,16553,42.1168,-80.0733,"Hillman State Park, Burgettstown",186.938
CA,Escondido,San Diego,92046,33.1347,-117.0722,"Joshua Tree National Park, California",136.7491
OR,Eugene,Lane,97440,44.0563,-123.1173,"Siuslaw National Forest, Tidewater",66.0129
TX,Euless,Tarrant,76051,32.8508,-97.0799,"Little Sandy National Wildlife Refuge, Lindale",171.4262
CA,Eureka,Humboldt,95534,40.7942,-124.1568,"Redwood National and State Parks",48.3068
GA,Evans,Columbia,30809,33.5619,-82.1351,"Lake Wateree State Recreation Area",148.0832
IL,Evanston,Cook,60208,42.0463,-87.6942,"Grant Park, Chicago",19.8087
IN,Evansville,Vanderburgh,47750,37.9881,-87.5341,"Danville Conservation Area, New Florence",359.3434
WA,Everett,Snohomish,98275,47.9525,-122.1669,"Mount Rainier National Park, Washington",123.7694
HI,Ewa Beach,Honolulu,96709,21.3181,-158.0073,"Honolulu Watershed Forest Preserve, Honolulu",23.9429
AK,Fairbanks,Fairbanks North Star,99707,64.8353,-147.6534,"Denali National Park and Preserve, Alaska",256.522
VA,Fairfax,Fairfax,22037,38.8531,-77.2998,"Shenandoah National Park, Shenandoah",87.7265
CA,Fairfield,Solano,94585,38.2592,-122.0324,"Sand Harbor State Park, Incline Village",210.0731
MA,Fall River,Bristol,02790,41.7137,-71.1014,"Odiorne Point State Park, Rye",151.7461
VA,Falls Church,Falls Church,22046,38.8847,-77.1751,"Shenandoah National Park, Shenandoah",98.9998
ND,Fargo,Cass,58126,46.8652,-96.8292,"Maplewood State Park, Pelican Rapids",77.1066
MI,Farmington,Oakland,48336,42.4614,-83.3784,"Egypt Valley Wildlife Area",322.2075
NM,Farmington,San Juan,87415,36.7555,-108.1823,"Mesa Verde National Park, Mesa Verde",58.3988
AR,Fayetteville,Washington,72704,36.0713,-94.166,"Buffalo National River, St Joe",127.005
GA,Fayetteville,Fayette,30215,33.45,-84.4709,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",59.3808
NC,Fayetteville,Cumberland,28390,35.0846,-78.9776,"Lake Wateree State Recreation Area",189.5336
WA,Federal Way,King,98093,47.3091,-122.3358,"Mount Rainier National Park, Washington",66.3439
OH,Findlay,Hancock,45840,41.0467,-83.6379,"Egypt Valley Wildlife Area",236.9461
IN,Fishers,Hamilton,46256,39.9589,-85.9661,"Grant Park, Chicago",254.5861
AZ,Flagstaff,Coconino,86011,35.1872,-111.6195,"Petrified Forest National Park, Arizona",167.865
MI,Flint,Genesee,48557,43.0235,-83.6922,"Grant Park, Chicago",346.6857
AL,Florence,Lauderdale,35633,34.8303,-87.6654,"Sipsey Wilderness, Mt Hope",59.2904
KY,Florence,Boone,41042,38.99,-84.647,"Offshore Trap/Pot Waters Area, Western Atlantic Ocean",255.2999
SC,Florence,Florence,29506,34.1781,-79.7877,"Lake Wateree State Recreation Area",101.2472
MO,Florissant,St. Louis,63033,38.7996,-90.3269,"Danville Conservation Area, New Florence",102.292
TX,Flower Mound,Denton,76262,33.0344,-97.1146,"Little Sandy National Wildlife Refuge, Lindale",178.9703
CA,Folsom,Sacramento,95763,38.6668,-121.1422,"Sand Harbor State Park, Incline Village",120.2884
CA,Fontana,San Bernardino,92402,34.0968,-117.4599,"Topanga State Park, Topanga",103.8147
CO,Fort Collins,Larimer,80553,40.5478,-105.0656,"Golden Gate Canyon State Park",86.2415
FL,Fort Lauderdale,Broward,33394,26.1412,-80.1464,"Oleta River State Park, North Miami",24.4177
SC,Fort Mill,York,29716,35.0062,-80.9388,"Kings Mountain State Park, Blacksburg",39.5035
FL,Fort Myers,Lee,33994,26.6195,-81.8303,"Myakka State Forest, Englewood",61.0977
FL,Fort Pierce,St. Lucie,34982,27.4256,-80.3431,"Kissimmee Prairie Preserve State Park, Okeechobee",73.0592
AR,Fort Smith,Sebastian,72923,35.3493,-94.3695,"Hot Springs National Park, Hot Springs",152.0168
FL,Fort Walton Beach,Okaloosa,32549,30.4249,-86.6194,"Gulf State Park, Gulf Shores",99.238
MD,Fort Washington,Prince George's,20749,38.7339,-77.0069,"Shenandoah National Park, Shenandoah",111.6151
IN,Fort Wayne,Allen,46897,41.0886,-85.1437,"Grant Park, Chicago",224.2475
TX,Fort Worth,Tarrant,76262,32.7811,-97.3473,"Little Sandy National Wildlife Refuge, Lindale",195.2111
CA,Fountain Valley,Orange,92728,33.7105,-117.9514,"Topanga State Park, Topanga",72.4923
MA,Framingham,Middlesex,01705,42.3085,-71.4368,"Odiorne Point State Park, Rye",101.0531
KY,Frankfort,Franklin,40622,38.1924,-84.8643,"Offshore Trap/Pot Waters Area, Western Atlantic Ocean",251.5495
TN,Franklin,Williamson,37069,35.9216,-86.8525,"Sipsey Wilderness, Mt Hope",184.5131
MD,Frederick,Frederick,21709,39.4336,-77.4141,"Shenandoah National Park, Shenandoah",111.3458
VA,Fredericksburg,Fredericksburg,22412,38.2992,-77.4872,"Shenandoah National Park, Shenandoah",83.0944
CA,Fremont,Alameda,94555,37.5265,-121.9852,"Yosemite National Park, California",218.5485
CA,Fresno,Fresno,93844,36.7831,-119.7941,"Kings Canyon National Park, California",110.8748
TX,Friendswood,Galveston,77549,29.5111,-95.1979,"Anahuac National Wildlife Refuge, Anahuac",73.2616
TX,Frisco,Collin,75036,33.1555,-96.8215,"Little Sandy National Wildlife Refuge, Lindale",157.5986
CA,Fullerton,Orange,92838,33.8841,-117.9279,"Topanga State Park, Topanga",65.0899
AL,Gadsden,Etowah,35904,34.009,-86.0156,"Ruffner Mountain Nature Center, Birmingham",81.1602
FL,Gainesville,Alachua,32653,29.6804,-82.3458,"Okefenokee National Wildlife Refuge, Folkston",121.6241
GA,Gainesville,Hall,30507,34.2903,-83.8301,"Chattahoochee National Forest, Suches",60.1825
MD,Gaithersburg,Montgomery,20899,39.1346,-77.2132,"Shenandoah National Park, Shenandoah",105.1274
TN,Gallatin,Sumner,37066,36.3782,-86.4696,"Sipsey Wilderness, Mt Hope",243.7758
TX,Galveston,Galveston,77555,29.2487,-94.891,"Anahuac National Wildlife Refuge, Anahuac",58.7228
CA,Garden Grove,Orange,92846,33.7787,-117.9601,"Topanga State Park, Topanga",67.609
CA,Gardena,Los Angeles,90249,33.8944,-118.3073,"Topanga State Park, Topanga",33.9852
TX,Garland,Dallas,75049,32.91,-96.6305,"Little Sandy National Wildlife Refuge, Lindale",131.7591
NC,Garner,Wake,27699,35.6934,-78.6196,"Lake Wateree State Recreation Area",251.4319
IN,Gary,Lake,46409,41.5906,-87.3472,"Grant Park, Chicago",39.1143
NC,Gastonia,Gaston,28056,35.2494,-81.1853,"Kings Mountain State Park, Blacksburg",19.6648
TX,Georgetown,Williamson,78633,30.6668,-97.6953,"Pedernales Falls State Park, Johnson City",67.0487
MD,Germantown,Montgomery,20876,39.1755,-77.2643,"Shenandoah National Park, Shenandoah",103.4442
WA,Gig Harbor,Pierce,98335,47.3353,-122.5964,"Mount Rainier National Park, Washington",83.0278
AZ,Gilbert,Maricopa,85299,33.3101,-111.7463,"Kartchner Caverns State Park, Benson",209.7413
CA,Gilroy,Santa Clara,95020,37.0047,-121.5855,"Yosemite National Park, California",204.5032
VA,Glen Allen,Henrico,23060,37.666,-77.4838,"Shenandoah National Park, Shenandoah",135.0209
MD,Glen Burnie,Anne Arundel,21108,39.1559,-76.6072,"Shenandoah National Park, Shenandoah",154.3389
AZ,Glendale,Maricopa,85355,33.5791,-112.2311,"Kartchner Caverns State Park, Benson",261.8348
CA,Glendale,Los Angeles,91226,34.1818,-118.2468,"Topanga State Park, Topanga",32.8523
CA,Glendora,Los Angeles,91741,34.1449,-117.8468,"Topanga State Park, Topanga",68.4107
IL,Glenview,Cook,60026,42.0825,-87.8216,"Grant Park, Chicago",28.2382
CO,Golden,Jefferson,80419,39.7406,-105.2118,"William F Hayden Green Mountain Park, Lakewood",5.2161
NC,Goldsboro,Wayne,27534,35.3778,-77.972,"Lake Wateree State Recreation Area",286.3474
CA,Goleta,Santa Barbara,93118,34.436,-119.8596,"Channel Islands National Park, Ventura",49.3477
AZ,Goodyear,Maricopa,85395,33.2613,-112.3622,"Kartchner Caverns State Park, Benson",246.4172
SC,Goose Creek,Berkeley,29445,32.9925,-80.0054,"Lake Wateree State Recreation Area",173.0351
IN,Goshen,Elkhart,46528,41.5743,-85.8308,"Grant Park, Chicago",152.3885
TX,Granbury,Hood,76049,32.4484,-97.7685,"Little Sandy National Wildlife Refuge, Lindale",234.4465
ND,Grand Forks,Grand Forks,58208,47.9218,-97.0886,"Maplewood State Park, Pelican Rapids",177.8608
NE,Grand Island,Hall,68803,40.9214,-98.3584,"El Dorado State Park, Kansas",366.5343
CO,Grand Junction,Mesa,81507,39.0876,-108.5673,"Arches National Park, Utah",97.0697
TX,Grand Prairie,Dallas,75265,32.6872,-97.0209,"Little Sandy National Wildlife Refuge, Lindale",163.9523
MI,Grand Rapids,Kent,49599,42.962,-85.6562,"Grant Park, Chicago",201.5005
OR,Grants Pass,Josephine,97528,42.4333,-123.3317,"Redwood National and State Parks",146.6817
TX,Grapevine,Tarrant,76099,32.9343,-97.0744,"Little Sandy National Wildlife Refuge, Lindale",172.655
MT,Great Falls,Cascade,59406,47.5022,-111.2995,"National Bison Range, Montana",219.6527
CO,Greeley,Weld,80639,40.4151,-104.7706,"Golden Gate Canyon State Park",85.3656
WI,Green Bay,Brown,54311,44.515,-87.9896,"Grant Park, Chicago",294.9011
NC,Greensboro,Guilford,27499,36.0956,-79.8269,"Kings Mountain State Park, Blacksburg",174.2405
PA,Greensburg,Westmoreland,15606,40.3113,-79.5444,"Hillman State Park, Burgettstown",74.2521
NC,Greenville,Pitt,27858,35.5956,-77.3768,"Lake Wateree State Recreation Area",345.3896
SC,Greenville,Greenville,29616,34.8353,-82.3647,"Kings Mountain State Park, Blacksburg",98.4877
IN,Greenwood,Johnson,46184,39.6019,-86.1073,"Grant Park, Chicago",283.2745
SC,Greenwood,Greenwood,29649,34.1945,-82.1542,"Lake Wateree State Recreation Area",120.2719
SC,Greer,Greenville,29652,34.9313,-82.2315,"Kings Mountain State Park, Blacksburg",83.6603
OR,Gresham,Multnomah,97233,45.5023,-122.4413,"Mt. Hood National Forest, Oregon",39.9774
LA,Gretna,Jefferson,70056,29.9101,-90.0515,"Gulf State Park, Gulf Shores",235.6528
GA,Griffin,Spalding,30224,33.2418,-84.2747,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",86.4104
OH,Grove City,Franklin,43123,39.8659,-83.0694,"Egypt Valley Wildlife Area",168.8689
MS,Gulfport,Harrison,39507,30.4271,-89.0703,"Gulf State Park, Gulf Shores",138.8113
CA,Hacienda Heights,Los Angeles,91745,33.997,-117.9728,"Topanga State Park, Topanga",57.6203
MD,Hagerstown,Washington,21749,39.6401,-77.7217,"Shenandoah National Park, Shenandoah",115.4911
OH,Hamilton,Butler,45015,39.3938,-84.5653,"Offshore Trap/Pot Waters Area, Western Atlantic Ocean",271.2414
IN,Hammond,Lake,46394,41.6169,-87.491,"Grant Park, Chicago",30.8374
LA,Hammond,Tangipahoa,70404,30.5061,-90.4563,"Gulf State Park, Gulf Shores",271.8399
VA,Hampton,Hampton,23681,37.0551,-76.363,"Shenandoah National Park, Shenandoah",249.3061
CA,Hanford,Kings,93230,36.3274,-119.6549,"Kings Canyon National Park, California",116.2744
PA,Hanover,York,17333,39.8117,-76.9835,"Rothrock State Forest, State College",123.8349
TX,Harlingen,Cameron,78553,26.1917,-97.6976,"Pedernales Falls State Park, Johnson City",460.9932
PA,Harrisburg,Dauphin,17130,40.2752,-76.8843,"Rothrock State Forest, State College",93.8396
VA,Harrisonburg,Harrisonburg,22807,38.4361,-78.8735,"Shenandoah National Park, Shenandoah",58.431
CT,Hartford,Hartford,06183,41.7661,-72.6834,"Odiorne Point State Park, Rye",215.2343
MS,Hattiesburg,Forrest,39407,31.3074,-89.317,"Gulf State Park, Gulf Shores",198.156
MA,Haverhill,Essex,01835,42.7838,-71.0871,"Odiorne Point State Park, Rye",41.9817
CA,Hawthorne,Los Angeles,90310,33.9146,-118.3476,"Topanga State Park, Topanga",29.7087
CA,Hayward,Alameda,94557,37.6328,-122.0772,"Yosemite National Park, California",224.7046
MT,Helena,Lewis and Clark,59626,46.5965,-112.0202,"National Bison Range, Montana",185.6885
CA,Hemet,Riverside,92546,33.7341,-116.9969,"Joshua Tree National Park, California",102.609
NV,Henderson,Clark,89077,36.0133,-115.038,"Mojave National Preserve, Kelso",105.9169
NC,Hendersonville,Henderson,28793,35.3242,-82.4576,"Mount Mitchell State Park",51.3016
TN,Hendersonville,Sumner,37077,36.3063,-86.5998,"Sipsey Wilderness, Mt Hope",232.2295
UT,Herriman,Salt Lake,84096,40.4899,-112.0171,"Manti-La Sal National Forest, Price",154.7482
CA,Hesperia,San Bernardino,92345,34.3975,-117.3147,"Topanga State Park, Topanga",121.7711
FL,Hialeah,Miami-Dade,33018,25.8696,-80.3046,"Oleta River State Park, North Miami",17.0364
NC,Hickory,Catawba,28603,35.7425,-81.323,"Kings Mountain State Park, Blacksburg",68.0862
NC,High Point,Guilford,27282,35.9907,-79.9938,"Kings Mountain State Park, Blacksburg",155.2346
CA,Highland,San Bernardino,92410,34.1113,-117.1654,"Joshua Tree National Park, California",119.3529
OH,Hilliard,Franklin,43026,40.0353,-83.1578,"Egypt Valley Wildlife Area",174.116
OR,Hillsboro,Washington,97129,45.5272,-122.9361,"Mt. Hood National Forest, Oregon",78.5994
NJ,Hoboken,Hudson,7030,40.7453,-74.0279,"Ricketts Glen State Park",200.9051
IL,Hoffman Estates,Cook,60195,42.0639,-88.1468,"Grant Park, Chicago",48.1412
MI,Holland,Ottawa,49423,42.7677,-86.0985,"Grant Park, Chicago",159.7047
CA,Hollister,San Benito,95024,36.8563,-121.3981,"Yosemite National Park, California",198.9904
FL,Hollywood,Broward,33316,26.0294,-80.1679,"Oleta River State Park, North Miami",12.2133
FL,Homestead,Miami-Dade,33035,25.4665,-80.4472,"Everglades National Park, Florida",49.5701
HI,Honolulu,Honolulu,96898,21.3294,-157.846,"Honolulu Watershed Forest Preserve, Honolulu",7.6888
LA,Houma,Terrebonne,70363,29.5799,-90.7058,"Gulf State Park, Gulf Shores",305.3946
TX,Houston,Harris,77598,29.7863,-95.3889,"Anahuac National Wildlife Refuge, Anahuac",92.8615
MI,Howell,Livingston,48844,42.6078,-83.9339,"Grant Park, Chicago",314.2635
TX,Humble,Harris,77396,29.9921,-95.2655,"Anahuac National Wildlife Refuge, Anahuac",89.4873
NC,Huntersville,Mecklenburg,28078,35.4058,-80.8727,"Kings Mountain State Park, Blacksburg",52.7197
WV,Huntington,Cabell,25778,38.4109,-82.4344,"Offshore Trap/Pot Waters Area, Western Atlantic Ocean",59.3991
CA,Huntington Beach,Orange,92649,33.696,-118.0025,"Topanga State Park, Topanga",69.7432
CA,Huntington Park,Los Angeles,90255,33.98,-118.2167,"Topanga State Park, Topanga",36.3958
NY,Huntington Station,Suffolk,11746,40.8446,-73.405,"Ricketts Glen State Park",247.9694
AL,Huntsville,Madison,35899,34.6988,-86.6412,"Sipsey Wilderness, Mt Hope",83.3667
TX,Huntsville,Walker,77349,30.705,-95.5544,"Anahuac National Wildlife Refuge, Anahuac",161.5845
MD,Hyattsville,Prince George's,20788,38.9612,-76.9548,"Shenandoah National Park, Shenandoah",119.4584
ID,Idaho Falls,Bonneville,83415,43.4872,-112.0362,"Jackson Hole",98.4525
MO,Independence,Jackson,64057,39.0871,-94.3501,"Eagle Bluffs Conservation Area, Columbia",167.9386
IN,Indianapolis,Marion,46298,39.7771,-86.1458,"Grant Park, Chicago",264.4104
CA,Indio,Riverside,92241,33.7346,-116.2346,"Joshua Tree National Park, California",34.9305
CA,Inglewood,Los Angeles,90312,33.9566,-118.3444,"Topanga State Park, Topanga",27.0521
IA,Iowa City,Johnson,52246,41.6559,-91.5303,"Danville Conservation Area, New Florence",310.3306
CA,Irvine,Orange,92698,33.6772,-117.7738,"Topanga State Park, Topanga",88.1971
TX,Irving,Dallas,75368,32.8584,-96.9702,"Little Sandy National Wildlife Refuge, Lindale",161.4673
WA,Issaquah,King,98029,47.544,-122.0471,"Mount Rainier National Park, Washington",77.697
NY,Ithaca,Tompkins,14853,42.4442,-76.5032,"Ricketts Glen State Park",124.1278
MI,Jackson,Jackson,49203,42.2431,-84.4037,"Grant Park, Chicago",268.7741
MS,Jackson,Hinds,39298,32.3163,-90.2124,"Gulf State Park, Gulf Shores",334.7257
TN,Jackson,Madison,38314,35.6535,-88.8353,"Sipsey Wilderness, Mt Hope",194.5898
FL,Jacksonville,Duval,32277,30.3322,-81.6749,"Okefenokee National Wildlife Refuge, Folkston",76.844
NC,Jacksonville,Onslow,28547,34.7288,-77.3941,"Lake Wateree State Recreation Area",320.1394
WI,Janesville,Rock,53548,42.6855,-89.0136,"Grant Park, Chicago",145.6043
MO,Jefferson City,Cole,65111,38.5676,-92.1759,"Eagle Bluffs Conservation Area, Columbia",38.3641
NJ,Jersey City,Hudson,07399,40.7161,-74.0682,"Ricketts Glen State Park",198.863
TN,Johnson City,Washington,37684,36.3406,-82.3803,"Mount Mitchell State Park",63.9295
PA,Johnstown,Cambria,15907,40.3258,-78.9193,"Rothrock State Forest, State College",102.232
IL,Joliet,Will,60586,41.5189,-88.1499,"Grant Park, Chicago",59.1827
AR,Jonesboro,Craighead,72467,35.8212,-90.6791,"Buffalo National River, St Joe",188.0982
GA,Jonesboro,Clayton,30237,33.5212,-84.3541,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",54.7238
MO,Joplin,Jasper,64804,37.0758,-94.5018,"Buffalo National River, St Joe",197.4357
FL,Jupiter,Palm Beach,33477,26.9199,-80.1128,"Oleta River State Park, North Miami",111.0489
MI,Kalamazoo,Kalamazoo,49074,42.2749,-85.5882,"Grant Park, Chicago",173.5951
MT,Kalispell,Flathead,59904,48.2156,-114.3262,"National Bison Range, Montana",97.4685
HI,Kaneohe,Honolulu,96744,21.4062,-157.7904,"Honolulu Watershed Forest Preserve, Honolulu",4.8685
NC,Kannapolis,Cabarrus,28083,35.4764,-80.6403,"Kings Mountain State Park, Blacksburg",74.6612
KS,Kansas City,Wyandotte,66160,39.1234,-94.7443,"Eagle Bluffs Conservation Area, Columbia",202.1804
MO,Kansas City,Jackson,64999,39.1239,-94.5541,"Eagle Bluffs Conservation Area, Columbia",185.9558
TX,Katy,Harris,77494,29.7904,-95.8353,"Anahuac National Wildlife Refuge, Anahuac",135.3793
TX,Keller,Tarrant,76262,32.9337,-97.2255,"Little Sandy National Wildlife Refuge, Lindale",186.4462
LA,Kenner,Jefferson,70141,30.0109,-90.2549,"Gulf State Park, Gulf Shores",253.36
GA,Kennesaw,Cobb,30160,34.026,-84.6177,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",6.5626
WA,Kennewick,Benton,99338,46.1978,-119.1732,"Bridge Creek Wildlife Area, Ukiah",129.5333
WI,Kenosha,Kenosha,53144,42.5864,-87.8765,"Grant Park, Chicago",81.677
WA,Kent,King,98089,47.3887,-122.2129,"Mount Rainier National Park, Washington",67.4643
NC,Kernersville,Forsyth,27285,36.1066,-80.0844,"Kings Mountain State Park, Blacksburg",157.3964
TX,Killeen,Bell,76549,31.0754,-97.7296,"Pedernales Falls State Park, Johnson City",99.1472
AZ,Kingman,Mohave,86409,35.217,-114.0105,"Mojave National Preserve, Kelso",136.5747
TN,Kingsport,Sullivan,37669,36.5224,-82.5453,"Mount Mitchell State Park",86.5041
WA,Kirkland,King,98083,47.6974,-122.2054,"Mount Rainier National Park, Washington",97.7966
FL,Kissimmee,Osceola,34746,28.3042,-81.4164,"Lake Eola Park, Orlando",27.1145
OR,Klamath Falls,Klamath,97603,42.2191,-121.7754,"Whiskeytown National Recreation Area, Whiskeytown",188.1765
TN,Knoxville,Knox,37997,35.9692,-83.9496,"Cades Cove, Great Smoky Mountains National Park, Tennessee",43.2434
IN,Kokomo,Howard,46965,40.464,-86.1277,"Grant Park, Chicago",200.7646
TX,Kyle,Hays,78666,29.9937,-97.8859,"Pedernales Falls State Park, Johnson City",50.0011
WI,La Crosse,La Crosse,54603,43.824,-91.2268,"Wisconsin Interstate State Park",207.9698
CA,La Habra,Orange,90633,33.9278,-117.9513,"Topanga State Park, Topanga",61.4404
CA,La Mesa,San Diego,91944,32.7703,-117.0204,"Joshua Tree National Park, California",161.5538
CA,La Mirada,Los Angeles,90639,33.9025,-118.0093,"Topanga State Park, Topanga",57.3492
CA,La Puente,Los Angeles,91749,34.0323,-117.9533,"Topanga State Park, Topanga",58.7945
IN,Lafayette,Tippecanoe,47909,40.399,-86.8594,"Grant Park, Chicago",176.2573
LA,Lafayette,Lafayette,70598,30.2084,-92.0323,"Anahuac National Wildlife Refuge, Anahuac",242.2442
CA,Laguna Niguel,Orange,92677,33.5275,-117.705,"Topanga State Park, Topanga",102.9634
LA,Lake Charles,Calcasieu,70629,30.2012,-93.2122,"Anahuac National Wildlife Refuge, Anahuac",136.1271
FL,Lake City,Columbia,32056,30.1901,-82.647,"Okefenokee National Wildlife Refuge, Folkston",73.1904
CA,Lake Elsinore,Riverside,92570,33.6847,-117.3344,"Topanga State Park, Topanga",124.2492
CA,Lake Forest,Orange,92679,33.6606,-117.6712,"Topanga State Park, Topanga",97.2954
AZ,Lake Havasu City,Mohave,86406,34.5006,-114.3113,"Mojave National Preserve, Kelso",130.6233
FL,Lake Worth,Palm Beach,33466,26.6196,-80.0591,"Oleta River State Park, North Miami",78.0772
FL,Lakeland,Polk,33815,28.0556,-81.9545,"Lake Eola Park, Orlando",78.768
MN,Lakeville,Dakota,55044,44.6774,-93.252,"Wisconsin Interstate State Park",93.2849
CA,Lakewood,Los Angeles,90715,33.8471,-118.1221,"Topanga State Park, Topanga",50.8845
OH,Lakewood,Cuyahoga,44107,41.4824,-81.8008,"Egypt Valley Wildlife Area",162.6128
WA,Lakewood,Pierce,98499,47.1628,-122.5299,"Mount Rainier National Park, Washington",68.5144
CA,Lancaster,Los Angeles,93584,34.6935,-118.1753,"Topanga State Park, Topanga",76.7141
OH,Lancaster,Fairfield,43130,39.7249,-82.6049,"Egypt Valley Wildlife Area",134.3474
PA,Lancaster,Lancaster,17699,40.0421,-76.3012,"Ricketts Glen State Park",144.232
SC,Lancaster,Lancaster,29720,34.7247,-80.7801,"Lake Wateree State Recreation Area",39.6083
PA,Lansdale,Montgomery,19446,40.2417,-75.2812,"Ricketts Glen State Park",148.696
MI,Lansing,Ingham,48956,42.7142,-84.5601,"Grant Park, Chicago",268.4861
TX,Laredo,Webb,78046,27.5629,-99.4875,"Pedernales Falls State Park, Johnson City",327.8617
FL,Largo,Pinellas,33779,27.9088,-82.7711,"Myakka State Forest, Englewood",112.963
NM,Las Cruces,Doña Ana,88013,32.3265,-106.7892,"White Sands National Park",76.7437
NV,Las Vegas,Clark,89195,36.2333,-115.2654,"Mojave National Preserve, Kelso",123.3817
MD,Laurel,Prince George's,20797,39.095,-76.8622,"Shenandoah National Park, Shenandoah",131.3339
KS,Lawrence,Douglas,66049,38.9597,-95.2641,"El Dorado State Park, Kansas",178.0565
MA,Lawrence,Essex,01843,42.7003,-71.1626,"Odiorne Point State Park, Rye",52.9459
GA,Lawrenceville,Gwinnett,30049,33.9523,-83.9931,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",54.1149
OK,Lawton,Comanche,73507,34.6176,-98.4203,"Little Sandy National Wildlife Refuge, Lindale",368.3587
UT,Layton,Davis,84041,41.0769,-111.9621,"Manti-La Sal National Forest, Price",215.8907
TX,League City,Galveston,77598,29.4873,-95.1087,"Anahuac National Wildlife Refuge, Anahuac",65.2558
TX,Leander,Williamson,78646,30.5728,-97.8618,"Pedernales Falls State Park, Johnson City",48.0336
PA,Lebanon,Lebanon,17046,40.3412,-76.4227,"Ricketts Glen State Park",111.5271
TN,Lebanon,Wilson,37136,36.204,-86.3481,"Sipsey Wilderness, Mt Hope",230.3447
FL,Leesburg,Lake,34789,28.7657,-81.8996,"Lake Eola Park, Orlando",56.9545
VA,Leesburg,Loudoun,20178,39.1058,-77.5544,"Shenandoah National Park, Shenandoah",78.1814
UT,Lehi,Utah,84043,40.4136,-111.8726,"Manti-La Sal National Forest, Price",142.7329
FL,Lehigh Acres,Lee,33976,26.612,-81.6388,"Myakka State Forest, Englewood",76.7122
KS,Lenexa,Johnson,66250,38.9609,-94.8018,"Eagle Bluffs Conservation Area, Columbia",205.4461
PA,Levittown,Bucks,19058,40.1537,-74.853,"Ricketts Glen State Park",178.9911
TX,Lewisville,Denton,75077,33.0452,-96.9823,"Little Sandy National Wildlife Refuge, Lindale",167.4696
KY,Lexington,Fayette,40598,38.0423,-84.4587,"Offshore Trap/Pot Waters Area, Western Atlantic Ocean",215.4211
NC,Lexington,Davidson,27295,35.8017,-80.2682,"Kings Mountain State Park, Blacksburg",122.8347
SC,Lexington,Lexington,29072,33.989,-81.2202,"Lake Wateree State Recreation Area",54.0423
GA,Lilburn,Gwinnett,30048,33.8887,-84.1379,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",41.861
OH,Lima,Allen,45805,40.741,-84.1121,"Egypt Valley Wildlife Area",263.1064
CA,Lincoln,Placer,95648,38.8759,-121.2916,"Sand Harbor State Park, Incline Village",122.8625
