ID,NAME,ST_ABBREV,TOTPOP_CY,MEDAGE_CY,MALES_CY,FEMALES_CY,MEDMAGE_CY,MEDFAGE_CY
64446,Fairfax,MO,1032,49.8,524,508,50.1,49.5
64644,Hamilton,MO,3105,41.1,1524,1581,38.7,43.8
65660,Graff,MO,203,44.3,100,103,44,44.5
64664,Mooresville,MO,356,48.8,175,181,49,48.5
65301,Sedalia,MO,33987,37.6,16657,17330,36.5,38.8
64428,Burlington Junction,MO,848,43.4,431,417,41.9,45.1
65338,Lincoln,MO,3158,50.3,1527,1631,50.9,49.6
63851,Hayti,MO,3707,38,1720,1987,35.5,39.9
63036,French Village,MO,1051,52.8,550,501,53.1,52.3
63436,Center,MO,1091,47.6,536,555,47.2,48
65770,Walnut Grove,MO,2791,41.2,1370,1421,40.2,42.1
64790,Walker,MO,850,39.5,440,410,37.4,41.5
64112,Kansas City,MO,9312,33.7,4656,4656,34.2,33.2
65674,Humansville,MO,2520,46.7,1237,1283,45.9,47.6
63450,Lentner,MO,125,48.4,62,63,46.3,50.8
63750,Gipsy,MO,461,48.3,239,222,47.7,48.8
63877,Steele,MO,4354,39.7,2113,2241,38.7,40.6
65769,Verona,MO,3747,38.5,1887,1860,38.3,38.8
63801,Sikeston,MO,25091,40.9,11861,13230,39.3,42.3
64671,Polo,MO,1794,45.4,886,908,46.1,44.8
65347,Nelson,MO,734,46.6,358,376,47,46.3
63855,Hornersville,MO,1192,41.6,598,594,39.9,43.2
64061,Kingsville,MO,3576,46.1,1817,1759,46,46.2
64063,Lees Summit,MO,21143,35.9,10204,10939,34.6,37.2
64831,Anderson,MO,6419,38.9,3243,3176,37.8,40.1
64012,Belton,MO,28461,37.1,13840,14621,35.6,38.6
64054,Independence,MO,3995,40.6,2004,1991,39.7,41.8
63089,Villa Ridge,MO,6002,42.7,2988,3014,42.4,42.9
65237,Bunceton,MO,1063,39.6,541,522,38.4,40.8
63629,Bunker,MO,1243,44.9,620,623,44.5,45.2
63830,Caruthersville,MO,6972,37,3303,3669,35.5,38.2
63390,Wright City,MO,10273,39.4,5137,5136,38.9,39.8
65624,Cape Fair,MO,1472,54.1,753,719,54.4,53.8
65807,Springfield,MO,58145,34,28074,30071,32.8,35.5
65809,Springfield,MO,12034,49.2,5874,6160,48.2,50.2
65069,Rhineland,MO,875,47.2,448,427,45,49.6
64077,Orrick,MO,1706,42.8,856,850,42.5,43
65256,Harrisburg,MO,1999,43.1,1003,996,42.7,43.4
64071,Mayview,MO,879,44.9,451,428,43.3,46.3
63901,Poplar Bluff,MO,34561,41.5,16528,18033,39.9,42.9
65781,Willard,MO,9306,39.3,4609,4697,37.8,40.7
63343,Elsberry,MO,4646,41.1,2272,2374,40.6,41.5
63654,Lesterville,MO,835,47.7,444,391,46.9,48.8
63369,Old Monroe,MO,2690,38.6,1370,1320,38.2,38.9
64018,Camden Point,MO,834,45.3,410,424,45.3,45.4
65666,Hardenville,MO,104,46.3,56,48,45,47.5
65564,Solo,MO,220,47.3,111,109,46.5,47.9
65259,Huntsville,MO,2850,40.4,1455,1395,39.4,41.5
64457,Guilford,MO,346,42.8,190,156,38.6,46.7
63349,Hawk Point,MO,2031,39.7,1036,995,39.9,39.5
65061,Morrison,MO,599,49.7,309,290,49.2,50.2
64859,Reeds,MO,1526,40.9,764,762,41,40.7
64124,Kansas City,MO,12844,30.1,6482,6362,30,30.1
65439,Bixby,MO,455,43.8,225,230,43.3,44.2
63135,St. Louis,MO,21388,36.8,9731,11657,34.1,38.9
63362,Moscow Mills,MO,7798,34.2,3872,3926,34.2,34.2
64433,Conception,MO,203,42.3,110,93,38.3,46.1
63628,Bonne Terre,MO,16309,39.3,9448,6861,37.7,42.4
63334,Bowling Green,MO,8682,38.6,5298,3384,37.5,41.1
63049,High Ridge,MO,18286,39.3,9073,9213,39.2,39.5
63951,Lowndes,MO,475,47.3,242,233,46.3,48.5
63645,Fredericktown,MO,11584,41.3,5679,5905,39.6,43
63601,Park Hills,MO,16850,37.3,8275,8575,35.9,38.6
63345,Farber,MO,452,43.8,234,218,41.3,46.3
64646,Humphreys,MO,332,46.3,177,155,44.7,47.7
64628,Brookfield,MO,5901,43.8,2813,3088,41,46.4
65779,Wheatland,MO,2125,55,1047,1078,54.2,55.6
65084,Versailles,MO,7027,41.5,3477,3550,39.8,43.3
65732,Preston,MO,927,48.2,450,477,48.7,47.9
64132,Kansas City,MO,13945,34.6,6267,7678,32.8,36.1
63430,Alexandria,MO,359,44.6,185,174,43.8,45.5
64647,Jameson,MO,340,42.4,176,164,42,42.9
63670,St.e Genevieve,MO,11657,44.7,5886,5771,42.8,46.6
63090,Washington,MO,22511,42.2,11014,11497,40.4,44
63359,Middletown,MO,1407,45.8,722,685,44.7,46.9
65764,Tunas,MO,1364,40.4,705,659,39.6,41.1
64747,Garden City,MO,3872,40.3,1952,1920,40.2,40.5
63376,St. Peters,MO,78834,39.4,38539,40295,38,40.9
64759,Lamar,MO,8146,42.4,3995,4151,40.1,44.8
65284,Sturgeon,MO,2162,40.5,1025,1137,39.7,41.2
64486,Sheridan,MO,444,46,232,212,44.5,47.3
64504,St. Joseph,MO,10576,40,5361,5215,39.1,41.1
63962,Rombauer,MO,,,,,,
65345,Mora,MO,417,45.5,218,199,45,46
64683,Trenton,MO,8278,43.4,3910,4368,41.1,45.6
64491,Tarkio,MO,1668,49.1,818,850,46.7,51
63640,Farmington,MO,28174,40.1,15341,12833,38.3,42.8
65337,La Monte,MO,2151,36.9,1065,1086,36.2,37.5
63624,Bismarck,MO,3682,42.7,1801,1881,41.7,43.8
63848,Gideon,MO,1484,41.7,719,765,40.6,42.8
63551,Livonia,MO,373,47.9,193,180,47.5,48.3
63441,Frankford,MO,1117,44.4,583,534,43.3,45.6
63051,House Springs,MO,13979,39.6,7039,6940,39.4,39.8
63936,Dudley,MO,766,43.8,396,370,43,44.7
63357,Marthasville,MO,5385,42.5,2739,2646,42.3,42.6
63873,Portageville,MO,4778,41.9,2317,2461,39.9,43.9
64624,Braymer,MO,1664,42,826,838,40.6,43.3
65667,Hartville,MO,3116,43.6,1549,1567,41.9,45.2
64421,Amazonia,MO,1058,42.3,546,512,42.1,42.6
65047,Kaiser,MO,1022,41,503,519,40.1,41.9
65637,Dora,MO,1143,49.2,573,570,49.8,48.7
64466,Maitland,MO,532,45.3,265,267,45.4,45.2
64402,Albany,MO,2367,47.7,1125,1242,46.3,49.4
65068,Prairie Home,MO,801,42.3,414,387,40.2,44.7
65231,Auxvasse,MO,3386,42.4,1702,1684,41.9,42.9
64771,Moundville,MO,597,42.9,299,298,43,42.8
63822,Bernie,MO,2969,43.3,1424,1545,42.2,44.4
64085,Richmond,MO,8857,41.9,4273,4584,40,43.8
64723,Amsterdam,MO,608,45.5,309,299,44,47
63745,Dutchtown,MO,99,42.1,49,50,40.8,43.3
65588,Winona,MO,3089,41.5,1569,1520,40.6,42.5
63339,Curryville,MO,1127,41.9,572,555,42,41.7
65612,Bois D Arc,MO,1439,46.1,737,702,45.7,46.5
65336,Knob Noster,MO,5952,31,3050,2902,30.6,31.5
65760,Tecumseh,MO,657,49.8,341,316,49.6,50
64126,Kansas City,MO,7118,28.8,3561,3557,29.2,28.5
64722,Amoret,MO,526,45.6,266,260,45,46.3
65658,Golden,MO,1139,59.7,588,551,60,59.3
65320,Arrow Rock,MO,51,49.4,25,26,48.8,50
63069,Pacific,MO,16687,40.7,8824,7863,39,43
65775,West Plains,MO,24934,40.1,12003,12931,38.4,41.8
63931,Briar,MO,676,41.5,344,332,40.7,42.2
63368,O Fallon,MO,47338,35.9,23131,24207,35.3,36.6
65773,Wasola,MO,678,50.4,351,327,49.9,50.9
64078,Peculiar,MO,9178,40,4575,4603,39.2,40.7
64429,Cameron,MO,12960,38.5,8125,4835,37.9,40
65619,Brookline,MO,8752,37.4,4238,4514,37.1,37.7
64863,South West City,MO,1947,31.2,990,957,30.1,32.4
63015,Catawissa,MO,1642,44.4,826,816,44.1,44.7
63846,Essex,MO,1485,43.2,769,716,41.9,44.8
63042,Hazelwood,MO,19379,37,9122,10257,35.2,38.5
63336,Clarksville,MO,1370,46.7,706,664,46.1,47.3
64017,Camden,MO,455,41.8,228,227,42.1,41.5
63557,New Boston,MO,182,46.3,95,87,47.1,45.4
65244,Clifton Hill,MO,487,47.3,246,241,47.2,47.5
65702,Macomb,MO,393,43.2,189,204,44.8,41.8
64136,Kansas City,MO,2325,36.6,1053,1272,32.8,39.7
64432,Clyde,MO,137,42.8,74,63,37.5,47.5
64035,Hardin,MO,968,40.4,484,484,40.2,40.5
65483,Houston,MO,4732,44.6,2272,2460,42.5,46.4
65101,Jefferson City,MO,30976,37.4,16785,14191,37,38
64067,Lexington,MO,5760,41,2834,2926,38.8,43.1
63473,Williamstown,MO,161,34.6,81,80,35.8,33.3
65080,Tebbetts,MO,895,42.5,436,459,43,42
65059,Mokane,MO,1003,42.6,492,511,42.5,42.8
63025,Eureka,MO,15554,40,7717,7837,39.1,40.8
65738,Republic,MO,19545,35.3,9431,10114,34.2,36.3
63549,La Plata,MO,2346,42.1,1145,1201,42,42.2
65646,Everton,MO,2167,47.2,1100,1067,47.2,47.3
65083,Ulman,MO,495,40.6,250,245,40.3,40.8
65713,Niangua,MO,2960,44,1473,1487,43.7,44.4
63133,St. Louis,MO,7406,32.8,3355,4051,29,36
65635,Dadeville,MO,583,51.3,302,281,50.8,51.7
64636,Coffey,MO,301,40.9,156,145,41.9,39.7
63060,Lonedell,MO,2143,45.7,1104,1039,45.7,45.8
64461,Hopkins,MO,855,41.8,436,419,42.3,41.3
63764,Marble Hill,MO,6246,42.5,3044,3202,41.7,43.2
65459,Dixon,MO,7394,41,3655,3739,40,41.9
65582,Vienna,MO,2435,46,1208,1227,45.2,47
65048,Koeltztown,MO,212,40.4,106,106,38.6,42.5
65633,Crane,MO,3974,41.7,1970,2004,40.7,42.7
64443,Easton,MO,1124,43.8,551,573,43.6,43.9
64649,Kidder,MO,915,43.2,458,457,43.1,43.3
63136,St. Louis,MO,47948,34.8,21147,26801,31.5,37.4
65032,Eugene,MO,1744,40.8,903,841,40.2,41.3
65740,Rockaway Beach,MO,4016,40.8,2011,2005,39.5,42.1
64742,Drexel,MO,2058,42.5,1029,1029,42,43.1
65018,California,MO,7721,39.3,3786,3935,38,40.8
65729,Pontiac,MO,252,56.5,124,128,57.3,55.8
63401,Hannibal,MO,21534,39.9,10325,11209,38.8,41
63967,Williamsville,MO,2326,47.7,1174,1152,47.5,48
64101,Kansas City,MO,346,32.6,203,143,33.4,31.5
64765,Metz,MO,49,38.8,27,22,42.5,35
64445,Elmo,MO,329,42.8,170,159,41,44.7
65066,Owensville,MO,6329,43.9,3108,3221,42.6,45.3
63965,Van Buren,MO,2490,47.3,1211,1279,46.8,47.8
63385,Wentzville,MO,43333,34.7,21178,22155,34.3,35
63044,Bridgeton,MO,10649,48.3,4943,5706,43.7,52
63113,St. Louis,MO,12507,38.1,5945,6562,36.2,39.8
63471,Taylor,MO,628,46.5,318,310,45.8,47.1
64761,Leeton,MO,1638,40.1,854,784,38.8,41.6
64655,Lucerne,MO,285,49,151,134,47.9,50
63434,Bethel,MO,702,39.6,362,340,39.3,39.8
63939,Fairdealing,MO,1397,44.7,706,691,42.8,46.4
65609,Bakersfield,MO,756,41.3,381,375,40.1,42.5
63458,Newark,MO,247,46.8,124,123,46.1,47.9
63631,Caledonia,MO,747,47.4,371,376,46.8,47.9
63620,Annapolis,MO,1265,43,619,646,41.9,44.2
63447,La Belle,MO,1098,42.6,569,529,40.2,46
65443,Brinktown,MO,345,41,180,165,39.5,42.8
65556,Richland,MO,5462,42.5,2685,2777,41.8,43.2
65201,Columbia,MO,42316,24.5,20684,21632,24.7,24.3
65456,Davisville,MO,671,48.8,343,328,48.2,49.3
63622,Belgrade,MO,909,43.1,460,449,42.1,44.1
65590,Long Lane,MO,1509,47.2,774,735,47,47.4
65614,Bradleyville,MO,636,44.9,312,324,46.1,43.7
65548,Mountain View,MO,5633,42.8,2683,2950,40.1,45.2
65501,Jadwin,MO,270,46.3,135,135,45.9,46.6
63625,Black,MO,584,46.8,310,274,45,48.9
63341,Defiance,MO,3695,49.1,1875,1820,50,48.3
65567,Stoutland,MO,1393,43.5,702,691,42.4,44.4
63561,Queen City,MO,1091,45.8,516,575,45,46.4
65011,Barnett,MO,2484,40.9,1254,1230,41.1,40.7
